time_ps,T_K,P_GPa,PE_eV_atom,rho_g_cm3,volume_A3
5.000000000000000278e-02,3.267832737100000031e+02,1.590318541793333262e-01,-5.472889799264705424e+00,1.846704056213504863e+00,8.286711066830133859e+03
1.000000000000000056e-01,3.323175081699999964e+02,-2.880287489126666656e-01,-5.475091184926470511e+00,1.844052646869816403e+00,8.298625836827799503e+03
1.500000000000000222e-01,3.194548134099999857e+02,1.334336707719999959e-01,-5.475923062132353358e+00,1.855202509485244677e+00,8.248750668211761877e+03
2.000000000000000111e-01,3.123498531899999762e+02,2.010615546366666673e-01,-5.477064754779411793e+00,1.859382986192490872e+00,8.230204887009926097e+03
2.500000000000000000e-01,2.992935322000000156e+02,-1.234723811763333533e-02,-5.476328482720588475e+00,1.853423634941763654e+00,8.256667634577448553e+03
3.000000000000000444e-01,3.123877061000000026e+02,1.815435950666667922e-02,-5.477924447426470778e+00,1.845981507482905126e+00,8.289954627254717707e+03
3.500000000000000333e-01,3.162795057899999733e+02,5.946936267733333309e-02,-5.477574657720587936e+00,1.843182191269107539e+00,8.302544920558138983e+03
4.000000000000000222e-01,2.986575631900000189e+02,-9.475127928966665947e-02,-5.474300460661764234e+00,1.840932608837739570e+00,8.312690462605287394e+03
4.500000000000000111e-01,3.139917308099999786e+02,1.470728354210000255e-01,-5.475142277205883090e+00,1.846872144628444401e+00,8.285956872701246539e+03
5.000000000000000000e-01,3.380393573800000127e+02,-1.136335464303333403e-01,-5.477196486397058806e+00,1.850069687851310540e+00,8.271635949863988571e+03
5.500000000000000444e-01,3.086912439399999926e+02,4.887139631700000014e-02,-5.472932061029411877e+00,1.856149718413649286e+00,8.244541260854368375e+03
6.000000000000000888e-01,3.185257778800000210e+02,9.785958489999986316e-04,-5.473532200735294673e+00,1.858186115884842504e+00,8.235506017919751685e+03
6.500000000000000222e-01,3.243675104000000147e+02,-1.279045242419999950e-01,-5.473865471323528631e+00,1.856866899538452298e+00,8.241356956488549258e+03
7.000000000000000666e-01,3.297393156300000214e+02,-9.942182732219999319e-02,-5.474710811029411595e+00,1.857231564656522282e+00,8.239738776254707773e+03
7.500000000000000000e-01,3.149305489100000273e+02,7.959707590333332805e-02,-5.473321022058823537e+00,1.857317484390833995e+00,8.239357604929717127e+03
8.000000000000000444e-01,3.247132371100000228e+02,-9.061269004333333266e-02,-5.475190613235294101e+00,1.852244341532424565e+00,8.261924518621432071e+03
8.500000000000000888e-01,3.220461771799999724e+02,2.553192140433332979e-01,-5.475908461764706026e+00,1.857859691895613841e+00,8.236952987644866880e+03
9.000000000000000222e-01,3.039180017799999973e+02,-3.417833528866666415e-02,-5.474845940808823919e+00,1.858422667864912947e+00,8.234457749789413356e+03
9.500000000000000666e-01,3.155324917400000118e+02,1.147975933936666443e-01,-5.477294472426470939e+00,1.855419157256650742e+00,8.247787503935827772e+03
1.000000000000000000e+00,2.876267082699999946e+02,-1.668462818210000032e-01,-5.474858063602941805e+00,1.844645117175449656e+00,8.295960451849354286e+03
1.050000000000000044e+00,2.775690544000000273e+02,1.023205996543333357e-01,-5.474114739338235225e+00,1.836699246145062636e+00,8.331850177378419176e+03
1.100000000000000089e+00,3.159176454799999760e+02,-2.240053320533332351e-02,-5.478296611029412233e+00,1.833387281741333474e+00,8.346901438767377840e+03
1.150000000000000133e+00,3.052903240599999890e+02,9.170921481999994018e-03,-5.474769678308823551e+00,1.841715841953990518e+00,8.309155294851858343e+03
1.200000000000000178e+00,3.123552709200000095e+02,-5.971620839133334052e-02,-5.472621405514706439e+00,1.854901646828361450e+00,8.250088604940778168e+03
