lag_ps,Li_A2,Zr_A2,Cl_A2,O_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,2.936323560115141618e-01,4.589046357547166277e-02,1.213014685984955821e-01,6.997445181526169844e-02
2.000000000000000111e-01,4.071290450251479620e-01,9.230895857581591923e-02,2.174325421218506194e-01,1.011526040445315661e-01
3.000000000000000444e-01,4.682921816042080465e-01,1.241073643646067037e-01,2.635854352075755469e-01,1.157826190286985329e-01
4.000000000000000222e-01,5.167723988936854251e-01,1.519297232302729561e-01,2.951010995442360230e-01,1.320357675885469317e-01
5.000000000000000000e-01,5.539034954247870068e-01,1.657565074407079675e-01,3.133063102988402626e-01,1.455289600985334997e-01
6.000000000000000888e-01,5.831450217887061971e-01,1.726817171382812877e-01,3.248406737405469258e-01,1.550539570056987115e-01
7.000000000000000666e-01,6.089089586819066424e-01,1.756551593615638118e-01,3.312970528775880941e-01,1.550916991756934593e-01
8.000000000000000444e-01,6.293081984857071820e-01,1.767570440449234004e-01,3.358366611839042615e-01,1.563060848982947282e-01
9.000000000000000222e-01,6.443896788522277541e-01,1.749888285120586029e-01,3.366934355923905664e-01,1.542003921561658497e-01
1.000000000000000000e+00,6.557034387724332003e-01,1.710306737187734516e-01,3.325481500186891481e-01,1.493315044893888111e-01
1.100000000000000089e+00,6.705084212452980807e-01,1.657576399668162226e-01,3.295114032607979193e-01,1.452962701175545268e-01
1.200000000000000178e+00,6.764123731164384257e-01,1.612860798526083161e-01,3.268334272029185250e-01,1.423542815348748380e-01
1.300000000000000044e+00,6.877760773245742421e-01,1.577872710783997656e-01,3.255774079115892339e-01,1.397685657959703287e-01
1.400000000000000133e+00,6.958259726494863129e-01,1.558409809074410568e-01,3.255302817416821926e-01,1.377003308742788257e-01
1.500000000000000000e+00,7.066685687868290433e-01,1.538643558792281707e-01,3.235895708464981979e-01,1.379233847906807253e-01
1.600000000000000089e+00,7.149307695348675606e-01,1.544018043645236093e-01,3.250776356492124930e-01,1.376645814464478035e-01
1.700000000000000178e+00,7.278394829696733792e-01,1.561779754199775772e-01,3.270664060395906403e-01,1.398748056086009661e-01
1.800000000000000044e+00,7.396611405797813843e-01,1.576586826807241659e-01,3.290104036442231816e-01,1.403743849125485832e-01
1.900000000000000133e+00,7.502347891206996300e-01,1.597374420292218544e-01,3.314778123929548181e-01,1.426871882830817173e-01
2.000000000000000000e+00,7.614974955841372628e-01,1.609927326295668426e-01,3.337758178158143352e-01,1.442219242065235774e-01
2.100000000000000089e+00,7.692102971808035816e-01,1.620542951433090462e-01,3.361869548857404078e-01,1.436676083634434442e-01
2.200000000000000178e+00,7.798802928691551672e-01,1.637951372171772835e-01,3.393996627007562772e-01,1.445732576483212684e-01
