CN,LiO,LiCl,ZrO,ZrCl
0.000000000000000000e+00,8.099952852428099481e-01,0.000000000000000000e+00,2.083333333333333426e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.900047147571899964e-01,0.000000000000000000e+00,4.583333333333333148e-01,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,7.072135785007072377e-04,1.666666666666666574e-01,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,4.196133899104196457e-02,1.250000000000000000e-01,4.290429042904290308e-02
4.000000000000000000e+00,0.000000000000000000e+00,2.982083922677982168e-01,4.166666666666666435e-02,2.124587458745874624e-01
5.000000000000000000e+00,0.000000000000000000e+00,4.981140971239981230e-01,0.000000000000000000e+00,4.199669966996699699e-01
6.000000000000000000e+00,0.000000000000000000e+00,1.591230551626591216e-01,0.000000000000000000e+00,3.246699669966996438e-01
7.000000000000000000e+00,0.000000000000000000e+00,1.885902876001885895e-03,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
