r_A,P10_Ainv,P40_Ainv,P80_Ainv
5.000000000000000278e-02,4.596116281741927795e-02,3.954522985664853801e-02,2.801756777222474612e-02
1.500000000000000222e-01,3.031795275849050175e-01,2.385529375148752462e-01,1.764349538088747504e-01
2.500000000000000000e-01,6.593785394199043193e-01,5.411837937789493180e-01,4.213452759568159789e-01
3.500000000000000333e-01,9.870980450091103586e-01,8.392376558466526637e-01,6.437550031371023218e-01
4.500000000000000111e-01,1.170778549268725266e+00,1.012980355540909372e+00,8.349018844248287108e-01
5.500000000000000444e-01,1.160683508149898069e+00,1.039435381995934771e+00,8.996992708941814465e-01
6.500000000000001332e-01,1.047832438732128724e+00,9.649219164790100445e-01,8.644339153198764558e-01
7.500000000000000000e-01,8.623463173618294286e-01,8.287105691949984143e-01,7.794076285671017734e-01
8.500000000000000888e-01,6.887608542210404972e-01,6.821552150271874559e-01,6.753423768416955131e-01
9.499999999999999556e-01,5.210026099374600594e-01,5.306567071272955127e-01,5.559161420133706955e-01
1.050000000000000044e+00,4.106137456706222544e-01,4.339905896999319279e-01,4.787866986867436725e-01
1.150000000000000133e+00,3.131104216936685947e-01,3.477600190402955760e-01,3.900824300642561360e-01
1.250000000000000000e+00,2.431017219021358589e-01,2.824920818000406508e-01,3.229051729733242171e-01
1.350000000000000089e+00,2.032960719620490186e-01,2.262865930685997728e-01,2.649228705566731290e-01
1.450000000000000178e+00,1.655422596477407193e-01,1.969938302118235396e-01,2.268449406114106948e-01
1.550000000000000044e+00,1.382117824723821387e-01,1.662364292122076037e-01,1.956902706561950422e-01
1.650000000000000133e+00,1.252441686774674323e-01,1.443583969535525424e-01,1.691871660067932881e-01
1.750000000000000000e+00,1.019352932486336100e-01,1.203749473645669005e-01,1.585859241470329306e-01
1.850000000000000089e+00,9.060914955434079543e-02,1.174456710788889663e-01,1.400878388611236092e-01
1.950000000000000178e+00,8.166313750595044496e-02,1.005107925523151674e-01,1.257004391943057908e-01
2.049999999999999822e+00,6.927003824625328765e-02,8.952600648102371217e-02,1.118539192142098959e-01
2.150000000000000355e+00,6.894174422612886488e-02,8.467439263287006301e-02,1.000627420436597248e-01
2.250000000000000000e+00,5.991365867270722484e-02,7.725966203474847471e-02,9.984639016897071950e-02
2.350000000000000533e+00,5.178838167462775088e-02,6.691565515094920202e-02,9.335583392830089366e-02
2.450000000000000178e+00,4.645360384760608558e-02,6.261328060636041359e-02,8.837974081045443797e-02
2.549999999999999822e+00,4.341688416145495638e-02,5.153695465114145613e-02,7.777849895069333108e-02
2.650000000000000355e+00,4.136504653567731754e-02,5.162849453506888897e-02,7.161247052205700625e-02
2.750000000000000000e+00,3.381428407281558690e-02,4.833305871368150791e-02,6.404015490794222332e-02
2.850000000000000533e+00,2.831535923573149510e-02,4.549532231193127024e-02,5.635966335648293080e-02
2.950000000000000178e+00,2.905402078101157817e-02,4.805843906189943837e-02,5.711689491789467138e-02
3.049999999999999822e+00,2.453997800430062631e-02,3.881291078522908916e-02,5.008545899050210332e-02
3.150000000000000355e+00,2.215984635839856123e-02,3.533439519598686324e-02,4.770558836892316995e-02
3.250000000000000000e+00,1.731750956156332191e-02,3.249665879423661863e-02,4.229679150169832202e-02
3.350000000000000533e+00,1.641470100622115583e-02,3.057432123176065386e-02,4.197226368966482796e-02
3.450000000000000178e+00,1.501945142069242498e-02,3.231357902638190560e-02,3.980874494277506642e-02
3.549999999999999822e+00,1.313176080497692466e-02,2.874352355321211153e-02,3.905151338136341604e-02
3.650000000000000355e+00,1.066955565404375215e-02,3.020816169605094331e-02,3.959239306808589459e-02
3.750000000000000000e+00,1.001296761379490488e-02,2.727888541037327627e-02,3.439994807555004502e-02
3.850000000000000533e+00,1.050540864398154077e-02,2.828582413357497161e-02,3.266913307803809285e-02
3.950000000000000178e+00,9.520526583608314095e-03,2.123725307116318059e-02,3.526535557430617723e-02
4.050000000000000711e+00,9.192232563483806324e-03,2.380036982113094279e-02,3.115466995521499680e-02
4.150000000000000355e+00,7.714909472923977586e-03,1.922337562475977604e-02,2.812574370956934591e-02
4.250000000000000000e+00,4.924410301866368432e-03,1.785027736584836322e-02,3.083014214318178028e-02
4.349999999999999645e+00,4.924410301866325064e-03,1.510408084802540400e-02,2.325782652906674755e-02
4.450000000000000178e+00,4.267822261617519423e-03,1.290712363376727949e-02,2.866662339629182793e-02
4.550000000000000711e+00,4.514042776710798337e-03,1.254096409805745618e-02,2.390688215313373222e-02
4.650000000000000355e+00,1.805617110684335207e-03,1.171710514271072021e-02,2.466411371454542423e-02
4.750000000000000000e+00,2.790499171057584001e-03,1.016092711594436364e-02,1.979619653404286056e-02
4.850000000000000533e+00,2.626352160995396902e-03,9.886307464162169198e-03,1.925531684732055202e-02
4.950000000000000178e+00,2.954646181119821406e-03,9.153988392742749836e-03,1.709179810043059966e-02
5.050000000000000711e+00,2.380131645902057273e-03,8.513209205250681783e-03,1.968802059669836832e-02
5.150000000000000355e+00,1.969764120746547893e-03,1.025246699987187975e-02,1.968802059669854179e-02
5.250000000000000000e+00,1.641470100622108427e-03,9.611687812379803020e-03,1.871443716059789653e-02
5.350000000000000533e+00,1.149029070435485982e-03,8.787828857033039287e-03,1.665909435105260988e-02
5.450000000000000178e+00,1.641470100622122955e-03,8.238589553468475199e-03,1.363016810540668144e-02
5.550000000000000711e+00,1.313176080497686742e-03,5.583932919573027752e-03,1.114212154648314135e-02
5.650000000000000355e+00,7.386615452799553515e-04,4.760073964226230192e-03,1.287293654399519933e-02
5.750000000000000000e+00,4.924410301866325281e-04,3.386975705314787446e-03,8.978602799593209810e-03
5.850000000000000533e+00,4.103675251555307388e-04,2.196957214258259822e-03,7.896843426148315165e-03
5.950000000000000178e+00,1.641470100622123064e-04,1.281558374983984968e-03,4.976093117846883303e-03
6.050000000000000711e+00,8.207350503110542135e-05,1.373098258911400462e-03,4.110685619090867320e-03
6.150000000000000355e+00,8.207350503110615318e-05,1.373098258911412605e-03,4.435213431124396949e-03
6.250000000000000000e+00,8.207350503110542135e-05,1.098478607129120370e-03,3.137102182990398995e-03
6.350000000000000533e+00,0.000000000000000000e+00,6.407791874919924842e-04,1.947166872200954647e-03
6.450000000000000178e+00,8.207350503110615318e-05,2.746196517822824777e-04,2.488046558923441651e-03
6.550000000000000711e+00,0.000000000000000000e+00,4.576994196371334694e-04,3.461629995023888292e-03
6.650000000000000355e+00,0.000000000000000000e+00,6.407791874919924842e-04,1.406287185478466992e-03
6.750000000000000000e+00,8.207350503110542135e-05,2.746196517822800925e-04,2.055342809545433660e-03
6.850000000000000533e+00,0.000000000000000000e+00,6.407791874919924842e-04,2.055342809545451874e-03
6.950000000000000178e+00,0.000000000000000000e+00,9.153988392742749619e-04,1.189935310789472320e-03
