T_K,lo_ps,hi_ps,D_cm2_s,R2,alpha
3.400000000000000000e+02,1.000000000000000000e+01,4.000000000000000000e+01,2.460435871658577730e-07,9.906793859334248609e-01,2.815135278329201074e-01
3.400000000000000000e+02,2.000000000000000000e+01,6.000000000000000000e+01,3.223698282846995317e-07,9.895230636420094816e-01,4.890921985117552273e-01
3.400000000000000000e+02,2.000000000000000000e+01,8.000000000000000000e+01,3.104700042696718528e-07,9.953136638294592942e-01,5.240123626186061756e-01
3.400000000000000000e+02,3.000000000000000000e+01,9.000000000000000000e+01,3.018495135366816635e-07,9.929252148016695090e-01,5.830866658376803180e-01
3.400000000000000000e+02,4.000000000000000000e+01,1.000000000000000000e+02,2.735185114703611298e-07,9.924272451712137233e-01,5.682387376512993971e-01
3.400000000000000000e+02,5.000000000000000000e+01,1.100000000000000000e+02,2.430600961811876910e-07,9.933664096104731778e-01,5.357842876993659242e-01
3.400000000000000000e+02,6.000000000000000000e+01,1.200000000000000000e+02,2.232985231395600965e-07,9.936313687225882818e-01,5.213320013936895148e-01
3.400000000000000000e+02,7.500000000000000000e+01,1.500000000000000000e+02,1.865464800291753906e-07,9.940792718344908518e-01,4.850221106423605599e-01
3.600000000000000000e+02,1.000000000000000000e+01,4.000000000000000000e+01,3.591985780967582845e-07,9.914190503776509900e-01,3.162094678733499697e-01
3.600000000000000000e+02,2.000000000000000000e+01,6.000000000000000000e+01,3.884412092809551056e-07,9.959881521461081411e-01,4.518275176706335050e-01
3.600000000000000000e+02,2.000000000000000000e+01,8.000000000000000000e+01,3.807975483226801868e-07,9.979915759791859742e-01,4.901255111502013095e-01
3.600000000000000000e+02,3.000000000000000000e+01,9.000000000000000000e+01,3.678084398658650950e-07,9.955975764809743556e-01,5.404793357237960283e-01
3.600000000000000000e+02,4.000000000000000000e+01,1.000000000000000000e+02,3.449366908602812050e-07,9.963533898599473693e-01,5.482921103451475764e-01
3.600000000000000000e+02,5.000000000000000000e+01,1.100000000000000000e+02,3.248898218517846751e-07,9.970532728969146996e-01,5.492376234407120306e-01
3.600000000000000000e+02,6.000000000000000000e+01,1.200000000000000000e+02,3.049521927996009004e-07,9.971348545858647050e-01,5.449339479758537053e-01
3.600000000000000000e+02,7.500000000000000000e+01,1.500000000000000000e+02,3.056991075803457696e-07,9.971772230855643349e-01,5.939530291910499749e-01
3.800000000000000000e+02,1.000000000000000000e+01,4.000000000000000000e+01,1.163973748817484047e-06,9.989789154561492523e-01,5.655861434180774472e-01
3.800000000000000000e+02,2.000000000000000000e+01,6.000000000000000000e+01,1.047459152434880881e-06,9.983592013836651846e-01,6.265841552903554934e-01
3.800000000000000000e+02,2.000000000000000000e+01,8.000000000000000000e+01,1.015464949617360038e-06,9.989422807033730978e-01,6.466408074832201702e-01
3.800000000000000000e+02,3.000000000000000000e+01,9.000000000000000000e+01,1.007068477200484611e-06,9.992830980558484733e-01,6.832366341635991436e-01
3.800000000000000000e+02,4.000000000000000000e+01,1.000000000000000000e+02,1.022440205612306133e-06,9.988793310331874897e-01,7.262901498922749166e-01
3.800000000000000000e+02,5.000000000000000000e+01,1.100000000000000000e+02,1.011602258154348796e-06,9.973255350568973610e-01,7.566444336821550598e-01
3.800000000000000000e+02,6.000000000000000000e+01,1.200000000000000000e+02,9.214555050645135700e-07,9.831975071529169830e-01,7.289273356254190039e-01
3.800000000000000000e+02,7.500000000000000000e+01,1.500000000000000000e+02,6.526599499862428082e-07,9.627372115340341319e-01,5.699223333176586248e-01
