series,T_K,1000_over_T_K-1,ln_sigmaT
NEP89,320.0,3.125,0.02016762698041463
NEP89,330.0,3.0303030303030303,0.2661293554127503
NEP89,340.0,2.9411764705882355,0.8275635803097868
NEP89,350.0,2.857142857142857,1.0449456221665856
Tang_2026_tuned_MACE,320.0,3.125,-0.045
Tang_2026_tuned_MACE,330.03300330033005,3.03,0.299
Tang_2026_tuned_MACE,340.02040122407345,2.941,0.812
Tang_2026_tuned_MACE,350.0175008750437,2.857,1.06
Tang_2026_experiment,303.00000303,3.30033,-0.79511
Tang_2026_experiment,312.9998215901017,3.19489,-0.40865
Tang_2026_experiment,322.99950258076603,3.09598,-0.02666
Tang_2026_experiment,333.000333000333,3.003,0.34643
Tang_2026_experiment,343.0002229501449,2.91545,0.68911
Tang_2026_experiment,353.00014826006225,2.83286,0.97654
