T_K,pair,coordination_number,count,probability
320,Zr-O,1,3178,0.4965625
320,Zr-O,2,2216,0.34625
320,Zr-O,3,1006,0.1571875
320,Zr-Cl,2,1,0.00015625
320,Zr-Cl,3,954,0.1490625
320,Zr-Cl,4,2777,0.43390625
320,Zr-Cl,5,2668,0.416875
330,Zr-O,1,3241,0.50640625
330,Zr-O,2,2437,0.38078125
330,Zr-O,3,722,0.1128125
330,Zr-Cl,3,927,0.14484375
330,Zr-Cl,4,2657,0.41515625
330,Zr-Cl,5,2816,0.44
340,Zr-O,1,3162,0.4940625
340,Zr-O,2,2149,0.33578125
340,Zr-O,3,1084,0.169375
340,Zr-O,4,5,0.00078125
340,Zr-Cl,3,1278,0.1996875
340,Zr-Cl,4,2482,0.3878125
340,Zr-Cl,5,2640,0.4125
350,Zr-O,1,3105,0.48515625
350,Zr-O,2,2432,0.38
350,Zr-O,3,863,0.13484375
350,Zr-Cl,2,1,0.00015625
350,Zr-Cl,3,1222,0.1909375
350,Zr-Cl,4,2587,0.40421875
350,Zr-Cl,5,2589,0.40453125
350,Zr-Cl,6,1,0.00015625
