r_A,G_r
0.51,-0.29336
0.53,-0.31273
0.55,-0.33299
0.57,-0.35237
0.59,-0.36922
0.61,-0.38238
0.63,-0.39142
0.65,-0.39679
0.67,-0.39973
0.69,-0.40209
0.71,-0.40591
0.73,-0.41305
0.75,-0.42476
0.77,-0.4414
0.79,-0.46229
0.81,-0.48577
0.83,-0.5095
0.85,-0.53084
0.87,-0.54743
0.89,-0.55763
0.91,-0.56103
0.93,-0.55861
0.95,-0.55278
0.97,-0.54715
0.99,-0.54604
1.01,-0.55389
1.03,-0.57452
1.05,-0.61051
1.07,-0.66265
1.09,-0.72965
1.11,-0.80807
1.13,-0.89263
1.15,-0.97665
1.17,-1.0528
1.19,-1.11389
1.21,-1.15368
1.23,-1.16766
1.25,-1.15352
1.27,-1.11152
1.29,-1.04451
1.31,-0.95766
1.33,-0.85804
1.35,-0.7539
1.37,-0.65393
1.39,-0.56643
1.41,-0.49857
1.43,-0.45579
1.45,-0.44134
1.47,-0.45608
1.49,-0.49856
1.51,-0.56522
1.53,-0.6509
1.55,-0.74942
1.57,-0.85426
1.59,-0.95915
1.61,-1.05872
1.63,-1.14887
1.65,-1.227
1.67,-1.29202
1.69,-1.34421
1.71,-1.38485
1.73,-1.41578
1.75,-1.43897
1.77,-1.45607
1.79,-1.46819
1.81,-1.47571
1.83,-1.47837
1.85,-1.47543
1.87,-1.46601
1.89,-1.44942
1.91,-1.42541
1.93,-1.39432
1.95,-1.35708
1.97,-1.31494
1.99,-1.26907
2.01,-1.22008
2.03,-1.16738
2.05,-1.10883
2.07,-1.04044
2.09,-0.95643
2.11,-0.84961
2.13,-0.71211
2.15,-0.53634
2.17,-0.31613
2.19,-0.04789
2.21,0.26844
2.23,0.62869
2.25,1.02426
2.27,1.4424
2.29,1.86695
2.31,2.27953
2.33,2.66108
2.35,2.99338
2.37,3.26063
2.39,3.45074
2.41,3.5562
2.43,3.57447
2.45,3.50795
2.47,3.36333
2.49,3.15075
2.51,2.88262
2.53,2.57239
2.55,2.23345
2.57,1.87817
2.59,1.51726
2.61,1.15941
2.63,0.81123
2.65,0.47747
2.67,0.16131
2.69,-0.13519
2.71,-0.41068
2.73,-0.66425
2.75,-0.89517
2.77,-1.10286
2.79,-1.28685
2.81,-1.44692
2.83,-1.58323
2.85,-1.69635
2.87,-1.7874
2.89,-1.85799
2.91,-1.91014
2.93,-1.94612
2.95,-1.96826
2.97,-1.97871
2.99,-1.97926
3.01,-1.97114
3.03,-1.95488
3.05,-1.93027
3.07,-1.89636
3.09,-1.85153
3.11,-1.79359
3.13,-1.72007
3.15,-1.62836
3.17,-1.5161
3.19,-1.38142
3.21,-1.22324
3.23,-1.0416
3.25,-0.83779
3.27,-0.61454
3.29,-0.37596
3.31,-0.12747
3.33,0.12445
3.35,0.37266
3.37,0.60974
3.39,0.8285
3.41,1.02244
3.43,1.18615
3.45,1.31563
3.47,1.40847
3.49,1.46386
3.51,1.48253
3.53,1.46657
3.55,1.4191
3.57,1.34404
3.59,1.24579
3.61,1.12899
3.63,0.99836
3.65,0.85854
3.67,0.71401
3.69,0.56905
3.71,0.42764
3.73,0.29337
3.75,0.16935
3.77,0.05804
3.79,-0.0389
3.81,-0.12073
3.83,-0.18772
3.85,-0.24116
3.87,-0.28321
3.89,-0.31675
3.91,-0.34504
3.93,-0.37137
3.95,-0.39873
3.97,-0.42946
3.99,-0.46502
4.01,-0.50588
4.03,-0.5515
4.05,-0.60055
4.07,-0.65104
4.09,-0.70068
4.11,-0.74714
4.13,-0.78832
4.15,-0.82249
4.17,-0.84838
4.19,-0.86517
4.21,-0.87238
4.23,-0.8698
4.25,-0.85734
4.27,-0.83498
4.29,-0.80278
4.31,-0.76098
4.33,-0.71012
4.35,-0.65118
4.37,-0.58579
4.39,-0.51624
4.41,-0.44551
4.43,-0.37707
4.45,-0.31468
4.47,-0.26196
4.49,-0.22203
4.51,-0.1971
4.53,-0.18819
4.55,-0.19493
4.57,-0.21557
4.59,-0.24716
4.61,-0.28587
4.63,-0.32745
4.65,-0.36771
4.67,-0.40299
4.69,-0.43056
4.71,-0.44885
4.73,-0.45752
4.75,-0.45736
4.77,-0.4501
4.79,-0.43804
4.81,-0.42369
4.83,-0.40945
4.85,-0.39734
4.87,-0.38884
