material,observable,T_K,NEP89,literature,NEP89_to_literature
LZOC,D,340,7.298506902235783e-07,2.09e-06,0.34921085656630546
LZOC,D,360,3.807975483226802e-07,1.77e-06,0.21513985780942382
LZOC,D,380,1.0282976349171087e-06,3.5e-06,0.29379932426203104
LSZC,conductivity,320,3.1886636488463105,2.987492130728437,1.0673379240228567
LSZC,conductivity,330,3.954254073167864,4.085984159122919,0.9677605000839427
LSZC,conductivity,340,6.728641336871791,6.624332814607116,1.015746268369045
LSZC,conductivity,350,8.123554028583815,8.246361916338557,0.9851076281879622
Li3PS4,D,300,5.4009713794161074e-08,1.18583296051821e-09,45.54580248010544
Li3PS4,D,500,4.2092730877889934e-07,9.35033480925553e-08,4.501735150299003
Li3PS4,D,700,7.924743392086516e-06,1.52370874371679e-06,5.200956826404798
Li3PS4,D,900,3.064674160909106e-05,9.10638144850278e-06,3.365413779600659
LiPON,D,600,8.551769196756637e-07,1.25e-10,6841.415357405309
LiPON,D,1500,0.00012400167561858513,7.5e-09,16533.556749144685
