lag_ps,Li_A2,Zr_A2,Cl_A2,S_A2,O_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,3.079963365589337698e-01,5.321942657167801072e-02,1.512037918154783278e-01,5.356506782715587250e-02,1.100864224344477449e-01
2.000000000000000111e-01,4.229540652082594554e-01,1.191732663893358829e-01,3.033955784878067385e-01,1.006421190859105030e-01,1.757422515753217229e-01
3.000000000000000444e-01,4.962603272257589682e-01,1.756075169049362006e-01,4.190807249258603484e-01,1.480618499003817368e-01,2.368262400445623472e-01
4.000000000000000222e-01,5.642171829204764011e-01,2.323001650307955634e-01,5.160125388951402048e-01,1.842996917878685359e-01,2.826391365117504884e-01
5.000000000000000000e-01,6.137015752055302586e-01,2.754548223484810099e-01,5.863501538105592159e-01,2.142002442022026554e-01,3.202549351029799762e-01
6.000000000000000888e-01,6.581021137083532535e-01,3.140838836796593370e-01,6.497703327720381061e-01,2.393288181778891188e-01,3.531693672970491193e-01
7.000000000000000666e-01,6.954271986803872707e-01,3.458847366806356294e-01,7.005607915704686883e-01,2.598061040590777249e-01,3.796394368074118009e-01
8.000000000000000444e-01,7.286206506480561451e-01,3.702695380378732692e-01,7.413159243960010247e-01,2.758867406237474063e-01,3.998725648598109861e-01
9.000000000000000222e-01,7.530361547578650061e-01,3.890089044284166242e-01,7.738112106807307766e-01,2.876017214616750084e-01,4.161511001844394597e-01
1.000000000000000000e+00,7.715191443029927321e-01,4.025525937353516825e-01,7.991467662789590864e-01,2.965772704839174656e-01,4.290283804273851143e-01
1.100000000000000089e+00,7.909115444568496356e-01,4.128059850402527875e-01,8.206478219015671538e-01,3.028192749236497949e-01,4.387852826752725588e-01
1.200000000000000178e+00,8.093239713771661625e-01,4.206031974465644918e-01,8.379572867525588720e-01,3.071822904402694565e-01,4.469449703845795319e-01
1.300000000000000044e+00,8.265931773872576827e-01,4.261197876157390430e-01,8.521497653864480437e-01,3.097627972412428932e-01,4.522240192648457890e-01
1.400000000000000133e+00,8.432448797117473305e-01,4.298076418186096981e-01,8.642173687616506728e-01,3.113282430316489102e-01,4.563248122727041056e-01
1.500000000000000000e+00,8.573806877250736980e-01,4.318252952095618102e-01,8.740085097807841485e-01,3.126783935688791649e-01,4.601952227677866269e-01
1.600000000000000089e+00,8.687855784997760011e-01,4.329667212885855432e-01,8.812554988852919768e-01,3.131334246335099603e-01,4.627181111486668441e-01
1.700000000000000178e+00,8.834258380347287387e-01,4.336514448040711955e-01,8.877767419472187838e-01,3.141837800601543496e-01,4.660260158132223940e-01
1.800000000000000044e+00,8.927755728087684028e-01,4.339325283472575401e-01,8.927781719795943038e-01,3.142248284196945685e-01,4.675814339605552372e-01
1.900000000000000133e+00,9.026582022644399350e-01,4.342735476275265682e-01,8.972847694239274308e-01,3.139534248101331637e-01,4.689941011041990349e-01
2.000000000000000000e+00,9.126058822545554117e-01,4.342052817767537709e-01,9.012978694406276192e-01,3.135878013548118459e-01,4.694869215043045441e-01
2.100000000000000089e+00,9.213949852341469793e-01,4.342124408103415489e-01,9.063267560043135607e-01,3.133015807151349752e-01,4.713358403585194978e-01
2.200000000000000178e+00,9.324701114840574512e-01,4.345216052902501347e-01,9.117294395225451487e-01,3.131125998755557305e-01,4.725705118592170573e-01
2.300000000000000266e+00,9.415117548181954898e-01,4.348992563677716028e-01,9.175122785493134980e-01,3.135411164732966882e-01,4.744563766845333319e-01
2.400000000000000355e+00,9.530159063673816489e-01,4.360657801491229502e-01,9.246234308294624116e-01,3.137709925002046263e-01,4.756494963914145169e-01
2.500000000000000000e+00,9.650221347650905779e-01,4.379747011462672979e-01,9.335585506225069219e-01,3.145881232528516813e-01,4.780109327035030331e-01
2.600000000000000089e+00,9.765060163593443088e-01,4.405629735806319003e-01,9.434561317741610997e-01,3.153949508280263214e-01,4.805536003367500975e-01
2.700000000000000178e+00,9.888824687900233945e-01,4.434969563021599059e-01,9.531506205584473479e-01,3.167796248252069402e-01,4.833658938023170926e-01
2.800000000000000266e+00,9.974490401407717366e-01,4.462429230349486131e-01,9.623245022999742382e-01,3.178526216813427063e-01,4.859361854506389355e-01
2.900000000000000355e+00,1.007040172191274729e+00,4.491771144541313876e-01,9.714410681818196336e-01,3.194921799521908690e-01,4.894509663186156212e-01
3.000000000000000000e+00,1.017904430268386617e+00,4.516048863174512151e-01,9.798001735751743491e-01,3.211166995338836094e-01,4.934585347462071003e-01
3.100000000000000089e+00,1.025715287360653427e+00,4.535760576574460745e-01,9.871738604180320120e-01,3.221691949681985689e-01,4.957850117959973213e-01
3.200000000000000178e+00,1.032149363198787917e+00,4.557658584657633405e-01,9.945893790279145552e-01,3.234706855147018167e-01,4.991001035016711662e-01
3.300000000000000266e+00,1.039215087005143090e+00,4.578673677989058000e-01,1.002602706035433888e+00,3.246246501483577851e-01,5.021778091065901561e-01
3.400000000000000355e+00,1.047656236523553108e+00,4.604289347201407923e-01,1.010807397258524087e+00,3.262307414273374340e-01,5.055299081024601238e-01
3.500000000000000000e+00,1.057728998353824945e+00,4.631673289028649942e-01,1.018305556715479732e+00,3.276833758493136184e-01,5.085268911883090714e-01
3.600000000000000089e+00,1.066513413887978379e+00,4.658637870380218371e-01,1.025703014615192199e+00,3.292699140624741894e-01,5.112630682733304566e-01
3.700000000000000178e+00,1.076516182999712301e+00,4.686523092726264661e-01,1.033394918065670076e+00,3.314926439061207653e-01,5.144727375102121636e-01
3.800000000000000266e+00,1.087264589899020306e+00,4.717639652576742226e-01,1.041956156326559801e+00,3.340264611048251453e-01,5.187380014065465783e-01
3.900000000000000355e+00,1.095775633307223940e+00,4.751063089803844730e-01,1.051203200333022725e+00,3.364460504971888977e-01,5.218478949906116826e-01
