lag_ps,origin_LiO_CN,observations,mean_d2_A2,SD_d2_A2
1.000000000000000000e+00,0.000000000000000000e+00,2.584000000000000000e+03,9.014379918755163201e-01,1.149056515269066825e+00
1.000000000000000000e+00,1.000000000000000000e+00,2.343000000000000000e+03,7.283541908923195640e-01,1.053442712616021293e+00
1.000000000000000000e+00,2.000000000000000000e+00,1.099000000000000000e+03,6.601129531542035966e-01,8.816442983789893884e-01
1.000000000000000000e+00,3.000000000000000000e+00,3.210000000000000000e+02,5.486102174880664872e-01,6.980680267798948790e-01
1.000000000000000000e+00,4.000000000000000000e+00,4.300000000000000000e+01,6.552790301898621106e-01,5.738876012753840739e-01
1.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,9.372240216543404889e-01,1.082636459384683336e+00
1.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,1.911659988505931107e+00,nan
5.000000000000000000e+00,0.000000000000000000e+00,2.529000000000000000e+03,1.323608564305257085e+00,2.142446629003111447e+00
5.000000000000000000e+00,1.000000000000000000e+00,2.303000000000000000e+03,1.193817322053023933e+00,2.341865285514820982e+00
5.000000000000000000e+00,2.000000000000000000e+00,1.071000000000000000e+03,1.061556670917702894e+00,1.780399671766259795e+00
5.000000000000000000e+00,3.000000000000000000e+00,3.160000000000000000e+02,7.698951014049670860e-01,1.289358634654786506e+00
5.000000000000000000e+00,4.000000000000000000e+00,4.300000000000000000e+01,9.474495145324741685e-01,1.499204281800056826e+00
5.000000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,9.405207404810761451e-01,9.804650139302719669e-01
5.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,7.315286355891814640e-01,nan
1.000000000000000000e+01,0.000000000000000000e+00,2.463000000000000000e+03,1.693287095089136551e+00,2.911745643008831319e+00
1.000000000000000000e+01,1.000000000000000000e+00,2.250000000000000000e+03,1.598389259383083294e+00,3.176985373831156423e+00
1.000000000000000000e+01,2.000000000000000000e+00,1.036000000000000000e+03,1.446290539156383170e+00,2.905292711504139369e+00
1.000000000000000000e+01,3.000000000000000000e+00,3.100000000000000000e+02,9.790596481602176215e-01,2.078052883072031065e+00
1.000000000000000000e+01,4.000000000000000000e+00,4.300000000000000000e+01,9.042899687669982978e-01,1.347225702891700960e+00
1.000000000000000000e+01,5.000000000000000000e+00,9.000000000000000000e+00,1.821983007081109607e+00,2.432151937434271716e+00
1.000000000000000000e+01,6.000000000000000000e+00,1.000000000000000000e+00,2.670365049221054665e+00,nan
