time_ps,T_K,PE_eV_atom,P_GPa
1.000000000000000056e-01,3.996354678700000136e+02,-5.464142242647058723e+00,-7.168301306833332887e-02
2.000000000000000111e-01,4.038506442799999832e+02,-5.458409067279411886e+00,3.709153979633332820e-01
3.000000000000000444e-01,4.374858990199999766e+02,-5.459883469117647437e+00,2.819760368120000082e-01
4.000000000000000222e-01,3.953791367499999865e+02,-5.457498243382353564e+00,-6.773980702666666798e-02
5.000000000000000000e-01,4.150091303500000208e+02,-5.463078958455882095e+00,1.854631150133333461e-01
6.000000000000000888e-01,3.964793572199999971e+02,-5.465420514338235058e+00,-1.230831227083333257e-01
7.000000000000000666e-01,4.081826534499999752e+02,-5.467158412499999898e+00,-1.981233489083333021e-01
8.000000000000000444e-01,3.775918346899999847e+02,-5.462060137132352722e+00,-1.600121670206666735e-01
9.000000000000000222e-01,3.936463494899999773e+02,-5.461960446691175974e+00,9.738277075666668114e-02
1.000000000000000000e+00,4.231526350600000228e+02,-5.460833049632352498e+00,-5.075101113366665695e-01
1.100000000000000089e+00,3.965135738600000082e+02,-5.455893269485294184e+00,-1.563228562950000067e-01
1.200000000000000178e+00,4.128177136799999971e+02,-5.461492359926470641e+00,-1.722295579546666566e-01
1.300000000000000044e+00,3.903039160399999901e+02,-5.463260444485293910e+00,4.891208006133333508e-01
1.400000000000000133e+00,4.064058188199999790e+02,-5.466383159191176233e+00,9.819143939673165289e-02
1.500000000000000000e+00,3.914865348100000233e+02,-5.464899809191176239e+00,-2.297911189233333429e-01
1.600000000000000089e+00,3.949938752300000147e+02,-5.464127680514705432e+00,-1.616294552666666384e-01
1.700000000000000178e+00,4.376625198400000158e+02,-5.462049815073529935e+00,-1.135556764586666684e-01
1.800000000000000044e+00,3.948561807099999896e+02,-5.455732068014705227e+00,3.337265854433333345e-01
1.900000000000000133e+00,4.335642083399999933e+02,-5.465195040073529853e+00,1.116424674983333420e-01
2.000000000000000000e+00,3.853805089100000032e+02,-5.463486034191176621e+00,8.064265499999981887e-04
2.100000000000000089e+00,3.853023935200000096e+02,-5.463473978308823753e+00,-1.029560149353333370e-01
2.200000000000000178e+00,4.023594310799999789e+02,-5.461808265441176147e+00,9.226564366683333296e-02
2.300000000000000266e+00,4.010823019900000190e+02,-5.458929616176470212e+00,2.182966256999999966e-01
2.400000000000000355e+00,4.178927655100000038e+02,-5.462860899999999909e+00,5.286836766133334170e-02
2.500000000000000000e+00,3.643368224999999825e+02,-5.463609269485294462e+00,1.426411852599999974e-01
2.600000000000000089e+00,3.754253936999999723e+02,-5.465088509558823304e+00,-1.757543090623333304e-01
2.700000000000000178e+00,3.750514941700000122e+02,-5.460821765073529122e+00,1.763770058106666483e-01
2.800000000000000266e+00,3.963967557700000270e+02,-5.461021943014706004e+00,-3.155748970133332998e-01
2.900000000000000355e+00,4.092313689800000134e+02,-5.462397021323529778e+00,2.549155412033333179e-01
3.000000000000000000e+00,3.863497722800000247e+02,-5.460851699999999198e+00,9.164050551333331393e-03
3.100000000000000089e+00,4.223070506999999907e+02,-5.466325686764705871e+00,1.752225989940000284e-01
