lag_ps,Li_A2,Zr_A2,O_A2,Cl_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,9.118034306209357176e-01,1.049430268382808840e-01,1.783028341869745959e-01,3.287499443145893707e-01
2.000000000000000111e-01,1.604644034016945664e+00,2.573172363037540267e-01,3.379843444818331211e-01,7.758477268727440590e-01
2.999999999999999889e-01,2.138664035002621588e+00,4.379493807362700997e-01,4.861688713279094798e-01,1.218589005936829839e+00
4.000000000000000222e-01,2.647483321885094387e+00,6.511823174249987689e-01,6.428914104910099514e-01,1.671655304691451516e+00
5.000000000000000000e-01,3.142873945799830704e+00,8.664542920075012367e-01,7.918336758436417266e-01,2.116553281146752674e+00
5.999999999999999778e-01,3.622137193638319541e+00,1.087880662472766158e+00,9.363713642177226015e-01,2.563748097853447039e+00
7.000000000000000666e-01,4.098148956374077834e+00,1.309617924433066349e+00,1.078585178081891804e+00,2.994706130414538148e+00
8.000000000000000444e-01,4.568362010737992307e+00,1.529032736152217575e+00,1.220482739082626500e+00,3.410982755572836922e+00
9.000000000000000222e-01,5.027133073627294557e+00,1.748221224450876798e+00,1.360505953137753465e+00,3.821917158300654815e+00
1.000000000000000000e+00,5.480577104472282635e+00,1.963431906878329913e+00,1.499501890138363214e+00,4.221332675879160057e+00
1.100000000000000089e+00,5.926868702474554773e+00,2.175200897811793599e+00,1.634975627123097741e+00,4.610118784393843150e+00
1.199999999999999956e+00,6.365076633694360275e+00,2.384023927413315924e+00,1.767165840412312061e+00,4.986613791540316143e+00
1.300000000000000044e+00,6.793175122972970215e+00,2.587413275591679440e+00,1.895511361391845506e+00,5.350867868812280825e+00
1.400000000000000133e+00,7.216909596300058460e+00,2.786440153261950492e+00,2.019735937224691469e+00,5.705282643886588900e+00
1.500000000000000000e+00,7.637249015465940261e+00,2.980404070529569349e+00,2.140094154551174466e+00,6.051030503465325339e+00
1.600000000000000089e+00,8.049398464599061498e+00,3.169623443883754721e+00,2.255142785004337291e+00,6.388112821353121085e+00
1.699999999999999956e+00,8.466504368684454107e+00,3.354588822587800667e+00,2.369140696586200967e+00,6.717047663385607770e+00
1.800000000000000044e+00,8.882514818450628624e+00,3.535265561869509021e+00,2.479789257683876258e+00,7.040265652789481798e+00
1.900000000000000133e+00,9.297865002476354945e+00,3.712250308112888586e+00,2.589081757147120300e+00,7.358173077118817851e+00
2.000000000000000000e+00,9.711634765185102935e+00,3.885682729913574107e+00,2.691734826421064763e+00,7.669856138867897855e+00
2.100000000000000089e+00,1.011759752803896539e+01,4.055415978496824003e+00,2.791811434237712941e+00,7.975024937569960670e+00
2.200000000000000178e+00,1.051988641402274638e+01,4.222975079422031541e+00,2.888267275707634862e+00,8.274440991227082876e+00
2.300000000000000266e+00,1.091988446750769270e+01,4.387802876063807034e+00,2.980280716619718273e+00,8.568256998781135891e+00
2.399999999999999911e+00,1.131348879591546108e+01,4.549338270384124527e+00,3.070187020996196559e+00,8.856288502360511572e+00
2.500000000000000000e+00,1.170640268492468827e+01,4.707380914084208001e+00,3.157214894989791354e+00,9.139376118019056250e+00
2.600000000000000089e+00,1.209418875410101890e+01,4.861975890430994873e+00,3.241512091280705832e+00,9.418342708781901607e+00
2.700000000000000178e+00,1.248090172832160505e+01,5.012691892895557721e+00,3.324089971478436656e+00,9.691756134110807608e+00
2.800000000000000266e+00,1.286390929221689738e+01,5.160810510871415957e+00,3.400356362334815863e+00,9.961653106673955094e+00
2.899999999999999911e+00,1.324648307001402259e+01,5.306604644309115493e+00,3.475724152547162493e+00,1.022846807165840310e+01
3.000000000000000000e+00,1.362520801114135161e+01,5.450692465607834158e+00,3.551517214232204900e+00,1.049230038630714468e+01
3.100000000000000089e+00,1.400173467075650713e+01,5.594143616440394595e+00,3.627671969576337752e+00,1.075100596407842168e+01
3.200000000000000178e+00,1.438172375408759152e+01,5.736375007786052471e+00,3.702425653796995064e+00,1.100579448793142134e+01
3.300000000000000266e+00,1.476372554560508910e+01,5.877269381733630560e+00,3.775497118207844061e+00,1.125732777925913375e+01
3.399999999999999911e+00,1.514766903951523069e+01,6.017095451326198052e+00,3.848968545201746583e+00,1.150766142205965181e+01
3.500000000000000000e+00,1.553194985800987382e+01,6.156595783850413284e+00,3.924202902979344820e+00,1.175691013038800037e+01
3.600000000000000089e+00,1.591021644531765133e+01,6.295143647200389658e+00,3.997357579275855777e+00,1.200382088251542712e+01
3.700000000000000178e+00,1.628800326532244114e+01,6.432356246759820984e+00,4.069692415398344920e+00,1.224856527846676713e+01
3.800000000000000266e+00,1.666110940551639175e+01,6.568171745150506169e+00,4.139619080855223565e+00,1.249169334794016351e+01
3.899999999999999911e+00,1.703633183255908534e+01,6.702620211284638252e+00,4.208071431661465134e+00,1.273245743175386835e+01
4.000000000000000000e+00,1.740946015159062554e+01,6.835746630791695644e+00,4.275526072801456579e+00,1.297120516991289563e+01
4.099999999999999645e+00,1.778181346040192068e+01,6.967554990467824894e+00,4.342884821300393661e+00,1.320799331474819915e+01
4.200000000000000178e+00,1.814784527285760873e+01,7.098403385055994441e+00,4.410691927211197516e+00,1.344326310850631145e+01
4.299999999999999822e+00,1.851431737676570322e+01,7.227950971128957569e+00,4.475306117167163755e+00,1.367620069286789253e+01
4.400000000000000355e+00,1.888311777480451781e+01,7.356334298458317988e+00,4.540674460574862792e+00,1.390708573989377150e+01
4.500000000000000000e+00,1.925223842715115907e+01,7.484286550105675673e+00,4.603727994401109136e+00,1.413664655521555069e+01
4.600000000000000533e+00,1.962260419343271778e+01,7.611816092486829000e+00,4.668547708759168025e+00,1.436499610445952513e+01
4.700000000000000178e+00,1.998914825219956626e+01,7.738646719593311296e+00,4.733550634778097788e+00,1.459173217396323174e+01
4.799999999999999822e+00,2.035197472245168271e+01,7.864760340180972698e+00,4.799095606877187059e+00,1.481626819387808958e+01
4.900000000000000355e+00,2.071566969526994839e+01,7.989120943234505390e+00,4.863232181877555682e+00,1.503784692120234823e+01
5.000000000000000000e+00,2.108207638241342252e+01,8.112712908861375638e+00,4.926546456976318211e+00,1.525729675023480425e+01
5.100000000000000533e+00,2.144167335705160582e+01,8.235824715400763552e+00,4.989190829425909079e+00,1.547365789486104504e+01
5.200000000000000178e+00,2.180045031449867565e+01,8.357475873968425617e+00,5.051495568553327153e+00,1.568824180186829054e+01
5.299999999999999822e+00,2.216464246078439260e+01,8.478858669982964003e+00,5.113226457697186866e+00,1.590224041102083063e+01
5.400000000000000355e+00,2.253154596378277574e+01,8.599311025701629418e+00,5.172795818324170902e+00,1.611396822074469881e+01
5.500000000000000000e+00,2.289276232568304081e+01,8.718731347695353406e+00,5.234392756332578500e+00,1.632352325845966590e+01
5.600000000000000533e+00,2.325099171765330297e+01,8.837647076464165252e+00,5.294512992609972102e+00,1.653254253701728516e+01
5.700000000000000178e+00,2.360299134063090065e+01,8.955404057913609606e+00,5.355136831847270962e+00,1.674035863292602500e+01
5.799999999999999822e+00,2.395766290218801942e+01,9.072873115758561369e+00,5.416768836908653739e+00,1.694735637122027683e+01
5.900000000000000355e+00,2.431866743810703824e+01,9.190064334792358736e+00,5.475260153410825836e+00,1.715187009752309066e+01
6.000000000000000000e+00,2.467864480739761746e+01,9.306826957704833703e+00,5.535022413095058269e+00,1.735647276888256840e+01
6.100000000000000533e+00,2.502819807459241375e+01,9.423966843311701425e+00,5.594157449953246264e+00,1.756364319026295107e+01
6.200000000000000178e+00,2.537366791714111969e+01,9.541659725653865110e+00,5.652963260927776901e+00,1.777175159156581330e+01
6.299999999999999822e+00,2.572260685305888828e+01,9.659146312594581119e+00,5.710274318134577420e+00,1.797840152378398315e+01
6.400000000000000355e+00,2.606578579021097397e+01,9.777378037258761978e+00,5.767112032390148357e+00,1.818279823075035750e+01
6.500000000000000000e+00,2.640597202449981040e+01,9.894936353074429647e+00,5.821968522573643945e+00,1.838574857350894831e+01
6.600000000000000533e+00,2.675438277548190769e+01,1.001139090005172072e+01,5.875169255921139921e+00,1.858918014526532048e+01
6.700000000000000178e+00,2.710224239477583907e+01,1.012686538619547605e+01,5.926310512483464521e+00,1.879356077048035445e+01
6.799999999999999822e+00,2.745103015544619041e+01,1.024105635977248596e+01,5.973807901815443522e+00,1.899750806544594184e+01
6.900000000000000355e+00,2.779915618850326808e+01,1.035436635303599573e+01,6.021603833977604125e+00,1.920096034517768757e+01
7.000000000000000000e+00,2.814717277558392894e+01,1.046699229361014893e+01,6.070358801618791489e+00,1.940356911831967679e+01
7.100000000000000533e+00,2.849197190351133457e+01,1.057842018499148828e+01,6.117241482199458069e+00,1.960454937240625028e+01
7.200000000000000178e+00,2.883885960626819767e+01,1.068927834929866272e+01,6.165948835466900313e+00,1.980423445924925474e+01
7.299999999999999822e+00,2.918087486398598429e+01,1.080060253551120830e+01,6.214854433312279269e+00,2.000172393706714047e+01
7.400000000000000355e+00,2.952725749325069771e+01,1.091244758185016650e+01,6.264708435968127986e+00,2.019735561412789338e+01
7.500000000000000000e+00,2.987149489347831377e+01,1.102336151559353894e+01,6.314089724616808397e+00,2.039214889364481564e+01
7.600000000000000533e+00,3.021465566217005261e+01,1.113450188670704577e+01,6.365576374167233986e+00,2.058653859465434977e+01
7.700000000000000178e+00,3.056151511619927419e+01,1.124565984851551370e+01,6.419066222537190392e+00,2.078057034148366355e+01
7.799999999999999822e+00,3.090585648654624507e+01,1.135768371673044896e+01,6.475012451595546281e+00,2.097388409465695958e+01
7.900000000000000355e+00,3.124459250417685041e+01,1.147062171271851838e+01,6.532699131536988446e+00,2.116657867123731052e+01
8.000000000000000000e+00,3.158928044977077221e+01,1.158406678307567184e+01,6.590106806248919646e+00,2.135841112134579589e+01
8.099999999999999645e+00,3.193544185518366518e+01,1.169824360949846209e+01,6.648387433319486561e+00,2.154930527737334955e+01
8.199999999999999289e+00,3.227877480606279903e+01,1.181192554392666949e+01,6.707873304159763350e+00,2.174023476094222573e+01
8.300000000000000711e+00,3.261394788103681464e+01,1.192623633820044304e+01,6.768643892959964603e+00,2.193117309351858779e+01
8.400000000000000355e+00,3.295702465265736691e+01,1.204099422141918474e+01,6.826998497606232341e+00,2.212184780281026164e+01
8.500000000000000000e+00,3.329767613618511035e+01,1.215581045800313831e+01,6.886542359880340136e+00,2.231305827473669723e+01
8.599999999999999645e+00,3.363929720657979061e+01,1.227079212187863888e+01,6.946345535181907671e+00,2.250515902082561581e+01
8.700000000000001066e+00,3.398387993226167225e+01,1.238579132733937449e+01,7.006188526875327227e+00,2.269731631973379393e+01
8.800000000000000711e+00,3.432231197615315210e+01,1.250107707288612424e+01,7.068500890506520307e+00,2.289122510709996661e+01
8.900000000000000355e+00,3.466447009761110820e+01,1.261729168899255704e+01,7.128983474378697949e+00,2.308598543874571973e+01
9.000000000000000000e+00,3.501059002793078179e+01,1.273441161573159164e+01,7.190675691307075290e+00,2.328070608656756235e+01
9.099999999999999645e+00,3.535297343680838367e+01,1.285275715582428724e+01,7.254662512160551913e+00,2.347516508184320827e+01
9.200000000000001066e+00,3.569839047511442232e+01,1.297143271201844250e+01,7.322606514001095412e+00,2.366893994153298664e+01
9.300000000000000711e+00,3.604294740413438092e+01,1.309089281814735628e+01,7.391232703436877216e+00,2.386325778443186252e+01
9.400000000000000355e+00,3.639319291957364300e+01,1.321069246013293430e+01,7.461540257585422609e+00,2.405779188445898242e+01
9.500000000000000000e+00,3.674575574867734673e+01,1.333024363193635153e+01,7.531876250625861857e+00,2.425223618150820926e+01
9.599999999999999645e+00,3.709204858451506226e+01,1.345054113156488462e+01,7.599243300951529001e+00,2.444665448270759001e+01
9.700000000000001066e+00,3.743881768057867987e+01,1.357057978194557890e+01,7.666562730288190686e+00,2.464056742622897644e+01
9.800000000000000711e+00,3.778461362999345852e+01,1.369035354058901355e+01,7.733698829220195137e+00,2.483276036119075059e+01
9.900000000000000355e+00,3.812959704587656518e+01,1.380849356030625685e+01,7.801504202545192612e+00,2.502339701758610957e+01
1.000000000000000000e+01,3.847496634999969700e+01,1.392556156281566970e+01,7.868028449716406136e+00,2.521262576240575370e+01
1.009999999999999964e+01,3.882227761452135439e+01,1.404194708349183252e+01,7.931001420893916354e+00,2.540054718568212522e+01
1.020000000000000107e+01,3.916700778668740668e+01,1.415755758659384966e+01,7.992983067520210483e+00,2.558750980041016732e+01
1.030000000000000071e+01,3.951900822093445242e+01,1.427268609518501208e+01,8.055722155556903630e+00,2.577397068785263556e+01
1.040000000000000036e+01,3.987169393423683061e+01,1.438801572509230198e+01,8.117654595985969834e+00,2.595980272456017701e+01
1.050000000000000000e+01,4.022191397696344239e+01,1.450273909113703752e+01,8.178484781226032396e+00,2.614502867763539840e+01
1.059999999999999964e+01,4.057219411279032073e+01,1.461669135174094336e+01,8.239188805712018393e+00,2.632931057168642752e+01
1.070000000000000107e+01,4.091888888938445490e+01,1.473008137743948254e+01,8.299472104771618675e+00,2.651281104209367001e+01
1.080000000000000071e+01,4.126622751507788678e+01,1.484252449914916916e+01,8.357324732260966726e+00,2.669599127064885735e+01
1.090000000000000036e+01,4.162106140820753808e+01,1.495413798769427238e+01,8.417019479508933699e+00,2.687845441605861296e+01
1.100000000000000000e+01,4.197520096694165659e+01,1.506451477080331003e+01,8.475612475244489019e+00,2.705891235536886086e+01
1.109999999999999964e+01,4.232756179261715346e+01,1.517393741924063200e+01,8.533823279632306580e+00,2.723843498584075107e+01
