lag_ps,Li_A2,Zr_A2,O_A2,Cl_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,7.374349425759698651e-01,9.558089080969511819e-02,1.334103514968567883e-01,2.641395418075436208e-01
2.000000000000000111e-01,1.202014962328390446e+00,2.049357217400064601e-01,2.134877487306765798e-01,5.327942174632144257e-01
2.999999999999999889e-01,1.536656219247419353e+00,2.999769374204683259e-01,2.730858303534682840e-01,7.362012841476731628e-01
4.000000000000000222e-01,1.831533559580506898e+00,3.973668011177472481e-01,3.296999259965946449e-01,9.213190808451694469e-01
5.000000000000000000e-01,2.095730512234977638e+00,4.736244799458068644e-01,3.824022094284564299e-01,1.070258852689499829e+00
5.999999999999999778e-01,2.340267078384405064e+00,5.411398979472205051e-01,4.291189836214988063e-01,1.202250066515552440e+00
6.999999999999999556e-01,2.567173935818458208e+00,6.004481012873357226e-01,4.685885084992922889e-01,1.308315689051825936e+00
8.000000000000000444e-01,2.782745086761332587e+00,6.532510683418936148e-01,5.043086428247942621e-01,1.407274878714035671e+00
9.000000000000000222e-01,2.994245676850879612e+00,7.022545976133005574e-01,5.385814458120199433e-01,1.504426545157400597e+00
1.000000000000000000e+00,3.193625508916989819e+00,7.444343326538893635e-01,5.694151815255992233e-01,1.589608924384338762e+00
1.100000000000000089e+00,3.384143617283842609e+00,7.838136336179865049e-01,5.976921000149780783e-01,1.668355203389791042e+00
1.199999999999999956e+00,3.575008892017386586e+00,8.189031827978648925e-01,6.217026871517513653e-01,1.740800952034285976e+00
1.300000000000000044e+00,3.759192166304089255e+00,8.502299756382207807e-01,6.445902511667677137e-01,1.809216869522137117e+00
1.399999999999999911e+00,3.938200599157796855e+00,8.797374553772651096e-01,6.662027888495940520e-01,1.875178654600327510e+00
1.500000000000000000e+00,4.113298433818666666e+00,9.055937380437807382e-01,6.841499751832530452e-01,1.937541551415244312e+00
1.600000000000000089e+00,4.286803533741908367e+00,9.302687037520941393e-01,7.008326516283747143e-01,1.997740586763701032e+00
1.699999999999999956e+00,4.455451605626122635e+00,9.536865405406490526e-01,7.146325345873434376e-01,2.055989020335421635e+00
1.800000000000000044e+00,4.623376245319923861e+00,9.753193258460282067e-01,7.277860283481695225e-01,2.112535494539373282e+00
1.899999999999999911e+00,4.787863562883942770e+00,9.966048860709492141e-01,7.403910185870558047e-01,2.167470789557736754e+00
2.000000000000000000e+00,4.949593247244497896e+00,1.017039247493665144e+00,7.522633656395384394e-01,2.220687834548353390e+00
2.100000000000000089e+00,5.110401241752906110e+00,1.036110628181435844e+00,7.618892859261604533e-01,2.272104602789114303e+00
