elapsed_ps,pair76_108_A,minimum_all_NN_A
1.000000000000000021e-02,1.330122416922532524e+00,1.330122416922532524e+00
2.000000000000000042e-02,1.356674184229998081e+00,1.356674184229998081e+00
2.999999999999999889e-02,1.717946909562090951e+00,1.717946909562090951e+00
4.000000000000000083e-02,1.349663928551454672e+00,1.349663928551454672e+00
5.000000000000000278e-02,1.272313875349692758e+00,1.272313875349692758e+00
5.999999999999999778e-02,1.609102068592821677e+00,1.609102068592821677e+00
7.000000000000000666e-02,1.186957399571367811e+00,1.186957399571367811e+00
8.000000000000000167e-02,1.450104686501517470e+00,1.450104686501517470e+00
8.999999999999999667e-02,1.340562351605339986e+00,1.340562351605339986e+00
1.000000000000000056e-01,1.321089116470506308e+00,1.321089116470506308e+00
1.100000000000000006e-01,1.511991213555627489e+00,1.511991213555627489e+00
1.199999999999999956e-01,1.179079290202357022e+00,1.179079290202357022e+00
1.300000000000000044e-01,1.439465778091413295e+00,1.439465778091413295e+00
1.400000000000000133e-01,1.285609650661934777e+00,1.285609650661934777e+00
1.499999999999999944e-01,1.401495860121976245e+00,1.401495860121976245e+00
1.600000000000000033e-01,1.442353685600497260e+00,1.442353685600497260e+00
1.700000000000000122e-01,1.244913921567139869e+00,1.244913921567139869e+00
1.799999999999999933e-01,1.459366497959678100e+00,1.459366497959678100e+00
1.900000000000000022e-01,1.181028272177602645e+00,1.181028272177602645e+00
2.000000000000000111e-01,1.406236776277446809e+00,1.406236776277446809e+00
2.099999999999999922e-01,1.253688036142354578e+00,1.253688036142354578e+00
2.200000000000000011e-01,1.420699613911647452e+00,1.420699613911647452e+00
2.300000000000000100e-01,1.227339218629404094e+00,1.227339218629404094e+00
2.399999999999999911e-01,1.350471733043467459e+00,1.350471733043467459e+00
2.500000000000000000e-01,1.293814970006099685e+00,1.293814970006099685e+00
2.600000000000000089e-01,1.341179731155768273e+00,1.341179731155768273e+00
2.700000000000000178e-01,1.270201099478481144e+00,1.270201099478481144e+00
2.800000000000000266e-01,1.288404669982314621e+00,1.288404669982314621e+00
2.899999999999999800e-01,1.277238156575330574e+00,1.277238156575330574e+00
2.999999999999999889e-01,1.261876053155534860e+00,1.261876053155534860e+00
3.099999999999999978e-01,1.343645377753956760e+00,1.343645377753956760e+00
3.200000000000000067e-01,1.335658681375841761e+00,1.335658681375841761e+00
3.300000000000000155e-01,1.320760416773311352e+00,1.320760416773311352e+00
3.400000000000000244e-01,1.269845848683475165e+00,1.269845848683475165e+00
3.499999999999999778e-01,1.346160161059100080e+00,1.346160161059100080e+00
3.599999999999999867e-01,1.287051236100260398e+00,1.287051236100260398e+00
3.699999999999999956e-01,1.390626377067709196e+00,1.390626377067709196e+00
3.800000000000000044e-01,1.314755473440966549e+00,1.314755473440966549e+00
3.900000000000000133e-01,1.359290505763643742e+00,1.359290505763643742e+00
4.000000000000000222e-01,1.307833249070751158e+00,1.307833249070751158e+00
4.099999999999999756e-01,1.356449407772450044e+00,1.356449407772450044e+00
4.199999999999999845e-01,1.243510822600215171e+00,1.243510822600215171e+00
4.299999999999999933e-01,1.368472225301997636e+00,1.368472225301997636e+00
4.400000000000000022e-01,1.259327972605030155e+00,1.259327972605030155e+00
4.500000000000000111e-01,1.355602834121780731e+00,1.355602834121780731e+00
4.600000000000000200e-01,1.264680112995874905e+00,1.264680112995874905e+00
4.699999999999999734e-01,1.363012614930695365e+00,1.363012614930695365e+00
4.799999999999999822e-01,1.203210705504432099e+00,1.203210705504432099e+00
4.899999999999999911e-01,1.367625127751034952e+00,1.367625127751034952e+00
5.000000000000000000e-01,1.240280057856203211e+00,1.240280057856203211e+00
5.100000000000000089e-01,1.414042145396966266e+00,1.414042145396966266e+00
5.200000000000000178e-01,1.218275878514145871e+00,1.218275878514145871e+00
5.300000000000000266e-01,1.371868405795652279e+00,1.371868405795652279e+00
5.400000000000000355e-01,1.192178302270144208e+00,1.192178302270144208e+00
5.500000000000000444e-01,1.414128286238697907e+00,1.414128286238697907e+00
5.600000000000000533e-01,1.201349978334530499e+00,1.201349978334530499e+00
5.699999999999999512e-01,1.411709284189502478e+00,1.411709284189502478e+00
5.799999999999999600e-01,1.197424388722560407e+00,1.197424388722560407e+00
5.899999999999999689e-01,1.407440026254873411e+00,1.407440026254873411e+00
5.999999999999999778e-01,1.204917272325934041e+00,1.204917272325934041e+00
6.099999999999999867e-01,1.431000508955857287e+00,1.431000508955857287e+00
6.199999999999999956e-01,1.213435392601280860e+00,1.213435392601280860e+00
6.300000000000000044e-01,1.423172306866740344e+00,1.423172306866740344e+00
6.400000000000000133e-01,1.207249345430357668e+00,1.207249345430357668e+00
6.500000000000000222e-01,1.439814498375882268e+00,1.439814498375882268e+00
6.600000000000000311e-01,1.207106806974843627e+00,1.207106806974843627e+00
6.700000000000000400e-01,1.385666405635602283e+00,1.385666405635602283e+00
6.800000000000000488e-01,1.219513583056303752e+00,1.219513583056303752e+00
6.899999999999999467e-01,1.441103099232890594e+00,1.441103099232890594e+00
6.999999999999999556e-01,1.242659308366802051e+00,1.242659308366802051e+00
7.099999999999999645e-01,1.367577471996286320e+00,1.367577471996286320e+00
7.199999999999999734e-01,1.233287663452833360e+00,1.233287663452833360e+00
7.299999999999999822e-01,1.404853464222355575e+00,1.404853464222355575e+00
7.399999999999999911e-01,1.275376103478824685e+00,1.275376103478824685e+00
7.500000000000000000e-01,1.384552523683105107e+00,1.384552523683105107e+00
7.600000000000000089e-01,1.253879245491138272e+00,1.253879245491138272e+00
7.700000000000000178e-01,1.338085172223928199e+00,1.338085172223928199e+00
7.800000000000000266e-01,1.244392359439619788e+00,1.244392359439619788e+00
7.900000000000000355e-01,1.318099869661331303e+00,1.318099869661331303e+00
8.000000000000000444e-01,1.342558448747774191e+00,1.342558448747774191e+00
8.100000000000000533e-01,1.343266144200673917e+00,1.343266144200673917e+00
8.199999999999999512e-01,1.315678391244207379e+00,1.315678391244207379e+00
8.299999999999999600e-01,1.289987417869548736e+00,1.289987417869548736e+00
8.399999999999999689e-01,1.326853160393832720e+00,1.326853160393832720e+00
8.499999999999999778e-01,1.338995170623590303e+00,1.338995170623590303e+00
8.599999999999999867e-01,1.364059342428353583e+00,1.364059342428353583e+00
8.699999999999999956e-01,1.301985588827631268e+00,1.301985588827631268e+00
8.800000000000000044e-01,1.325645920109061349e+00,1.325645920109061349e+00
8.900000000000000133e-01,1.261575719371760052e+00,1.261575719371760052e+00
9.000000000000000222e-01,1.387541536793094998e+00,1.387541536793094998e+00
9.100000000000000311e-01,1.414145347584761847e+00,1.414145347584761847e+00
9.200000000000000400e-01,1.308629858342175822e+00,1.308629858342175822e+00
9.300000000000000488e-01,1.304142437623802220e+00,1.304142437623802220e+00
9.399999999999999467e-01,1.290266231604494163e+00,1.290266231604494163e+00
9.499999999999999556e-01,1.323046603875130733e+00,1.323046603875130733e+00
9.599999999999999645e-01,1.283738446863841975e+00,1.283738446863841975e+00
9.699999999999999734e-01,1.315434259160330299e+00,1.315434259160330299e+00
9.799999999999999822e-01,1.306609461601140110e+00,1.306609461601140110e+00
9.899999999999999911e-01,1.301673556524798547e+00,1.301673556524798547e+00
1.000000000000000000e+00,1.369040228639236689e+00,1.369040228639236689e+00
1.010000000000000009e+00,1.325089626417949473e+00,1.325089626417949473e+00
1.020000000000000018e+00,1.289513000664738618e+00,1.289513000664738618e+00
1.030000000000000027e+00,1.226605177062824570e+00,1.226605177062824570e+00
1.040000000000000036e+00,1.346964215055405312e+00,1.346964215055405312e+00
1.050000000000000044e+00,1.244675602154657446e+00,1.244675602154657446e+00
1.060000000000000053e+00,1.373836792274073515e+00,1.373836792274073515e+00
1.070000000000000062e+00,1.245242894151506796e+00,1.245242894151506796e+00
1.080000000000000071e+00,1.337300035801133102e+00,1.337300035801133102e+00
