lag_ps,Li_A2,Zr_A2,Cl_A2,O_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,3.100317629610229164e-01,4.915559811932295603e-02,1.297526399614549741e-01,7.600370250238919212e-02
2.000000000000000111e-01,4.370442634237323154e-01,9.960808940644030884e-02,2.324508084033129196e-01,1.093730301080456102e-01
3.000000000000000444e-01,5.069190977946872456e-01,1.342698293715768598e-01,2.820419783346959641e-01,1.283544001040089755e-01
4.000000000000000222e-01,5.593656980096400888e-01,1.640058874603781691e-01,3.163524222848331235e-01,1.459027529672134171e-01
5.000000000000000000e-01,5.985682118803606899e-01,1.790116943180618259e-01,3.342036075044904631e-01,1.575664876046678764e-01
6.000000000000000888e-01,6.257028938210764668e-01,1.847929655083589418e-01,3.424899743580686606e-01,1.642227868306972149e-01
7.000000000000000666e-01,6.450748252768346847e-01,1.850586156427717899e-01,3.444112135276370945e-01,1.630306040127285361e-01
8.000000000000000444e-01,6.610120727981574351e-01,1.832342747212932221e-01,3.457675468639768157e-01,1.626276591708462338e-01
9.000000000000000222e-01,6.722976830666042014e-01,1.799305268914035971e-01,3.455285322534666914e-01,1.608146143627101898e-01
1.000000000000000000e+00,6.822926200985948153e-01,1.756138143174834632e-01,3.427229753539833279e-01,1.569621968074206564e-01
1.100000000000000089e+00,6.887867788865621455e-01,1.701594713563948646e-01,3.386189642041898540e-01,1.509823671608330753e-01
1.200000000000000178e+00,6.953660719655873068e-01,1.654347606076498056e-01,3.335375477003417743e-01,1.456245633447529053e-01
1.300000000000000044e+00,7.041274683942614354e-01,1.604494231555978201e-01,3.295206721296497498e-01,1.414919398925404137e-01
1.400000000000000133e+00,7.119276501802075385e-01,1.569026585487981185e-01,3.269964444390354719e-01,1.387927281083396192e-01
1.500000000000000000e+00,7.197787157884067977e-01,1.543939593674056032e-01,3.249661109640535894e-01,1.381498227395207001e-01
1.600000000000000089e+00,7.277575624727699033e-01,1.537495166336762531e-01,3.242296486232773001e-01,1.383491506702290152e-01
1.700000000000000178e+00,7.365523530315459810e-01,1.553246453301290186e-01,3.256637288015274412e-01,1.404428737982670039e-01
1.800000000000000044e+00,7.468016263728024517e-01,1.578867403146455572e-01,3.289122677338950917e-01,1.430099851239830799e-01
1.900000000000000133e+00,7.572974395113565294e-01,1.617588860337806911e-01,3.336825536371026413e-01,1.454903967243522112e-01
2.000000000000000000e+00,7.692159155294143735e-01,1.653217838516674865e-01,3.386295888514218033e-01,1.481670162145816150e-01
