PS_cutoff_A,PP_cutoff_A,time_ps,geometric_component,count
2.4,2.6,11,P1S4,51
2.4,2.6,11,P3S10,1
2.4,2.6,11,P2S7,5
2.4,2.6,11,P0S1,7
2.4,2.6,12,P1S4,51
2.4,2.6,12,P3S10,1
2.4,2.6,12,P2S7,5
2.4,2.6,12,P0S1,7
2.4,2.6,13,P1S4,51
2.4,2.6,13,P3S10,1
2.4,2.6,13,P2S7,5
2.4,2.6,13,P0S1,7
2.4,2.6,14,P1S4,51
2.4,2.6,14,P3S10,1
2.4,2.6,14,P2S7,5
2.4,2.6,14,P0S1,7
2.4,2.6,15,P1S4,51
2.4,2.6,15,P3S10,1
2.4,2.6,15,P2S7,5
2.4,2.6,15,P0S1,7
2.4,2.6,16,P1S4,51
2.4,2.6,16,P3S10,1
2.4,2.6,16,P2S7,5
2.4,2.6,16,P0S1,7
2.4,2.6,17,P1S4,51
2.4,2.6,17,P3S10,1
2.4,2.6,17,P2S7,5
2.4,2.6,17,P0S1,7
2.4,2.6,18,P1S4,51
2.4,2.6,18,P3S10,1
2.4,2.6,18,P2S7,5
2.4,2.6,18,P0S1,7
2.4,2.6,19,P1S4,51
2.4,2.6,19,P3S10,1
2.4,2.6,19,P2S7,5
2.4,2.6,19,P0S1,7
2.4,2.6,20,P1S4,51
2.4,2.6,20,P3S10,1
2.4,2.6,20,P2S7,5
2.4,2.6,20,P0S1,7
2.6,2.6,11,P1S4,51
2.6,2.6,11,P3S10,1
2.6,2.6,11,P2S7,5
2.6,2.6,11,P0S1,7
2.6,2.6,12,P1S4,51
2.6,2.6,12,P3S10,1
2.6,2.6,12,P2S7,5
2.6,2.6,12,P0S1,7
2.6,2.6,13,P1S4,51
2.6,2.6,13,P3S10,1
2.6,2.6,13,P2S7,5
2.6,2.6,13,P0S1,7
2.6,2.6,14,P1S4,51
2.6,2.6,14,P3S10,1
2.6,2.6,14,P2S7,5
2.6,2.6,14,P0S1,7
2.6,2.6,15,P1S4,51
2.6,2.6,15,P3S10,1
2.6,2.6,15,P2S7,5
2.6,2.6,15,P0S1,7
2.6,2.6,16,P1S4,51
2.6,2.6,16,P3S10,1
2.6,2.6,16,P2S7,5
2.6,2.6,16,P0S1,7
2.6,2.6,17,P1S4,51
2.6,2.6,17,P3S10,1
2.6,2.6,17,P2S7,5
2.6,2.6,17,P0S1,7
2.6,2.6,18,P1S4,51
2.6,2.6,18,P3S10,1
2.6,2.6,18,P2S7,5
2.6,2.6,18,P0S1,7
2.6,2.6,19,P1S4,51
2.6,2.6,19,P3S10,1
2.6,2.6,19,P2S7,5
2.6,2.6,19,P0S1,7
2.6,2.6,20,P1S4,51
2.6,2.6,20,P3S10,1
2.6,2.6,20,P2S7,5
2.6,2.6,20,P0S1,7
2.8,2.6,11,P1S4,51
2.8,2.6,11,P3S10,1
2.8,2.6,11,P2S7,5
2.8,2.6,11,P0S1,7
2.8,2.6,12,P1S4,51
2.8,2.6,12,P3S10,1
2.8,2.6,12,P2S7,5
2.8,2.6,12,P0S1,7
2.8,2.6,13,P1S4,51
2.8,2.6,13,P3S10,1
2.8,2.6,13,P2S7,5
2.8,2.6,13,P0S1,7
2.8,2.6,14,P1S4,51
2.8,2.6,14,P3S10,1
2.8,2.6,14,P2S7,5
2.8,2.6,14,P0S1,7
2.8,2.6,15,P1S4,51
2.8,2.6,15,P3S10,1
2.8,2.6,15,P2S7,5
2.8,2.6,15,P0S1,7
2.8,2.6,16,P1S4,51
2.8,2.6,16,P3S10,1
2.8,2.6,16,P2S7,5
2.8,2.6,16,P0S1,7
2.8,2.6,17,P1S4,51
2.8,2.6,17,P3S10,1
2.8,2.6,17,P2S7,5
2.8,2.6,17,P0S1,7
2.8,2.6,18,P1S4,51
2.8,2.6,18,P3S10,1
2.8,2.6,18,P2S7,5
2.8,2.6,18,P0S1,7
2.8,2.6,19,P1S4,51
2.8,2.6,19,P3S10,1
2.8,2.6,19,P2S7,5
2.8,2.6,19,P0S1,7
2.8,2.6,20,P1S4,51
2.8,2.6,20,P3S10,1
2.8,2.6,20,P2S7,5
2.8,2.6,20,P0S1,7
