time_ps,density_g_cm3,CN_ZrO_2.6A,CN_ZrCl_3.2A,fraction_S_fourO_2A
1.000000000000000056e-01,1.895542401548760747e+00,1.531250000000000000e+00,4.156250000000000000e+00,1.000000000000000000e+00
2.000000000000000111e-01,1.923892933843885711e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
3.000000000000000444e-01,1.905344188404644257e+00,1.500000000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
4.000000000000000222e-01,1.854291114886306380e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e-01,1.844826545698755815e+00,1.531250000000000000e+00,4.187500000000000000e+00,1.000000000000000000e+00
6.000000000000000888e-01,1.819445152176492941e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
7.000000000000000666e-01,1.814593608074345665e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
8.000000000000000444e-01,1.812693999791858079e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
9.000000000000000222e-01,1.827048844431174546e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.830375682400089854e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.100000000000000089e+00,1.830839224542443633e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
1.200000000000000178e+00,1.824477545483589980e+00,1.531250000000000000e+00,4.187500000000000000e+00,1.000000000000000000e+00
1.300000000000000044e+00,1.819365493833911440e+00,1.531250000000000000e+00,4.187500000000000000e+00,1.000000000000000000e+00
1.400000000000000133e+00,1.823411712022618314e+00,1.531250000000000000e+00,4.187500000000000000e+00,1.000000000000000000e+00
1.500000000000000000e+00,1.824697465189400569e+00,1.562500000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
1.600000000000000089e+00,1.823892264690130105e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
1.700000000000000178e+00,1.816718958542823836e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.800000000000000044e+00,1.815876074233269133e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
1.900000000000000133e+00,1.821084601664501701e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
2.000000000000000000e+00,1.822093908871845302e+00,1.562500000000000000e+00,4.156250000000000000e+00,1.000000000000000000e+00
2.100000000000000089e+00,1.835942133979086677e+00,1.562500000000000000e+00,4.187500000000000000e+00,1.000000000000000000e+00
2.200000000000000178e+00,1.840603395074539961e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
2.300000000000000266e+00,1.819434928916831895e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
2.400000000000000355e+00,1.820176384965713989e+00,1.562500000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
2.500000000000000000e+00,1.830062325951193003e+00,1.562500000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
2.600000000000000089e+00,1.832154665102207147e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
2.700000000000000178e+00,1.803476365496237577e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
2.800000000000000266e+00,1.790171765981171115e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
2.900000000000000355e+00,1.785131900657926929e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,1.796455155565344519e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
3.100000000000000089e+00,1.816981470227962525e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
3.200000000000000178e+00,1.824174866827865671e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
3.300000000000000266e+00,1.815171453965595205e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
3.400000000000000355e+00,1.805626736822779632e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
3.500000000000000000e+00,1.791468056159773337e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
3.600000000000000089e+00,1.800913990993569636e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
3.700000000000000178e+00,1.814202748380822294e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
3.800000000000000266e+00,1.811313277078977491e+00,1.562500000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
3.900000000000000355e+00,1.796763003367498390e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,1.795129234217458958e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
4.100000000000000533e+00,1.796302540377321622e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
4.200000000000000178e+00,1.815525902362992383e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
4.299999999999999822e+00,1.813449845691026407e+00,1.500000000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
4.400000000000000355e+00,1.824237436116024735e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
4.500000000000000000e+00,1.848213757545567493e+00,1.531250000000000000e+00,4.312500000000000000e+00,1.000000000000000000e+00
4.600000000000000533e+00,1.862606391163678543e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
4.700000000000000178e+00,1.883305715247017620e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
4.800000000000000711e+00,1.897537834687921920e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
4.900000000000000355e+00,1.900209083135935728e+00,1.500000000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
5.000000000000000000e+00,1.889269468105589933e+00,1.500000000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
5.100000000000000533e+00,1.852484003458267692e+00,1.500000000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
5.200000000000000178e+00,1.815245443849768048e+00,1.500000000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
5.300000000000000711e+00,1.812812611383967321e+00,1.500000000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
5.400000000000000355e+00,1.840511981482155335e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
5.500000000000000000e+00,1.856850008420330767e+00,1.500000000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
5.600000000000000533e+00,1.863623311179553710e+00,1.500000000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
5.700000000000000178e+00,1.851130644530771141e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
5.800000000000000711e+00,1.825440032698076198e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
5.900000000000000355e+00,1.804543078947221213e+00,1.562500000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
6.000000000000000000e+00,1.816801079592859081e+00,1.562500000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
6.100000000000000533e+00,1.811724270272299986e+00,1.562500000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
6.200000000000000178e+00,1.814963585129324652e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
6.300000000000000711e+00,1.809020236109709412e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
6.400000000000000355e+00,1.798657140936950949e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
6.500000000000000000e+00,1.801075599455022269e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
6.600000000000000533e+00,1.808867322554596813e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
6.700000000000000178e+00,1.802119344507341570e+00,1.531250000000000000e+00,4.281250000000000000e+00,1.000000000000000000e+00
6.800000000000000711e+00,1.806446261155297384e+00,1.531250000000000000e+00,4.218750000000000000e+00,1.000000000000000000e+00
6.900000000000000355e+00,1.834571949179463202e+00,1.531250000000000000e+00,4.250000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,1.841091220082321955e+00,1.562500000000000000e+00,4.187500000000000000e+00,1.000000000000000000e+00
