lag_ps,Li_MSD_A2
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,3.244668373443762022e-01
2.000000000000000111e-01,4.613156874495719650e-01
3.000000000000000444e-01,5.313993573209323529e-01
4.000000000000000222e-01,5.935597976638339324e-01
5.000000000000000000e-01,6.424802031868848129e-01
6.000000000000000888e-01,6.780024615747384242e-01
7.000000000000000666e-01,7.020207857677033259e-01
8.000000000000000444e-01,7.274816175795958406e-01
9.000000000000000222e-01,7.464252494670957638e-01
1.000000000000000000e+00,7.678294907380980305e-01
1.100000000000000089e+00,7.849729195437439300e-01
1.200000000000000178e+00,7.975638447783828244e-01
1.300000000000000044e+00,8.102673359332309699e-01
1.400000000000000133e+00,8.222747371307472797e-01
1.500000000000000000e+00,8.351201554185065934e-01
1.600000000000000089e+00,8.509751405821679437e-01
1.700000000000000178e+00,8.625526070230683517e-01
1.800000000000000044e+00,8.762262859336901188e-01
1.900000000000000133e+00,8.900246689712336678e-01
2.000000000000000000e+00,8.996090842876944826e-01
2.100000000000000089e+00,9.147811713832331160e-01
2.200000000000000178e+00,9.265459014022570106e-01
2.300000000000000266e+00,9.375844900013537986e-01
2.400000000000000355e+00,9.487841469082823886e-01
2.500000000000000000e+00,9.582528462588305596e-01
2.600000000000000089e+00,9.697533259396269312e-01
2.700000000000000178e+00,9.805132455538253522e-01
2.800000000000000266e+00,9.928265364634343282e-01
2.900000000000000355e+00,1.006925239544859796e+00
3.000000000000000000e+00,1.017278250408875317e+00
3.100000000000000089e+00,1.026647620596614630e+00
3.200000000000000178e+00,1.033460733762136208e+00
3.300000000000000266e+00,1.041337944710493124e+00
3.400000000000000355e+00,1.053526899332947853e+00
3.500000000000000000e+00,1.062487682117966070e+00
3.600000000000000089e+00,1.068381284435917955e+00
3.700000000000000178e+00,1.079201584676140913e+00
3.800000000000000266e+00,1.089042987798301665e+00
3.900000000000000355e+00,1.103027671756704908e+00
4.000000000000000000e+00,1.110930412360332964e+00
4.100000000000000533e+00,1.118611608735859297e+00
4.200000000000000178e+00,1.129648163372414249e+00
4.299999999999999822e+00,1.133661303314077218e+00
4.400000000000000355e+00,1.143038103159210950e+00
4.500000000000000000e+00,1.153120057769387641e+00
4.600000000000000533e+00,1.163905078070297083e+00
4.700000000000000178e+00,1.174785921448431969e+00
4.800000000000000711e+00,1.191727627278656110e+00
4.900000000000000355e+00,1.205368973909804797e+00
5.000000000000000000e+00,1.216729731026392258e+00
5.100000000000000533e+00,1.223960854590864011e+00
5.200000000000000178e+00,1.232108269392706790e+00
5.300000000000000711e+00,1.243442929851394485e+00
5.400000000000000355e+00,1.251661523878281113e+00
5.500000000000000000e+00,1.259139754751904983e+00
5.600000000000000533e+00,1.267441500447876512e+00
5.700000000000000178e+00,1.276322039123169327e+00
5.800000000000000711e+00,1.284425341180806868e+00
5.900000000000000355e+00,1.295296993754794235e+00
6.000000000000000000e+00,1.301982948488078051e+00
6.100000000000000533e+00,1.306154237587802136e+00
6.200000000000000178e+00,1.311281481167874352e+00
6.300000000000000711e+00,1.315986905785881289e+00
6.400000000000000355e+00,1.322246592061059101e+00
6.500000000000000000e+00,1.328260997876363980e+00
6.600000000000000533e+00,1.333784299740396362e+00
6.700000000000000178e+00,1.340660601881479508e+00
6.800000000000000711e+00,1.348070870691722378e+00
6.900000000000000355e+00,1.352459364100399242e+00
7.000000000000000000e+00,1.361811428452863959e+00
7.100000000000000533e+00,1.369207861611865029e+00
7.200000000000000178e+00,1.379173386882192043e+00
7.300000000000000711e+00,1.390984447428733173e+00
7.400000000000000355e+00,1.402575873525392369e+00
7.500000000000000000e+00,1.414114992501233070e+00
7.600000000000000533e+00,1.421744710110204091e+00
7.700000000000000178e+00,1.426503320942700714e+00
7.800000000000000711e+00,1.432066856479401240e+00
7.900000000000000355e+00,1.442956635917163277e+00
8.000000000000000000e+00,1.452099078086784179e+00
8.099999999999999645e+00,1.457011793407161360e+00
8.200000000000001066e+00,1.462023897664336269e+00
8.300000000000000711e+00,1.470132942027660539e+00
8.400000000000000355e+00,1.479098992139916247e+00
8.500000000000000000e+00,1.483312152271662576e+00
8.599999999999999645e+00,1.493274023461451439e+00
8.700000000000001066e+00,1.501026055035326712e+00
8.800000000000000711e+00,1.506874863170765577e+00
8.900000000000000355e+00,1.508667370330929236e+00
9.000000000000000000e+00,1.514893389097941689e+00
9.099999999999999645e+00,1.523095731110398754e+00
9.200000000000001066e+00,1.529108661097763333e+00
9.300000000000000711e+00,1.534294257779527992e+00
9.400000000000000355e+00,1.541884434367770451e+00
9.500000000000000000e+00,1.549177866076013599e+00
9.600000000000001421e+00,1.557114108061579794e+00
9.700000000000001066e+00,1.565528991371916145e+00
9.800000000000000711e+00,1.576018846029551446e+00
9.900000000000000355e+00,1.584094657813625906e+00
1.000000000000000000e+01,1.594781995324830115e+00
1.010000000000000142e+01,1.605791973754877811e+00
1.020000000000000107e+01,1.614962473268080512e+00
1.030000000000000071e+01,1.621773900780874911e+00
1.040000000000000036e+01,1.628628753333367207e+00
1.050000000000000000e+01,1.633020720703115769e+00
1.060000000000000142e+01,1.639259055327664916e+00
1.070000000000000107e+01,1.645772115858694651e+00
1.080000000000000071e+01,1.655651864192612344e+00
1.090000000000000036e+01,1.661112648136951586e+00
1.100000000000000000e+01,1.670838893134956926e+00
1.110000000000000142e+01,1.677195370247446471e+00
