lag_ps,Zr_A2,O_A2,Cl_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,5.149621979985131992e-02,7.746191968127121019e-02,1.365365609685802173e-01
2.000000000000000111e-01,1.020408990527477550e-01,1.149124284484602521e-01,2.433885757527425309e-01
3.000000000000000444e-01,1.348230267793935899e-01,1.278402829189378143e-01,2.947670097903033470e-01
4.000000000000000222e-01,1.642792997459709969e-01,1.448115914336679799e-01,3.346378503465426424e-01
5.000000000000000000e-01,1.783703222936896815e-01,1.591126469639628782e-01,3.563885987785219700e-01
6.000000000000000888e-01,1.833813517627900791e-01,1.678464380965105640e-01,3.665568472515711718e-01
7.000000000000000666e-01,1.852329757461944060e-01,1.674685451011543591e-01,3.689643470223302746e-01
8.000000000000000444e-01,1.864843567173856964e-01,1.673241563535231013e-01,3.731243977483528207e-01
9.000000000000000222e-01,1.859228293044805636e-01,1.672035503273877344e-01,3.759890943776184047e-01
1.000000000000000000e+00,1.826344561004123457e-01,1.647632614373860382e-01,3.736577813605979070e-01
1.100000000000000089e+00,1.780036334171624102e-01,1.602962216290147457e-01,3.714727621002649194e-01
1.200000000000000178e+00,1.731463806885016887e-01,1.570920970958980811e-01,3.672604375534151422e-01
1.300000000000000044e+00,1.693469347106636713e-01,1.542767102362843090e-01,3.621869117814477956e-01
1.400000000000000133e+00,1.674369099175212483e-01,1.524841566797863202e-01,3.605561427968027033e-01
1.500000000000000000e+00,1.671193004701305163e-01,1.524403423096722943e-01,3.629681526204632247e-01
1.600000000000000089e+00,1.683218024026093551e-01,1.559019404706682710e-01,3.664913121812549690e-01
1.700000000000000178e+00,1.703425920765955781e-01,1.565595891972504095e-01,3.696294038624459155e-01
1.800000000000000044e+00,1.736023266442796864e-01,1.584408893171095345e-01,3.742682024481316927e-01
1.900000000000000133e+00,1.766371653842535583e-01,1.605312769971224685e-01,3.785499133477187583e-01
2.000000000000000000e+00,1.798910093199245219e-01,1.618019413817194940e-01,3.819083530198114085e-01
2.100000000000000089e+00,1.821335464037467655e-01,1.626046993873515034e-01,3.859107182439150963e-01
2.200000000000000178e+00,1.838850634209537038e-01,1.641617136581321190e-01,3.889067219030032940e-01
2.300000000000000266e+00,1.857499200203855949e-01,1.658182989741249225e-01,3.922151666970687400e-01
2.400000000000000355e+00,1.866184437681515929e-01,1.662156589967704601e-01,3.949387846811937552e-01
2.500000000000000000e+00,1.858364592034750240e-01,1.657181499794729562e-01,3.962639132540625719e-01
2.600000000000000089e+00,1.838617030855879131e-01,1.654817179158634965e-01,3.957388101083433307e-01
2.700000000000000178e+00,1.824966357092042690e-01,1.634618910517978696e-01,3.946214077077044302e-01
2.800000000000000266e+00,1.805328916742317547e-01,1.623736156351749393e-01,3.949604407832879027e-01
2.900000000000000355e+00,1.801259380306438895e-01,1.616216055956899433e-01,3.977433619071253368e-01
3.000000000000000000e+00,1.808373503647391078e-01,1.623414726305472122e-01,4.008061423070046203e-01
3.100000000000000089e+00,1.810666488576433697e-01,1.637270272959832074e-01,4.022866187227634449e-01
3.200000000000000178e+00,1.807473028079910893e-01,1.635804562082599778e-01,4.027001078599449224e-01
3.300000000000000266e+00,1.812011008175248294e-01,1.649883582968793005e-01,4.026496885993838815e-01
3.400000000000000355e+00,1.816026231100454913e-01,1.648658575330228526e-01,4.032015593288018063e-01
3.500000000000000000e+00,1.832246363294117442e-01,1.660630176362198618e-01,4.051441627591328976e-01
3.600000000000000089e+00,1.854997192290195052e-01,1.677184547214595756e-01,4.095393709792246595e-01
