lag_ps,Li_MSD_A2
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,3.207243203820127064e-01
2.000000000000000111e-01,4.472013677694325340e-01
3.000000000000000444e-01,5.128695231579598612e-01
4.000000000000000222e-01,5.756931176687134499e-01
5.000000000000000000e-01,6.192599555687258173e-01
6.000000000000000888e-01,6.539962528118722362e-01
7.000000000000000666e-01,6.813620433833346146e-01
8.000000000000000444e-01,7.038770318141387428e-01
9.000000000000000222e-01,7.223053851587981633e-01
1.000000000000000000e+00,7.404051385136810604e-01
1.100000000000000089e+00,7.537151577725160756e-01
1.200000000000000178e+00,7.665736833910734571e-01
1.300000000000000044e+00,7.786246017454446777e-01
1.400000000000000133e+00,7.944603664575144997e-01
1.500000000000000000e+00,8.065312117137219960e-01
1.600000000000000089e+00,8.190844232588815332e-01
1.700000000000000178e+00,8.327634820342264543e-01
1.800000000000000044e+00,8.453618315450365239e-01
1.900000000000000133e+00,8.565594368869107189e-01
2.000000000000000000e+00,8.661309296268813185e-01
2.100000000000000089e+00,8.794956199291337207e-01
2.200000000000000178e+00,8.921164341172885814e-01
2.300000000000000266e+00,9.004083296049862906e-01
2.400000000000000355e+00,9.090502580987038783e-01
2.500000000000000000e+00,9.234550120955589136e-01
2.600000000000000089e+00,9.314651134116698206e-01
2.700000000000000178e+00,9.370658752074396691e-01
2.800000000000000266e+00,9.466991438309932949e-01
2.900000000000000355e+00,9.515511050682365912e-01
3.000000000000000000e+00,9.531463323583564407e-01
3.100000000000000089e+00,9.636284410386483090e-01
3.200000000000000178e+00,9.729987787817268030e-01
3.300000000000000266e+00,9.804860490239580839e-01
3.400000000000000355e+00,9.880912572396157723e-01
3.500000000000000000e+00,9.976603415444237344e-01
3.600000000000000089e+00,9.988594287080854173e-01
3.700000000000000178e+00,1.003619097651379244e+00
3.800000000000000266e+00,1.008221459605900483e+00
3.900000000000000355e+00,1.014976922007201354e+00
4.000000000000000000e+00,1.022067466181103779e+00
4.100000000000000533e+00,1.028342073810431190e+00
4.200000000000000178e+00,1.040893481501505846e+00
4.299999999999999822e+00,1.049237425918157607e+00
4.400000000000000355e+00,1.055819077205744083e+00
4.500000000000000000e+00,1.059297359690520413e+00
4.600000000000000533e+00,1.066108164248230183e+00
4.700000000000000178e+00,1.072079735544610779e+00
4.800000000000000711e+00,1.080094933480228558e+00
4.900000000000000355e+00,1.083050653785976536e+00
5.000000000000000000e+00,1.089963513749382829e+00
5.100000000000000533e+00,1.095526158120426752e+00
5.200000000000000178e+00,1.100878253438658971e+00
5.300000000000000711e+00,1.106925605825569425e+00
5.400000000000000355e+00,1.113029043420285635e+00
5.500000000000000000e+00,1.122279466711193274e+00
5.600000000000000533e+00,1.129526030111897228e+00
5.700000000000000178e+00,1.139201436904486275e+00
5.800000000000000711e+00,1.147914079176839630e+00
5.900000000000000355e+00,1.153058408177690231e+00
6.000000000000000000e+00,1.158080118639698508e+00
6.100000000000000533e+00,1.161312075984017644e+00
6.200000000000000178e+00,1.169655365133714042e+00
6.300000000000000711e+00,1.172115721775114583e+00
6.400000000000000355e+00,1.173379308473986526e+00
6.500000000000000000e+00,1.175865494472757344e+00
6.600000000000000533e+00,1.182343031748299245e+00
6.700000000000000178e+00,1.187993997539452007e+00
6.800000000000000711e+00,1.193859946018477336e+00
6.900000000000000355e+00,1.198770982916734784e+00
7.000000000000000000e+00,1.204941654916989346e+00
7.100000000000000533e+00,1.207770587561947773e+00
7.200000000000000178e+00,1.214548733609471132e+00
7.300000000000000711e+00,1.221283154919581282e+00
7.400000000000000355e+00,1.226327235238080515e+00
7.500000000000000000e+00,1.231224648774559949e+00
7.600000000000000533e+00,1.233271655887365315e+00
7.700000000000000178e+00,1.237564912714135046e+00
7.800000000000000711e+00,1.241560673912597723e+00
7.900000000000000355e+00,1.246933957938651361e+00
8.000000000000000000e+00,1.257660330277269312e+00
8.099999999999999645e+00,1.264180630132031524e+00
8.200000000000001066e+00,1.272542156252039369e+00
8.300000000000000711e+00,1.277875121297497918e+00
8.400000000000000355e+00,1.283088871280695598e+00
8.500000000000000000e+00,1.287206143355568599e+00
8.599999999999999645e+00,1.293507443112376532e+00
8.700000000000001066e+00,1.300913846319399436e+00
8.800000000000000711e+00,1.306276822573243512e+00
8.900000000000000355e+00,1.314112234337773577e+00
9.000000000000000000e+00,1.317214712141195232e+00
9.099999999999999645e+00,1.323849947016844997e+00
9.200000000000001066e+00,1.331034264958708135e+00
9.300000000000000711e+00,1.337238890086855037e+00
9.400000000000000355e+00,1.344262616555343959e+00
9.500000000000000000e+00,1.350835954914091364e+00
9.600000000000001421e+00,1.357907776712213632e+00
9.700000000000001066e+00,1.366110225529778344e+00
9.800000000000000711e+00,1.372024839430681764e+00
9.900000000000000355e+00,1.378795664199632620e+00
1.000000000000000000e+01,1.381129212304155196e+00
1.010000000000000142e+01,1.382550426722141124e+00
1.020000000000000107e+01,1.386887474429783218e+00
1.030000000000000071e+01,1.390892077896330736e+00
1.040000000000000036e+01,1.397873559403435717e+00
1.050000000000000000e+01,1.406688807203377412e+00
1.060000000000000142e+01,1.415042186182521533e+00
1.070000000000000107e+01,1.422452540685933409e+00
1.080000000000000071e+01,1.426666351614354067e+00
1.090000000000000036e+01,1.434997889047540109e+00
1.100000000000000000e+01,1.441866602568458333e+00
1.110000000000000142e+01,1.450229908585509708e+00
1.120000000000000107e+01,1.459412609662801730e+00
1.130000000000000071e+01,1.468061984893508587e+00
1.140000000000000036e+01,1.477150668817037715e+00
1.150000000000000000e+01,1.482003995968112608e+00
1.160000000000000142e+01,1.488981940627680300e+00
1.170000000000000107e+01,1.493568960227533493e+00
1.180000000000000071e+01,1.498587468437673653e+00
1.190000000000000036e+01,1.508875826600194925e+00
1.200000000000000000e+01,1.519180716489882954e+00
1.210000000000000142e+01,1.526121999255823480e+00
1.220000000000000107e+01,1.533298284506749987e+00
1.230000000000000071e+01,1.536806980064008288e+00
1.240000000000000036e+01,1.542713046334750704e+00
1.250000000000000000e+01,1.551516893909132611e+00
1.260000000000000142e+01,1.557311157127564627e+00
1.270000000000000107e+01,1.566129331219031862e+00
1.280000000000000071e+01,1.577523909933934654e+00
1.290000000000000036e+01,1.588181009124485010e+00
1.300000000000000000e+01,1.595695075270346264e+00
1.310000000000000142e+01,1.600140944470511251e+00
1.320000000000000107e+01,1.606013982027139075e+00
1.330000000000000071e+01,1.612657282280598903e+00
1.340000000000000036e+01,1.618450132678588949e+00
1.350000000000000000e+01,1.627536546240283100e+00
1.360000000000000142e+01,1.638690922783373027e+00
1.370000000000000107e+01,1.646967299052475298e+00
1.380000000000000071e+01,1.656118442337843888e+00
1.390000000000000036e+01,1.662806123289743754e+00
1.400000000000000000e+01,1.666801345904664000e+00
1.410000000000000142e+01,1.675822156415591735e+00
1.420000000000000107e+01,1.682727791836092557e+00
1.430000000000000071e+01,1.690877788226783363e+00
1.440000000000000036e+01,1.699706781132015898e+00
1.450000000000000000e+01,1.711235333061054353e+00
1.460000000000000142e+01,1.723313323526003638e+00
1.470000000000000107e+01,1.733304191188993926e+00
1.480000000000000071e+01,1.740894155009349742e+00
1.490000000000000036e+01,1.747351520616963194e+00
1.500000000000000000e+01,1.756173266169789526e+00
1.510000000000000142e+01,1.762869028590198228e+00
1.520000000000000107e+01,1.769529226724243953e+00
1.530000000000000071e+01,1.775232308549201221e+00
1.540000000000000036e+01,1.781016490334678570e+00
1.550000000000000000e+01,1.791116535880710403e+00
1.560000000000000142e+01,1.797789580124191655e+00
1.570000000000000107e+01,1.806920005018389785e+00
1.580000000000000071e+01,1.815586263112041188e+00
1.590000000000000036e+01,1.823707442130772183e+00
1.600000000000000000e+01,1.835578575349922081e+00
1.610000000000000142e+01,1.843432138854463442e+00
1.619999999999999929e+01,1.853673716381997183e+00
1.630000000000000071e+01,1.858450189654568874e+00
1.640000000000000213e+01,1.865322612242999556e+00
1.650000000000000000e+01,1.873134729561212630e+00
1.660000000000000142e+01,1.882138757010167751e+00
1.669999999999999929e+01,1.889815543024347289e+00
1.680000000000000071e+01,1.896657557796153082e+00
1.690000000000000213e+01,1.901793408655847450e+00
1.700000000000000000e+01,1.908315943652940438e+00
1.710000000000000142e+01,1.915053723248002493e+00
1.719999999999999929e+01,1.922805617145974644e+00
1.730000000000000071e+01,1.933122241096149052e+00
1.740000000000000213e+01,1.943889648098940048e+00
1.750000000000000000e+01,1.954565294591670277e+00
1.760000000000000142e+01,1.964117622371589489e+00
1.769999999999999929e+01,1.971790709802055064e+00
1.780000000000000071e+01,1.978913281053445328e+00
1.790000000000000213e+01,1.991618155728337003e+00
1.800000000000000000e+01,1.998570922547054263e+00
1.810000000000000142e+01,2.005070167167684048e+00
1.819999999999999929e+01,2.009081971215774587e+00
1.830000000000000071e+01,2.011631995218829960e+00
1.840000000000000213e+01,2.016736248727092118e+00
1.850000000000000000e+01,2.023152729331745281e+00
1.860000000000000142e+01,2.026828665046572109e+00
1.869999999999999929e+01,2.029696764291899935e+00
1.880000000000000071e+01,2.037673914428828947e+00
1.890000000000000213e+01,2.041317565346897567e+00
1.900000000000000000e+01,2.048236143287961220e+00
1.910000000000000142e+01,2.056894093992406525e+00
1.920000000000000284e+01,2.068712888804561167e+00
1.930000000000000071e+01,2.079093314212045573e+00
1.940000000000000213e+01,2.088593557369701870e+00
1.950000000000000000e+01,2.099472383669060527e+00
1.960000000000000142e+01,2.108763173763624543e+00
1.970000000000000284e+01,2.116071862594556041e+00
1.980000000000000071e+01,2.122773945984164357e+00
1.990000000000000213e+01,2.125349987503814653e+00
2.000000000000000000e+01,2.131919784655246453e+00
2.010000000000000142e+01,2.138537259495291387e+00
2.020000000000000284e+01,2.145593490939832204e+00
2.030000000000000071e+01,2.150921795132921588e+00
2.040000000000000213e+01,2.161275988962570782e+00
2.050000000000000000e+01,2.171082263242029686e+00
2.060000000000000142e+01,2.177720676426547985e+00
2.070000000000000284e+01,2.188583534912518669e+00
2.080000000000000071e+01,2.200318795724713450e+00
2.090000000000000213e+01,2.211713120191177051e+00
2.100000000000000000e+01,2.221903520085091621e+00
2.110000000000000142e+01,2.229130842205294005e+00
2.120000000000000284e+01,2.238780365226711311e+00
2.130000000000000071e+01,2.246058188020274127e+00
2.140000000000000213e+01,2.251014847329808610e+00
2.150000000000000000e+01,2.254453690262838705e+00
2.160000000000000142e+01,2.255595453607137646e+00
2.170000000000000284e+01,2.263565467138014764e+00
2.180000000000000071e+01,2.267413790051508116e+00
2.190000000000000213e+01,2.269326352265563340e+00
2.200000000000000000e+01,2.273961663123273969e+00
2.210000000000000142e+01,2.279055421589732067e+00
2.220000000000000284e+01,2.282360877707803937e+00
2.230000000000000071e+01,2.289644216923254483e+00
2.240000000000000213e+01,2.294712538599836371e+00
2.250000000000000000e+01,2.297457773267643333e+00
2.260000000000000142e+01,2.304615901698460423e+00
2.270000000000000284e+01,2.311581294559789779e+00
2.280000000000000071e+01,2.319086750414963927e+00
2.290000000000000213e+01,2.329138666519808609e+00
2.300000000000000000e+01,2.337318362558665541e+00
2.310000000000000142e+01,2.345502006156349406e+00
2.320000000000000284e+01,2.355665331459804612e+00
2.330000000000000071e+01,2.362142814339256880e+00
2.340000000000000213e+01,2.366772158022366845e+00
2.350000000000000000e+01,2.374398872890272294e+00
2.360000000000000142e+01,2.383391035912188372e+00
2.370000000000000284e+01,2.388277155405452490e+00
2.380000000000000071e+01,2.394522792412840051e+00
2.390000000000000213e+01,2.398580026206443172e+00
2.400000000000000000e+01,2.403975260839836370e+00
2.410000000000000142e+01,2.410820146446546630e+00
2.420000000000000284e+01,2.416413451285612357e+00
2.430000000000000071e+01,2.422088072886137144e+00
2.440000000000000213e+01,2.427646749598231679e+00
2.450000000000000000e+01,2.435878269255756123e+00
2.460000000000000142e+01,2.441723344622148684e+00
2.470000000000000284e+01,2.443102732942603605e+00
2.480000000000000071e+01,2.447339747809448518e+00
2.490000000000000213e+01,2.449023812390145327e+00
2.500000000000000000e+01,2.451131704983366077e+00
2.510000000000000142e+01,2.455482564274056756e+00
2.520000000000000284e+01,2.460412830063744671e+00
2.530000000000000071e+01,2.462494622263541544e+00
2.540000000000000213e+01,2.466017040986824949e+00
2.550000000000000000e+01,2.471148597188914220e+00
2.560000000000000142e+01,2.477855038509852559e+00
2.570000000000000284e+01,2.479628525767864300e+00
2.580000000000000071e+01,2.486000138162033579e+00
2.590000000000000213e+01,2.490948993508601106e+00
2.600000000000000000e+01,2.495478071191139957e+00
2.610000000000000142e+01,2.495742081102184873e+00
2.620000000000000284e+01,2.500980291762568086e+00
2.630000000000000071e+01,2.500259910495867377e+00
