lag_ps,Zr_A2,O_A2,Cl_A2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,5.129334470966914750e-02,7.640350292493451601e-02,1.349529793199311933e-01
2.000000000000000111e-01,1.022632416235692426e-01,1.124431448948980672e-01,2.403435748933524241e-01
3.000000000000000444e-01,1.347917976962725861e-01,1.281116696262486199e-01,2.886639217866792673e-01
4.000000000000000222e-01,1.628723339900949585e-01,1.454679444485356132e-01,3.226382089780278628e-01
5.000000000000000000e-01,1.738348475440430196e-01,1.567858127774467425e-01,3.385456392979626639e-01
6.000000000000000888e-01,1.771683508869607848e-01,1.608300481886035249e-01,3.459340803045830026e-01
7.000000000000000666e-01,1.784496657438036649e-01,1.620468295503872114e-01,3.501214965481744268e-01
8.000000000000000444e-01,1.790587220484272102e-01,1.615631609009366976e-01,3.551673425210440382e-01
9.000000000000000222e-01,1.772462113691111174e-01,1.600631616730559537e-01,3.562825641700012036e-01
1.000000000000000000e+00,1.730333823938486615e-01,1.569633438746837473e-01,3.534705489744358609e-01
1.100000000000000089e+00,1.670557204206796764e-01,1.536237009314174451e-01,3.483052019169641245e-01
1.200000000000000178e+00,1.603683462266042581e-01,1.483920879904439827e-01,3.415089250761004780e-01
1.300000000000000044e+00,1.548042374056422532e-01,1.450522588057566731e-01,3.359794804560707338e-01
1.400000000000000133e+00,1.527497819319324213e-01,1.445628469080471046e-01,3.345385065335975683e-01
1.500000000000000000e+00,1.533679657823702747e-01,1.455179060313778749e-01,3.361266868299592203e-01
1.600000000000000089e+00,1.554135879014503785e-01,1.477711348891571352e-01,3.402298802154283819e-01
1.700000000000000178e+00,1.578357455096823514e-01,1.483848818678867310e-01,3.452561324860833891e-01
1.800000000000000044e+00,1.602181488401438203e-01,1.488299814753687444e-01,3.490865028967774508e-01
1.900000000000000133e+00,1.605524787706952838e-01,1.489013083507493840e-01,3.499945920875554006e-01
2.000000000000000000e+00,1.609680859240426865e-01,1.492762942110796853e-01,3.517349197018453388e-01
2.100000000000000089e+00,1.628773879516072498e-01,1.494085809667220210e-01,3.549638842549788786e-01
2.200000000000000178e+00,1.647356779559961126e-01,1.518303708953072928e-01,3.575587626285720577e-01
2.300000000000000266e+00,1.660695700072432335e-01,1.517468646339812932e-01,3.593785969800519786e-01
2.400000000000000355e+00,1.680773407989089585e-01,1.526043677084766848e-01,3.631095157455646039e-01
2.500000000000000000e+00,1.692299223356240889e-01,1.539970881522502999e-01,3.661246331661082709e-01
2.600000000000000089e+00,1.686846358096977527e-01,1.543914303452347814e-01,3.661775586448035580e-01
2.700000000000000178e+00,1.686282121341688978e-01,1.541381802681681124e-01,3.662060680815782954e-01
2.800000000000000266e+00,1.686844348549421113e-01,1.530073524363726178e-01,3.671918958040761849e-01
2.900000000000000355e+00,1.681061957903416115e-01,1.528322507308372546e-01,3.658492871902784827e-01
3.000000000000000000e+00,1.674800417041560074e-01,1.521866581132135798e-01,3.655699478426417959e-01
3.100000000000000089e+00,1.683192741492240130e-01,1.542699905211030176e-01,3.685596080503609762e-01
3.200000000000000178e+00,1.693583454031560853e-01,1.556796176061462644e-01,3.706947274802835923e-01
3.300000000000000266e+00,1.702314753837267103e-01,1.563685524356940026e-01,3.728632532170160219e-01
3.400000000000000355e+00,1.712455681610570712e-01,1.562304026772692866e-01,3.756574369041261185e-01
3.500000000000000000e+00,1.716257134360060499e-01,1.569337347193112409e-01,3.780065146115751396e-01
3.600000000000000089e+00,1.708012883948452354e-01,1.567054779129543052e-01,3.779518662274265473e-01
3.700000000000000178e+00,1.684063394949366632e-01,1.537796323504450335e-01,3.753865604790730948e-01
3.800000000000000266e+00,1.658672438963488538e-01,1.526319225602886520e-01,3.728501365304421333e-01
3.900000000000000355e+00,1.649912927862798029e-01,1.542390175690370735e-01,3.726129569287155441e-01
4.000000000000000000e+00,1.657448007479858099e-01,1.530901377998357960e-01,3.732512922970750990e-01
4.100000000000000533e+00,1.680069189697400711e-01,1.545489024472340989e-01,3.755233283128804889e-01
4.200000000000000178e+00,1.705785324111862289e-01,1.575557798406618804e-01,3.793829237019222256e-01
4.299999999999999822e+00,1.724725656331503043e-01,1.597820055983431853e-01,3.825286081049887876e-01
4.400000000000000355e+00,1.741185833039986530e-01,1.599351303106625322e-01,3.848459252961126120e-01
4.500000000000000000e+00,1.746810419411776449e-01,1.604611253829604234e-01,3.866619870692721284e-01
4.600000000000000533e+00,1.743266101046358485e-01,1.591462728926283932e-01,3.854909380817582165e-01
4.700000000000000178e+00,1.732333212335097905e-01,1.580922268621843818e-01,3.846934891381825206e-01
4.800000000000000711e+00,1.723327492184511811e-01,1.561569435615362822e-01,3.844673805545314460e-01
4.900000000000000355e+00,1.715736693025149695e-01,1.566417153422432207e-01,3.850870873632769031e-01
5.000000000000000000e+00,1.708394217684925109e-01,1.564877454686015579e-01,3.860557933500389227e-01
5.100000000000000533e+00,1.715542799200983071e-01,1.565717003865413903e-01,3.883289256349783947e-01
5.200000000000000178e+00,1.720210648586145141e-01,1.569341747828951472e-01,3.894853299369840371e-01
5.300000000000000711e+00,1.724605657454656438e-01,1.596749561446414722e-01,3.907585664779700263e-01
5.400000000000000355e+00,1.740136994300383044e-01,1.608707848879816216e-01,3.933082924735312180e-01
5.500000000000000000e+00,1.758357270586741739e-01,1.624640859196052056e-01,3.962774583873521772e-01
5.600000000000000533e+00,1.767725286892014303e-01,1.613727417868477398e-01,3.976960314979278710e-01
5.700000000000000178e+00,1.780669980277931608e-01,1.637009291186634630e-01,3.997332236019858209e-01
5.800000000000000711e+00,1.782558227489685065e-01,1.636535801707182658e-01,4.016503180365837977e-01
