r_A,Zr_O,Zr_Cl
2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.475000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.524999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.575000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.625000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.675000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.725000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.774999999999999911e+00,8.345102381522183643e-01,0.000000000000000000e+00
1.825000000000000178e+00,1.365998777181073010e+01,0.000000000000000000e+00
1.875000000000000000e+00,1.962100740070073357e+01,0.000000000000000000e+00
1.925000000000000266e+00,2.028302516211668660e+01,0.000000000000000000e+00
1.975000000000000089e+00,1.158124967917895631e+01,0.000000000000000000e+00
2.025000000000000355e+00,2.564944716816393022e+00,0.000000000000000000e+00
2.075000000000000178e+00,1.673226329354037034e+00,0.000000000000000000e+00
2.125000000000000000e+00,1.319604176292067388e+00,0.000000000000000000e+00
2.174999999999999822e+00,2.352355261656581042e+00,0.000000000000000000e+00
2.225000000000000089e+00,2.017296189224803804e+00,1.318998487115408957e-01
2.275000000000000355e+00,2.429822650656175309e+00,1.325769813465119018e+00
2.325000000000000178e+00,2.539913823383424862e+00,7.480961491553732579e+00
2.375000000000000000e+00,6.881066011762683177e-01,1.209127538427742010e+01
2.425000000000000266e+00,6.733484707660725155e-01,1.583336129893659994e+01
2.475000000000000089e+00,2.140946986813132003e-01,1.153731061977404693e+01
2.525000000000000355e+00,1.037652250927945802e-01,7.366723311255410245e+00
2.575000000000000178e+00,1.050341439443401859e-01,6.543666634137558447e+00
2.625000000000000000e+00,0.000000000000000000e+00,4.151178012156674590e+00
