time_ps,T_K,PE_eV_atom,P_GPa
5.000000000000000278e-02,3.965403378400000065e+02,-5.463752140441176408e+00,-1.087086049116666731e-01
1.000000000000000056e-01,3.728428391099999999e+02,-5.459128837499999776e+00,1.572359659766666556e-02
1.500000000000000222e-01,4.000334448699999825e+02,-5.458836774632352729e+00,3.978591383033333595e-01
2.000000000000000111e-01,4.174990240100000278e+02,-5.458409547426470887e+00,5.375395917299999882e-01
2.500000000000000000e-01,4.368111982099999864e+02,-5.460948636397058742e+00,1.615187884333333102e-01
3.000000000000000444e-01,3.992757748299999889e+02,-5.457989106985293937e+00,1.917009014266666256e-01
3.500000000000000333e-01,4.094767925400000195e+02,-5.461079880882352633e+00,-2.220598732233333428e-01
4.000000000000000222e-01,4.029674999999999727e+02,-5.461442343750000816e+00,-3.885186013666666605e-01
4.500000000000000111e-01,3.890358047099999794e+02,-5.461098094485294041e+00,1.640507330163333277e-01
5.000000000000000000e-01,4.057918214599999942e+02,-5.464299205514706159e+00,4.127375104999997379e-03
5.500000000000000444e-01,3.960854897199999982e+02,-5.464257308823529335e+00,5.404196809300000348e-01
6.000000000000000888e-01,3.938095240999999760e+02,-5.465731126470588563e+00,-1.059675514151999925e-01
6.500000000000000222e-01,3.833686938199999759e+02,-5.467052100735294573e+00,1.468904819456666733e-01
7.000000000000000666e-01,3.650210650199999804e+02,-5.466884507720587649e+00,8.335603503779999424e-02
7.500000000000000000e-01,3.713811061100000188e+02,-5.468030233088235548e+00,2.910420739430000237e-01
8.000000000000000444e-01,3.653627460700000142e+02,-5.465929608823529406e+00,-4.471687639333333381e-02
8.500000000000000888e-01,3.986600870999999984e+02,-5.466988637500000081e+00,1.686174164373333284e-01
9.000000000000000222e-01,4.106335466799999949e+02,-5.465509909926471011e+00,-4.491501412666667331e-02
9.500000000000000666e-01,4.014269242600000211e+02,-5.463041864705882489e+00,-7.471029087620000009e-02
1.000000000000000000e+00,4.438831030399999804e+02,-5.467733866176470059e+00,3.709134766666666999e-02
1.050000000000000044e+00,3.782192306900000176e+02,-5.459566800367646522e+00,-1.721731910729999981e-01
1.100000000000000089e+00,3.951928381299999842e+02,-5.460849211764705835e+00,-1.607557439666667046e-02
1.150000000000000133e+00,4.134323633800000266e+02,-5.461372333823529601e+00,7.477561980333333191e-02
1.200000000000000178e+00,3.897676935700000058e+02,-5.456801058823529615e+00,-3.249057862266667152e-01
1.250000000000000000e+00,4.244941850999999815e+02,-5.460269666176470693e+00,-8.057863898433333116e-02
1.300000000000000044e+00,3.838111801499999842e+02,-5.455443711029411169e+00,-1.855574555456666885e-01
1.350000000000000089e+00,4.282475579300000277e+02,-5.463185725735293374e+00,-2.200482411566667337e-02
1.400000000000000133e+00,3.736684234100000026e+02,-5.460035081250000033e+00,2.266529859083333542e-01
1.450000000000000178e+00,3.831300540500000125e+02,-5.463196193749999985e+00,-1.303572562393333356e-01
1.500000000000000000e+00,3.703827980099999877e+02,-5.462407872794117658e+00,1.889050154846666496e-01
1.550000000000000044e+00,3.771601693000000068e+02,-5.463150089705882451e+00,-1.401506704003333270e-01
1.600000000000000089e+00,4.104658837900000208e+02,-5.466192912132353143e+00,1.017216236873333263e-01
1.650000000000000133e+00,3.900145967099999780e+02,-5.461927556985294530e+00,-9.623872150333329448e-03
1.700000000000000178e+00,4.294438883299999929e+02,-5.464049800367646981e+00,-8.859941844699999181e-02
1.750000000000000000e+00,4.408791915099999983e+02,-5.461855161397059177e+00,-5.501919040866667249e-02
1.800000000000000044e+00,4.482846333599999866e+02,-5.460945222794117093e+00,-2.248290001333333732e-01
1.850000000000000089e+00,4.194977847200000269e+02,-5.458104597794117829e+00,-3.599900606070000064e-02
1.900000000000000133e+00,3.926770718600000123e+02,-5.456396507720588929e+00,-1.201234299799999877e-01
1.950000000000000178e+00,4.106011626999999748e+02,-5.460356281250000166e+00,3.289159301200000329e-01
2.000000000000000000e+00,3.978102056299999845e+02,-5.460552914338235198e+00,-3.111683049150000269e-01
2.050000000000000266e+00,4.045544840800000088e+02,-5.462729344117646768e+00,5.486591429999998493e-02
2.100000000000000089e+00,3.964741436099999987e+02,-5.462330506249999829e+00,-1.466283035319999872e-01
2.149999999999999911e+00,4.066492213500000048e+02,-5.464085472426470247e+00,1.558318630100000678e-02
2.200000000000000178e+00,4.069617316499999902e+02,-5.464619701470589064e+00,2.619471570866666599e-01
2.250000000000000000e+00,4.304212515500000222e+02,-5.469292433455883007e+00,-3.344991192666665891e-02
2.300000000000000266e+00,3.577849731499999848e+02,-5.463647940441176409e+00,-1.378310311266666699e-01
2.350000000000000089e+00,3.742837435999999798e+02,-5.467835840441176209e+00,-1.793557863000000419e-02
2.400000000000000355e+00,3.657656859499999769e+02,-5.466501211397059024e+00,-6.725486985066667089e-02
2.450000000000000178e+00,3.600554910199999767e+02,-5.463247177573529179e+00,2.275138531450693336e-01
2.500000000000000000e+00,4.124123515200000156e+02,-5.467176936029411571e+00,-6.434019589000000705e-02
2.550000000000000266e+00,4.005306030300000089e+02,-5.464384265073529257e+00,5.867254753233334119e-01
2.600000000000000089e+00,4.140542840599999863e+02,-5.465092223161764906e+00,2.884837867900000297e-01
2.650000000000000355e+00,3.926985951899999918e+02,-5.462391906249999707e+00,9.977337484999998507e-02
2.700000000000000178e+00,3.877692812999999887e+02,-5.460994633455882763e+00,-1.780252789323333307e-01
2.750000000000000000e+00,3.923565466200000174e+02,-5.460027168382352691e+00,1.686498245266666862e-01
