r_A,Zr_O,Zr_Cl
2.500000000000000139e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.475000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.524999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.575000000000000178e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.625000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.675000000000000266e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.725000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.774999999999999911e+00,3.037700641865400009e+00,0.000000000000000000e+00
1.825000000000000178e+00,1.130259730609111202e+01,0.000000000000000000e+00
1.875000000000000000e+00,1.941934795887744158e+01,0.000000000000000000e+00
1.925000000000000266e+00,1.670186604165549582e+01,0.000000000000000000e+00
1.975000000000000089e+00,1.112322347972275871e+01,0.000000000000000000e+00
2.025000000000000355e+00,5.290368736901220004e+00,0.000000000000000000e+00
2.075000000000000178e+00,1.778292413685794271e+00,0.000000000000000000e+00
2.125000000000000000e+00,1.836896101982047114e+00,0.000000000000000000e+00
2.174999999999999822e+00,1.618537414393944163e+00,0.000000000000000000e+00
2.225000000000000089e+00,1.675499070298052118e+00,3.222113596727023133e-01
2.275000000000000355e+00,2.958762486399754366e+00,1.849226553999846034e+00
2.325000000000000178e+00,1.770548192830758483e+00,7.318265863700469609e+00
2.375000000000000000e+00,1.018071750056996239e+00,1.357429000075994985e+01
2.425000000000000266e+00,5.425131607809333678e-01,1.432234744461663922e+01
2.475000000000000089e+00,6.249787036807586960e-01,1.171835069401422480e+01
2.525000000000000355e+00,2.001576460923284451e-01,7.305754082369989355e+00
2.575000000000000178e+00,0.000000000000000000e+00,4.522815700758057389e+00
2.625000000000000000e+00,0.000000000000000000e+00,2.916875905971135108e+00
