replica,fit_lo_ps,fit_hi_ps,n_fit_points,msd_slope_A2_ps,r2,D_cm2_s,sigma_NE_mS_cm
Li3YCl6_01,100.0,200.0,101,0.0017992944903902164,0.9972012601217239,2.998824150650361e-08,0.024300626908383124
Li3YCl6_01,100.0,300.0,201,0.001821515494310625,0.999519770426354,3.0358591571843754e-08,0.024600735828120023
Li3YCl6_01,200.0,500.0,301,0.0017590842071681613,0.9996895859791234,2.9318070119469356e-08,0.02375756122587349
Li3YCl6_01,100.0,500.0,401,0.0017800770270219976,0.9997260947371044,2.966795045036663e-08,0.024041082731523375
Li3YCl6_02,100.0,200.0,101,0.01521916752475248,0.9997685126832188,2.53652792079208e-07,0.2085779459414873
Li3YCl6_02,100.0,300.0,201,0.015671328925668686,0.9998015719468295,2.611888154278114e-07,0.21477479580753545
Li3YCl6_02,200.0,500.0,301,0.013816266072913698,0.9958230235645537,2.302711012152283e-07,0.18935125021670765
Li3YCl6_02,100.0,500.0,401,0.014490760504708385,0.9968019295158542,2.415126750784731e-07,0.1985951633876414
Li3YCl6_03,100.0,200.0,101,0.0024335656493884683,0.9906117643559783,4.0559427489807806e-08,0.033269960170581064
Li3YCl6_03,100.0,300.0,201,0.0017881978129156192,0.969173246863985,2.9803296881926986e-08,0.024446955038082866
Li3YCl6_03,200.0,500.0,301,0.0013705475135860612,0.9822241691181925,2.284245855976769e-08,0.018737140376860403
Li3YCl6_03,100.0,500.0,401,0.0014748474453790893,0.9837873594386766,2.458079075631816e-08,0.0201630540675062
LiNbOCl4,100.0,200.0,101,0.0034067194874781623,0.9810376109553862,5.6778658124636046e-08,0.019580969466064423
LiNbOCl4,100.0,300.0,201,0.003610410752179694,0.9947763470849142,6.017351253632824e-08,0.02075173578518312
LiNbOCl4,200.0,500.0,301,0.0027416240826384493,0.9827214313720902,4.5693734710640823e-08,0.015758167834742945
LiNbOCl4,100.0,500.0,401,0.0030153780803588055,0.9875111333016183,5.0256301339313435e-08,0.017331637176811788
