# msd.out by GPUMDkit
# Element: Li  |  dt: 1000.0000 fs  |  Frames: 1000  |  Atoms: 144
#     Time(ps)    MSD_x(Ang^2)    MSD_y(Ang^2)    MSD_z(Ang^2)
      1.000000       0.095972       0.096237       0.114455
      2.000000       0.101586       0.101548       0.126810
      3.000000       0.105583       0.104807       0.136708
      4.000000       0.108931       0.107308       0.146278
      5.000000       0.111039       0.109271       0.154866
      6.000000       0.113003       0.110934       0.161823
      7.000000       0.115633       0.112565       0.168062
      8.000000       0.117430       0.114322       0.173955
      9.000000       0.118770       0.115664       0.179257
     10.000000       0.120735       0.116672       0.184396
     11.000000       0.122414       0.117620       0.189391
     12.000000       0.124611       0.118587       0.194197
     13.000000       0.126346       0.120610       0.198383
     14.000000       0.127726       0.121443       0.202844
     15.000000       0.130092       0.122496       0.207365
     16.000000       0.131781       0.123785       0.210877
     17.000000       0.133637       0.125367       0.215071
     18.000000       0.135050       0.126613       0.217928
     19.000000       0.136785       0.127737       0.221734
     20.000000       0.137864       0.129185       0.224623
     21.000000       0.139216       0.130029       0.228446
     22.000000       0.140197       0.131277       0.231201
     23.000000       0.141471       0.132144       0.233723
     24.000000       0.142716       0.132918       0.236444
     25.000000       0.144120       0.133565       0.239172
     26.000000       0.145113       0.134743       0.241668
     27.000000       0.146808       0.135655       0.244312
     28.000000       0.147814       0.136840       0.247066
     29.000000       0.149253       0.137964       0.249002
     30.000000       0.150142       0.138505       0.250476
     31.000000       0.151236       0.138698       0.253664
     32.000000       0.152596       0.140690       0.255449
     33.000000       0.153524       0.141129       0.258897
     34.000000       0.154810       0.141746       0.260070
     35.000000       0.156113       0.142655       0.262526
     36.000000       0.156878       0.143765       0.264712
     37.000000       0.158098       0.144044       0.266101
     38.000000       0.158996       0.145590       0.268410
     39.000000       0.159905       0.146408       0.270079
     40.000000       0.160920       0.147503       0.271943
     41.000000       0.161872       0.147779       0.274590
     42.000000       0.163762       0.148762       0.277057
     43.000000       0.164695       0.149679       0.278533
     44.000000       0.166719       0.150893       0.280855
     45.000000       0.167126       0.151614       0.282164
     46.000000       0.168110       0.152373       0.283846
     47.000000       0.169327       0.153603       0.285538
     48.000000       0.169174       0.153730       0.288479
     49.000000       0.170503       0.154330       0.290125
     50.000000       0.171944       0.154119       0.291315
     51.000000       0.172951       0.154562       0.293794
     52.000000       0.174063       0.155252       0.295174
     53.000000       0.174222       0.155270       0.297382
     54.000000       0.175439       0.156052       0.299106
     55.000000       0.175654       0.156659       0.301207
     56.000000       0.176726       0.157067       0.303343
     57.000000       0.177185       0.157971       0.305308
     58.000000       0.178131       0.158024       0.307228
     59.000000       0.178389       0.159052       0.309531
     60.000000       0.179195       0.159363       0.311071
     61.000000       0.180284       0.159345       0.313287
     62.000000       0.181515       0.159733       0.314753
     63.000000       0.181627       0.160325       0.317351
     64.000000       0.182811       0.160583       0.318777
     65.000000       0.183217       0.161590       0.320632
     66.000000       0.184309       0.162224       0.322817
     67.000000       0.185621       0.162294       0.323960
     68.000000       0.185502       0.163111       0.326109
     69.000000       0.186465       0.163301       0.327785
     70.000000       0.186873       0.163426       0.329805
     71.000000       0.187183       0.163700       0.331432
     72.000000       0.188277       0.164157       0.333042
     73.000000       0.189240       0.164486       0.334199
     74.000000       0.190209       0.165679       0.336109
     75.000000       0.190907       0.165473       0.337511
     76.000000       0.192253       0.166438       0.338867
     77.000000       0.192550       0.166447       0.341057
     78.000000       0.193813       0.166562       0.342775
     79.000000       0.194257       0.167225       0.344354
     80.000000       0.194808       0.167690       0.346234
     81.000000       0.195834       0.167467       0.347281
     82.000000       0.196335       0.168498       0.348042
     83.000000       0.197499       0.168584       0.349808
     84.000000       0.198095       0.168691       0.351339
     85.000000       0.199456       0.169587       0.352520
     86.000000       0.199780       0.169259       0.353947
     87.000000       0.201012       0.169831       0.355763
     88.000000       0.201260       0.170506       0.356982
     89.000000       0.202975       0.170713       0.357866
     90.000000       0.202882       0.170833       0.358959
     91.000000       0.203619       0.170878       0.359104
     92.000000       0.203639       0.171140       0.361173
     93.000000       0.203869       0.171715       0.361900
     94.000000       0.205247       0.171880       0.362342
     95.000000       0.205493       0.172057       0.364237
     96.000000       0.207569       0.172358       0.365236
     97.000000       0.208164       0.172245       0.365815
     98.000000       0.208891       0.173064       0.366829
     99.000000       0.209219       0.173046       0.367777
    100.000000       0.209786       0.173320       0.368744
    101.000000       0.210745       0.173908       0.369549
    102.000000       0.211762       0.173227       0.369990
    103.000000       0.211915       0.173376       0.371821
    104.000000       0.212915       0.174662       0.372140
    105.000000       0.214149       0.174570       0.373526
    106.000000       0.214745       0.175213       0.374054
    107.000000       0.215674       0.174602       0.375189
    108.000000       0.216315       0.175454       0.375480
    109.000000       0.217688       0.175902       0.376005
    110.000000       0.218147       0.176029       0.377690
    111.000000       0.218855       0.176343       0.378005
    112.000000       0.219813       0.176817       0.378680
    113.000000       0.220071       0.176580       0.380023
    114.000000       0.221155       0.177595       0.380670
    115.000000       0.221760       0.177242       0.381242
    116.000000       0.221887       0.178202       0.381655
    117.000000       0.222998       0.178263       0.382712
    118.000000       0.223451       0.177908       0.384497
    119.000000       0.223985       0.179049       0.384554
    120.000000       0.223935       0.179751       0.385286
    121.000000       0.225144       0.178912       0.385807
    122.000000       0.225482       0.179555       0.387486
    123.000000       0.226521       0.180219       0.387974
    124.000000       0.226901       0.179783       0.388539
    125.000000       0.227963       0.180647       0.388911
    126.000000       0.228090       0.181178       0.389318
    127.000000       0.228924       0.181297       0.389657
    128.000000       0.228889       0.181299       0.390235
    129.000000       0.229233       0.181154       0.391231
    130.000000       0.230265       0.180974       0.392291
    131.000000       0.231109       0.181641       0.393142
    132.000000       0.230925       0.182491       0.393547
    133.000000       0.231212       0.181800       0.394513
    134.000000       0.231706       0.182438       0.395763
    135.000000       0.231659       0.182371       0.396023
    136.000000       0.231594       0.182576       0.397331
    137.000000       0.232248       0.182745       0.398197
    138.000000       0.232620       0.183432       0.400183
    139.000000       0.233532       0.183712       0.401364
    140.000000       0.233424       0.183510       0.402525
    141.000000       0.233475       0.184533       0.403359
    142.000000       0.233876       0.183772       0.404855
    143.000000       0.233672       0.184687       0.406294
    144.000000       0.235098       0.185040       0.406955
    145.000000       0.235379       0.185706       0.409169
    146.000000       0.235723       0.185434       0.409739
    147.000000       0.236058       0.185922       0.410767
    148.000000       0.236697       0.186194       0.412028
    149.000000       0.236269       0.186523       0.413125
    150.000000       0.237246       0.186808       0.414824
    151.000000       0.237585       0.187113       0.414508
    152.000000       0.237888       0.186854       0.416346
    153.000000       0.238655       0.187765       0.416631
    154.000000       0.239135       0.188308       0.418124
    155.000000       0.238991       0.188375       0.418230
    156.000000       0.239483       0.188463       0.419206
    157.000000       0.240339       0.188814       0.420135
    158.000000       0.240938       0.189243       0.420666
    159.000000       0.240965       0.189577       0.421509
    160.000000       0.241817       0.189833       0.423129
    161.000000       0.241564       0.190128       0.423662
    162.000000       0.242095       0.191236       0.425306
    163.000000       0.242007       0.191367       0.426632
    164.000000       0.242379       0.191546       0.427863
    165.000000       0.243125       0.192189       0.429050
    166.000000       0.243599       0.192475       0.429906
    167.000000       0.243972       0.193051       0.430773
    168.000000       0.243830       0.193776       0.432854
    169.000000       0.244399       0.194875       0.433638
    170.000000       0.244922       0.195199       0.435523
    171.000000       0.245766       0.195209       0.436611
    172.000000       0.246597       0.195719       0.437923
    173.000000       0.246517       0.195718       0.439138
    174.000000       0.246692       0.196455       0.440486
    175.000000       0.246534       0.196640       0.441331
    176.000000       0.247528       0.196247       0.442665
    177.000000       0.247656       0.197499       0.442652
    178.000000       0.248268       0.198129       0.443780
    179.000000       0.248603       0.198430       0.445516
    180.000000       0.249814       0.198243       0.447359
    181.000000       0.249167       0.198568       0.448056
    182.000000       0.249380       0.199678       0.450290
    183.000000       0.250492       0.199620       0.451484
    184.000000       0.250041       0.200515       0.452543
    185.000000       0.250859       0.200617       0.453444
    186.000000       0.250804       0.201459       0.455067
    187.000000       0.251107       0.201329       0.456355
    188.000000       0.251815       0.201998       0.457632
    189.000000       0.252265       0.202319       0.458311
    190.000000       0.253233       0.203153       0.460322
    191.000000       0.252733       0.203843       0.460062
    192.000000       0.253187       0.204015       0.461426
    193.000000       0.253693       0.205211       0.463631
    194.000000       0.254229       0.205078       0.464103
    195.000000       0.254338       0.205180       0.465754
    196.000000       0.255501       0.205367       0.466933
    197.000000       0.255300       0.205579       0.468359
    198.000000       0.255784       0.206268       0.470392
    199.000000       0.255998       0.206598       0.470625
    200.000000       0.256432       0.207344       0.472437
    201.000000       0.256903       0.207172       0.472907
    202.000000       0.256316       0.207590       0.474716
    203.000000       0.256969       0.207408       0.475612
