model,temperature_K,replica,frames,Li_atoms,D_cm2_s,MSD_fit_R2,MSD_slope_A2_ps
M3GNet-GPU,400,1,501,72,2.902734522214366e-07,0.925449035769625,0.017416407133286193
M3GNet-GPU,400,2,501,72,1.0604553479485364e-07,0.8858424385069219,0.006362732087691218
M3GNet-GPU,400,3,501,72,1.572810200245655e-07,0.8164979753231861,0.009436861201473929
M3GNet-GPU,600,1,501,72,2.7938852529745287e-06,0.9781740578997309,0.1676331151784717
M3GNet-GPU,600,2,501,72,3.003101782235952e-06,0.9746579037660512,0.1801861069341571
M3GNet-GPU,600,3,501,72,3.867608343258767e-06,0.9818222494763893,0.23205650059552604
M3GNet-GPU,800,1,501,72,2.1401116626964922e-05,0.9941897195329992,1.2840669976178953
M3GNet-GPU,800,2,501,72,2.652906759221349e-05,0.9949896774630663,1.5917440555328095
M3GNet-GPU,800,3,501,72,2.7141653084328973e-05,0.9936847253573217,1.6284991850597383
M3GNet-GPU,1000,1,501,72,5.817128737856851e-05,0.9930495894093204,3.49027724271411
M3GNet-GPU,1000,2,501,72,6.310475518603988e-05,0.9911412760145497,3.7862853111623926
M3GNet-GPU,1000,3,501,72,7.42372329468617e-05,0.9877853027885184,4.454233976811702
MACE-MPA-0,400,1,501,72,1.5439124154787163e-06,0.9118004301938663,0.09263474492872298
MACE-MPA-0,400,2,501,72,1.863509081463009e-06,0.8235113491529479,0.11181054488778054
MACE-MPA-0,400,3,501,72,4.0203418574211224e-07,0.4177634765082946,0.024122051144526733
MACE-MPA-0,500,1,501,72,5.435225561717597e-06,0.9469801256297515,0.3261135337030558
MACE-MPA-0,500,2,501,72,3.4433642181858788e-06,0.9415699634219635,0.2066018530911527
MACE-MPA-0,500,3,501,72,5.675327929244054e-06,0.9646222190136591,0.3405196757546432
MACE-MPA-0,600,1,501,72,7.801830913388174e-06,0.8927097895954754,0.46810985480329037
MACE-MPA-0,600,2,501,72,8.07615819592809e-06,0.9810934828542923,0.48456949175568537
MACE-MPA-0,600,3,501,72,6.812810944343123e-06,0.9755300917908777,0.40876865666058737
MACE-MPA-0,700,1,501,72,1.5086273076946935e-05,0.9948758423790306,0.9051763846168162
MACE-MPA-0,700,2,501,72,1.0916280473877498e-05,0.9629413460525452,0.6549768284326498
MACE-MPA-0,700,3,501,72,1.2500886241485835e-05,0.9768227008601073,0.7500531744891501
MACE-MPA-0,800,1,501,72,1.646066175977966e-05,0.9443024489178763,0.9876397055867794
MACE-MPA-0,800,2,501,72,2.0108744370417242e-05,0.9936353604532365,1.2065246622250345
MACE-MPA-0,800,3,501,72,2.007854876800536e-05,0.9929754466602966,1.2047129260803215
MACE-MPA-0,900,1,501,72,3.8408051615364566e-05,0.9872860273764112,2.304483096921874
MACE-MPA-0,900,2,501,72,3.179011085470403e-05,0.9773063305386297,1.9074066512822418
MACE-MPA-0,900,3,501,72,2.9343849214029612e-05,0.9853689398745507,1.7606309528417765
MACE-MPA-0,1000,1,501,72,3.779807297986377e-05,0.9914550893362453,2.267884378791826
MACE-MPA-0,1000,1,501,72,4.858965055024131e-05,0.9909700363049039,2.9153790330144784
MACE-MPA-0,1000,2,501,72,3.684518994801553e-05,0.9725787914934086,2.2107113968809315
MACE-MPA-0,1000,2,501,72,4.287394716876963e-05,0.9950429130649819,2.5724368301261777
MACE-MPA-0,1000,3,501,72,2.7497995049689212e-05,0.9665057577584297,1.6498797029813526
SevenNet-nano,400,1,501,72,8.877407383283089e-07,0.9244150330639852,0.053264444299698524
SevenNet-nano,400,2,501,72,9.082666536085161e-07,0.8853940040154974,0.05449599921651096
SevenNet-nano,400,3,501,72,7.914047920000993e-07,0.9582592474661332,0.047484287520005955
SevenNet-nano,500,1,501,72,1.7443895568913535e-06,0.8463503478184481,0.10466337341348121
SevenNet-nano,500,2,501,72,2.5139563386310334e-06,0.8804555480358911,0.150837380317862
SevenNet-nano,500,3,501,72,2.1151135662088565e-06,0.9010306278813002,0.12690681397253137
SevenNet-nano,600,1,501,72,8.407540351856676e-06,0.9788698685287717,0.5044524211114005
SevenNet-nano,600,2,501,72,5.416084560675425e-06,0.9919687260755304,0.3249650736405255
SevenNet-nano,600,3,501,72,6.008478886428207e-06,0.9808878713668239,0.36050873318569243
SevenNet-nano,700,1,501,72,1.1300334048895177e-05,0.9926879046089336,0.6780200429337105
SevenNet-nano,700,2,501,72,1.0750329106028461e-05,0.9867633400763716,0.6450197463617076
SevenNet-nano,700,3,501,72,1.0242344411669829e-05,0.9775259943359353,0.6145406647001896
SevenNet-nano,800,1,501,72,1.2002470989814024e-05,0.9573423359944319,0.7201482593888413
SevenNet-nano,800,2,501,72,1.7308562374226127e-05,0.9906808548316977,1.0385137424535675
SevenNet-nano,800,3,501,72,1.6285224985732187e-05,0.9907156297438158,0.9771134991439312
SevenNet-nano,900,1,501,72,2.4290444550936088e-05,0.9901512725020671,1.4574266730561651
SevenNet-nano,900,2,501,72,2.5140266609595413e-05,0.9915088808529176,1.5084159965757247
SevenNet-nano,900,3,501,72,1.8142109058820612e-05,0.9859249186128458,1.0885265435292368
SevenNet-nano,1000,1,501,72,3.0322466324859494e-05,0.9947875863870579,1.8193479794915695
SevenNet-nano,1000,1,501,72,3.3189732875522635e-05,0.9882104374330309,1.991383972531358
SevenNet-nano,1000,2,501,72,4.245839401186089e-05,0.9831603971684633,2.5475036407116534
SevenNet-nano,1000,2,501,72,3.050466543839406e-05,0.988706758465228,1.8302799263036436
SevenNet-nano,1000,3,501,72,2.5148098596791607e-05,0.9623586164978274,1.5088859158074963
