model,temperature_K,replica,temp_mean_K,temp_std_K,pe_mean_eV,pe_std_eV,press_mean_bar,press_std_bar,thermo_rows
M3GNet-GPU,400,1,399.1991592572464,21.128907250293942,-846.0251537137682,2.632428595735541,13334.215873565217,22317.22895132055,552
M3GNet-GPU,400,2,398.6107917028985,21.88507649986392,-845.9086569202898,2.571596744027191,14580.352381041666,19292.989319964927,552
M3GNet-GPU,400,3,398.15929686594205,22.179450198179183,-846.9025370289855,2.2571633126252655,11763.58664820652,20791.03465971373,552
M3GNet-GPU,600,1,602.9265122826087,31.7047757119502,-837.3818619565217,2.496803005237321,12549.66305828261,15121.610934339114,552
M3GNet-GPU,600,2,598.3264908333333,31.32370650059558,-837.2617427536231,2.6355325729101335,15822.55506778605,12043.557926049147,552
M3GNet-GPU,600,3,599.0201701086955,32.623178035472094,-837.1744524456523,2.183106936583762,7990.868055925,14297.714690330866,552
M3GNet-GPU,800,1,799.4558114492753,41.87018305765467,-825.2979812500001,2.571759483971604,17674.956205206523,13181.516798830313,552
M3GNet-GPU,800,2,802.7787783514493,41.643355762471025,-824.2624747826086,2.1549028479645864,13599.008817041667,13704.276082217686,552
M3GNet-GPU,800,3,800.5373883152174,43.899048949578386,-823.6990285688406,2.054977759217408,9452.12227164855,12996.115471791507,552
M3GNet-GPU,1000,1,1000.9476984239132,52.13517874825562,-812.1097177355073,2.240371946792569,16862.727855978264,12682.541885238836,552
M3GNet-GPU,1000,2,1002.3190674275363,53.46234726151194,-811.8333698913043,2.069722674034272,14922.667267039855,13014.88031573071,552
M3GNet-GPU,1000,3,997.4041064855072,54.27989026908945,-811.6992889130435,2.5043609537058833,13762.352055239493,12980.055670234642,552
MACE-MPA-0,400,1,399.5713834601449,21.100735697408748,-1024.0579251811594,0.7818148277973129,12980.465207789854,1657.272755986872,552
MACE-MPA-0,400,2,398.8050039492754,20.419758097832183,-1024.10002192029,0.8103577160610318,12802.165292934782,1625.4863579248588,552
MACE-MPA-0,400,3,399.69957338768114,20.852580846019926,-1023.9952342391302,0.8602700961971279,12890.23155380435,1627.5068962268035,552
MACE-MPA-0,500,1,498.27084014492755,25.75194032215296,-1020.7759282608697,1.014019266602913,15970.458796376812,1831.9671168859793,552
MACE-MPA-0,500,2,498.1933059057971,27.619926216578868,-1020.7498981884058,1.0642602585341996,15960.544912318841,1854.3339696564706,552
MACE-MPA-0,500,3,499.7079869927536,25.961179777377126,-1020.8365666666667,1.0024047588271556,15935.676191485507,1855.1176051606897,552
MACE-MPA-0,600,1,599.8568405615943,31.495203025780405,-1017.4484960144927,1.2509042994703452,18915.19348025362,2039.0102477553871,552
MACE-MPA-0,600,2,599.5460263405798,30.590709751076194,-1017.454009963768,1.2431386570756888,18952.679853260866,2126.9756131785375,552
MACE-MPA-0,600,3,598.4268866485506,31.950250402975627,-1017.4699780797101,1.2614909608986224,18954.653923913043,2013.7139252331015,552
MACE-MPA-0,700,1,700.5335685326087,38.19430147754665,-1013.9520240942028,1.4843774223715103,21942.419122101448,2288.933927692959,552
MACE-MPA-0,700,2,700.151939039855,37.14898437826981,-1014.0267186594203,1.5336490818279411,21935.858399275363,2286.5564219359094,552
MACE-MPA-0,700,3,698.6538058152173,37.62085414606225,-1014.0624813405798,1.433391175091212,21741.268641847822,2277.2110232768364,552
MACE-MPA-0,800,1,801.1632326086957,41.35354925091041,-1010.5453164855071,1.695388200030991,24635.084544746376,2354.4472473744627,552
MACE-MPA-0,800,2,799.0041026086956,44.60441712670695,-1010.620371557971,1.7814140283405762,24501.074905253623,2331.0990490665945,552
MACE-MPA-0,800,3,801.1561370108694,43.755521420422994,-1010.5000804347826,1.7072621306021603,24725.594414311596,2371.815100065456,552
MACE-MPA-0,900,1,900.031122192029,47.69412806777346,-1007.0010686594203,1.8964189781348668,27344.052773731884,2571.9426937034737,552
MACE-MPA-0,900,2,898.0495808152174,46.68060707833216,-1007.1081152173912,1.9102620333821982,27450.01246576087,2520.3901472441694,552
MACE-MPA-0,900,3,898.7411378623187,44.96883450858836,-1007.1220907608695,1.9242462657176738,27352.314244746372,2616.5441612282375,552
MACE-MPA-0,1000,1,997.0438796557972,54.82570182122184,-1003.5827430615942,2.1408021796116397,29887.633413405794,2651.6272457573928,552
MACE-MPA-0,1000,1,1000.8465403079712,49.518021619916475,-1003.5573409420288,2.1659323896979337,30050.04512554348,2669.0199148494353,552
MACE-MPA-0,1000,2,1000.4867320471014,54.72508600702321,-1003.5690157789854,2.17464322501136,30057.01119076087,2621.6263503737678,552
MACE-MPA-0,1000,2,1002.2253127717391,56.44517554156049,-1003.493665615942,2.2229753470864164,29997.435375543475,2797.170308731721,552
MACE-MPA-0,1000,3,1001.8386373550725,54.80165916456433,-1003.5851034782607,2.2356166833908877,30048.86104601449,2617.349610806325,552
SevenNet-nano,400,1,400.4507963949276,21.280868628463388,-1023.3088239130435,0.939503453095008,11874.925693115942,1614.3129118424333,552
SevenNet-nano,400,2,400.4447452536232,21.58684377253461,-1023.4169442028987,0.876502031340862,11974.970388224638,1644.4600437592017,552
SevenNet-nano,400,3,399.0908852536232,20.895706078272717,-1023.6886394927537,0.8322138929297261,11863.134260144929,1540.9150586324988,552
SevenNet-nano,500,1,500.40514557971005,27.087305472046587,-1020.2631516304349,1.0688833104742472,14315.108195652174,1752.99533696587,552
SevenNet-nano,500,2,501.22458342391303,28.231372270799202,-1020.2761007246378,1.0401103911239984,14396.183170652173,1731.8327217803119,552
SevenNet-nano,500,3,500.5475735507246,26.884706274792023,-1020.1712701086957,1.067582951802668,14401.741153442028,1744.6315175290574,552
SevenNet-nano,600,1,597.7811731340579,31.04974261298145,-1016.775435326087,1.2929242285466462,16893.34036557971,1968.7709917960294,552
SevenNet-nano,600,2,601.5688483876811,33.60886101317796,-1016.848375905797,1.2127707512808121,16695.700751992754,1882.796029586386,552
SevenNet-nano,600,3,599.0946295652174,32.185879963120364,-1016.698427173913,1.238748592573231,16859.890573007247,1988.3504107565789,552
SevenNet-nano,700,1,699.2230811594203,37.44901241126231,-1013.3338260869565,1.504274878859344,19486.21644981884,2055.75238218169,552
SevenNet-nano,700,2,698.9383180615943,34.55442520598803,-1013.1741771739131,1.510114438299816,19452.204533514494,2087.893999942422,552
SevenNet-nano,700,3,699.7098586956522,38.33650529122521,-1013.2605208333331,1.5159792048055711,19325.528479891305,2157.709283717225,552
SevenNet-nano,800,1,800.974152173913,41.46885717611388,-1009.8036641304348,1.6514065437813317,22492.700795652174,2234.161739958634,552
SevenNet-nano,800,2,799.2477056884057,44.228513745319546,-1009.6980438405797,1.72464977391917,21775.71616956522,2227.1437799756145,552
SevenNet-nano,800,3,797.8594661413043,43.20368183248501,-1009.6703898550726,1.7075874991708686,21872.955074818838,2312.7573979962776,552
SevenNet-nano,900,1,901.35817875,47.488237269323,-1006.0595993659421,1.9557701819363191,24457.90938152174,2473.910228115732,552
SevenNet-nano,900,2,901.9096626268116,49.745948359027004,-1006.0243989130435,1.9353703698364417,24519.62341612319,2504.3423731256926,552
SevenNet-nano,900,3,898.9648832246378,47.077429838279016,-1006.0326809782608,1.982930030991632,25237.8375307971,2389.1507613661024,552
SevenNet-nano,1000,1,999.5488873369565,52.2099521667223,-1002.2803450000001,2.185604368151597,26663.909832789854,2610.0487411882673,552
SevenNet-nano,1000,1,1003.8971528804349,52.975772748428156,-1002.2357355072464,2.2991543445427536,27096.56251884058,2522.9587455194046,552
SevenNet-nano,1000,2,1000.5241386050724,54.58594071470937,-1002.5561139311593,2.1508870890272593,26597.107335507248,2622.882003745757,552
SevenNet-nano,1000,2,998.3199707971016,53.413585010006635,-1002.320388786232,2.252501797008198,26850.831535869565,2574.3529191863217,552
SevenNet-nano,1000,3,1000.4854075000002,52.602191011930756,-1002.3278755434783,2.278205090396951,26943.665411413043,2588.3451453738403,552
