r_A,g_r
2.500000000000000139e-02,7.185422854363106308e+04
7.500000000000001110e-02,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,0.000000000000000000e+00
1.475000000000000089e+00,0.000000000000000000e+00
1.524999999999999911e+00,0.000000000000000000e+00
1.575000000000000178e+00,0.000000000000000000e+00
1.625000000000000000e+00,0.000000000000000000e+00
1.675000000000000266e+00,0.000000000000000000e+00
1.725000000000000089e+00,0.000000000000000000e+00
1.774999999999999911e+00,0.000000000000000000e+00
1.825000000000000178e+00,0.000000000000000000e+00
1.875000000000000000e+00,0.000000000000000000e+00
1.925000000000000266e+00,0.000000000000000000e+00
1.975000000000000089e+00,0.000000000000000000e+00
2.025000000000000355e+00,0.000000000000000000e+00
2.075000000000000178e+00,0.000000000000000000e+00
2.125000000000000000e+00,0.000000000000000000e+00
2.174999999999999822e+00,0.000000000000000000e+00
2.225000000000000089e+00,0.000000000000000000e+00
2.275000000000000355e+00,0.000000000000000000e+00
2.325000000000000178e+00,0.000000000000000000e+00
2.375000000000000000e+00,0.000000000000000000e+00
2.425000000000000266e+00,0.000000000000000000e+00
2.475000000000000089e+00,0.000000000000000000e+00
2.525000000000000355e+00,0.000000000000000000e+00
2.575000000000000178e+00,0.000000000000000000e+00
2.625000000000000000e+00,0.000000000000000000e+00
2.675000000000000266e+00,0.000000000000000000e+00
2.725000000000000089e+00,0.000000000000000000e+00
2.775000000000000355e+00,2.394552274723140599e-04
2.825000000000000178e+00,2.310541669699980091e-04
2.875000000000000000e+00,2.230875851468544328e-03
2.925000000000000266e+00,6.034728859258478226e-03
2.975000000000000089e+00,1.375060540125510634e-02
3.025000000000000355e+00,2.982380949336169498e-02
3.075000000000000178e+00,6.805932926923523307e-02
3.125000000000000000e+00,1.491694298222209225e-01
3.175000000000000266e+00,2.526150905609633734e-01
3.225000000000000089e+00,4.414619289406675473e-01
3.275000000000000355e+00,7.315273480180144450e-01
3.325000000000000178e+00,1.075796874433730288e+00
3.375000000000000000e+00,1.501806936012420213e+00
3.425000000000000266e+00,2.005153813824405162e+00
