r_A,g_r
2.500000000000000139e-02,8.024698382065938495e+04
7.500000000000001110e-02,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,0.000000000000000000e+00
1.475000000000000089e+00,0.000000000000000000e+00
1.524999999999999911e+00,0.000000000000000000e+00
1.575000000000000178e+00,0.000000000000000000e+00
1.625000000000000000e+00,0.000000000000000000e+00
1.675000000000000266e+00,0.000000000000000000e+00
1.725000000000000089e+00,0.000000000000000000e+00
1.774999999999999911e+00,0.000000000000000000e+00
1.825000000000000178e+00,0.000000000000000000e+00
1.875000000000000000e+00,0.000000000000000000e+00
1.925000000000000266e+00,0.000000000000000000e+00
1.975000000000000089e+00,0.000000000000000000e+00
2.025000000000000355e+00,0.000000000000000000e+00
2.075000000000000178e+00,0.000000000000000000e+00
2.125000000000000000e+00,0.000000000000000000e+00
2.174999999999999822e+00,0.000000000000000000e+00
2.225000000000000089e+00,0.000000000000000000e+00
2.275000000000000355e+00,0.000000000000000000e+00
2.325000000000000178e+00,3.809568452797138481e-04
2.375000000000000000e+00,0.000000000000000000e+00
2.425000000000000266e+00,1.750933155256841111e-03
2.475000000000000089e+00,1.344724285310573393e-03
2.525000000000000355e+00,3.552991453224980251e-03
2.575000000000000178e+00,4.037510584301067830e-03
2.625000000000000000e+00,1.075893263899639629e-02
2.675000000000000266e+00,2.129658345107529951e-02
2.725000000000000089e+00,3.355665062225002271e-02
2.775000000000000355e+00,5.696135513312199777e-02
2.825000000000000178e+00,9.857199698609904470e-02
2.875000000000000000e+00,1.706641730921154843e-01
2.925000000000000266e+00,3.054483191987086288e-01
2.975000000000000089e+00,4.960682950722634099e-01
3.025000000000000355e+00,7.590915014685686302e-01
3.075000000000000178e+00,1.110077393232965948e+00
3.125000000000000000e+00,1.452520477609821281e+00
3.175000000000000266e+00,1.782409279800768021e+00
3.225000000000000089e+00,2.022593780161119792e+00
3.275000000000000355e+00,2.239711770679695846e+00
3.325000000000000178e+00,2.345161093434725341e+00
3.375000000000000000e+00,2.326632214136747034e+00
3.425000000000000266e+00,2.339777460640160456e+00
3.475000000000000089e+00,2.227738702903137913e+00
3.525000000000000355e+00,2.149907869474489086e+00
3.575000000000000178e+00,2.021228006914861375e+00
3.625000000000000000e+00,1.906616462371649057e+00
3.675000000000000266e+00,1.796841548713697723e+00
3.725000000000000089e+00,1.641178974105678146e+00
3.775000000000000355e+00,1.547414047626926692e+00
3.825000000000000178e+00,1.410383089047200222e+00
3.875000000000000000e+00,1.322242393053527643e+00
3.925000000000000266e+00,1.239844319693903518e+00
3.975000000000000089e+00,1.175353953112254102e+00
4.025000000000000355e+00,1.101208091164010083e+00
4.075000000000000178e+00,1.021147836281568688e+00
4.125000000000000000e+00,9.733057279474913726e-01
4.175000000000000711e+00,9.345375726756416368e-01
4.224999999999999645e+00,8.932832645262287485e-01
4.275000000000000355e+00,8.341977114862215714e-01
4.325000000000000178e+00,8.154619806132357152e-01
4.375000000000000000e+00,7.903664847599167764e-01
4.425000000000000711e+00,7.721855011375614586e-01
4.474999999999999645e+00,7.644875073579756597e-01
4.525000000000000355e+00,7.421545562360676307e-01
4.575000000000000178e+00,7.330071092170451497e-01
4.625000000000000000e+00,6.978929792389081399e-01
4.675000000000000711e+00,7.077319881259750423e-01
4.724999999999999645e+00,7.187530474833891958e-01
4.775000000000000355e+00,7.238307876689543674e-01
4.825000000000001066e+00,7.563207689826134672e-01
4.875000000000000000e+00,7.765007217226305158e-01
4.925000000000000711e+00,8.278876234760723651e-01
4.974999999999999645e+00,8.949512961558246937e-01
5.025000000000000355e+00,9.872508400634688597e-01
5.075000000000001066e+00,1.055847590048405671e+00
5.125000000000000000e+00,1.115476899526404386e+00
5.175000000000000711e+00,1.164387645137989313e+00
5.224999999999999645e+00,1.194258417630006175e+00
5.275000000000000355e+00,1.153223421165691320e+00
5.325000000000001066e+00,1.075963835328024532e+00
5.375000000000000000e+00,1.020113150907743460e+00
5.425000000000000711e+00,9.512947197441599112e-01
5.474999999999999645e+00,9.157242940281634658e-01
5.525000000000000355e+00,8.469407499824203045e-01
5.575000000000001066e+00,8.330098779956188748e-01
5.625000000000000000e+00,8.243197675932528723e-01
5.675000000000000711e+00,8.064053829471973245e-01
5.724999999999999645e+00,8.067071196607125128e-01
5.775000000000000355e+00,8.132994774179626019e-01
5.825000000000001066e+00,8.256776535771932490e-01
5.875000000000000000e+00,8.403823480604569740e-01
5.925000000000000711e+00,8.560590627963912125e-01
5.974999999999999645e+00,8.701725806971252197e-01
