r_A,g_r
2.500000000000000139e-02,7.214848675782403734e+04
7.500000000000001110e-02,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,0.000000000000000000e+00
1.475000000000000089e+00,0.000000000000000000e+00
1.524999999999999911e+00,0.000000000000000000e+00
1.575000000000000178e+00,0.000000000000000000e+00
1.625000000000000000e+00,0.000000000000000000e+00
1.675000000000000266e+00,0.000000000000000000e+00
1.725000000000000089e+00,0.000000000000000000e+00
1.774999999999999911e+00,0.000000000000000000e+00
1.825000000000000178e+00,0.000000000000000000e+00
1.875000000000000000e+00,0.000000000000000000e+00
1.925000000000000266e+00,0.000000000000000000e+00
1.975000000000000089e+00,0.000000000000000000e+00
2.025000000000000355e+00,0.000000000000000000e+00
2.075000000000000178e+00,0.000000000000000000e+00
2.125000000000000000e+00,0.000000000000000000e+00
2.174999999999999822e+00,0.000000000000000000e+00
2.225000000000000089e+00,0.000000000000000000e+00
2.275000000000000355e+00,0.000000000000000000e+00
2.325000000000000178e+00,0.000000000000000000e+00
2.375000000000000000e+00,0.000000000000000000e+00
2.425000000000000266e+00,0.000000000000000000e+00
2.475000000000000089e+00,0.000000000000000000e+00
2.525000000000000355e+00,0.000000000000000000e+00
2.575000000000000178e+00,0.000000000000000000e+00
2.625000000000000000e+00,0.000000000000000000e+00
2.675000000000000266e+00,0.000000000000000000e+00
2.725000000000000089e+00,0.000000000000000000e+00
2.775000000000000355e+00,0.000000000000000000e+00
2.825000000000000178e+00,0.000000000000000000e+00
2.875000000000000000e+00,4.480023516787006712e-04
2.925000000000000266e+00,2.813312517868607476e-03
2.975000000000000089e+00,7.949437077461686540e-03
3.025000000000000355e+00,2.529218266950324437e-02
3.075000000000000178e+00,5.717681833435764305e-02
3.125000000000000000e+00,1.327167304552747673e-01
3.175000000000000266e+00,2.444660543649964102e-01
3.225000000000000089e+00,4.384632685153261877e-01
3.275000000000000355e+00,7.132901238550172218e-01
3.325000000000000178e+00,1.092428036988843054e+00
3.375000000000000000e+00,1.539979094351311195e+00
3.425000000000000266e+00,2.063557421896003774e+00
3.475000000000000089e+00,2.528215851058538632e+00
