r_A,g_r
2.500000000000000139e-02,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,0.000000000000000000e+00
1.475000000000000089e+00,0.000000000000000000e+00
1.524999999999999911e+00,0.000000000000000000e+00
1.575000000000000178e+00,0.000000000000000000e+00
1.625000000000000000e+00,0.000000000000000000e+00
1.675000000000000266e+00,0.000000000000000000e+00
1.725000000000000089e+00,0.000000000000000000e+00
1.774999999999999911e+00,0.000000000000000000e+00
1.825000000000000178e+00,0.000000000000000000e+00
1.875000000000000000e+00,0.000000000000000000e+00
1.925000000000000266e+00,4.975951781137087681e-04
1.975000000000000089e+00,6.145369545381701090e-03
2.025000000000000355e+00,4.631558483608625570e-02
2.075000000000000178e+00,1.717311996488754544e-01
2.125000000000000000e+00,4.953189487595381357e-01
2.174999999999999822e+00,1.063331707819528571e+00
2.225000000000000089e+00,1.843321947777767145e+00
2.275000000000000355e+00,2.745432484945125040e+00
2.325000000000000178e+00,3.419666674062509681e+00
2.375000000000000000e+00,3.995407292499584262e+00
2.425000000000000266e+00,4.289525684673441752e+00
2.475000000000000089e+00,4.324167419444236771e+00
2.525000000000000355e+00,4.036324290379296187e+00
2.575000000000000178e+00,3.648334639565576687e+00
2.625000000000000000e+00,3.277864036566768391e+00
2.675000000000000266e+00,2.796994723099563984e+00
2.725000000000000089e+00,2.420403738545346073e+00
2.775000000000000355e+00,2.067456433995959575e+00
2.825000000000000178e+00,1.740993148118935130e+00
2.875000000000000000e+00,1.463008383393071377e+00
2.925000000000000266e+00,1.259534123339519640e+00
2.975000000000000089e+00,1.060880040957439485e+00
3.025000000000000355e+00,9.303819488571010154e-01
3.075000000000000178e+00,7.894102145612155175e-01
3.125000000000000000e+00,6.638983737404161589e-01
3.175000000000000266e+00,5.569970678914796247e-01
3.225000000000000089e+00,4.969549344661410295e-01
3.275000000000000355e+00,4.220680703605699802e-01
3.325000000000000178e+00,3.499258670638707436e-01
3.375000000000000000e+00,2.952781989098474114e-01
3.425000000000000266e+00,2.620407186927942722e-01
3.475000000000000089e+00,2.127139893451689689e-01
3.525000000000000355e+00,1.917339573560847277e-01
3.575000000000000178e+00,1.688063334272575378e-01
3.625000000000000000e+00,1.556218900749867240e-01
3.675000000000000266e+00,1.448625228761056816e-01
3.725000000000000089e+00,1.417971138547517995e-01
3.775000000000000355e+00,1.605807815055211585e-01
3.825000000000000178e+00,1.778361293631107454e-01
3.875000000000000000e+00,1.908374574887254371e-01
3.925000000000000266e+00,2.263436840278323925e-01
3.975000000000000089e+00,2.618815526010667138e-01
4.025000000000000355e+00,3.157411228906343847e-01
4.075000000000000178e+00,3.716696376232632715e-01
4.125000000000000000e+00,4.352136696410114358e-01
4.175000000000000711e+00,5.295838609695843191e-01
4.224999999999999645e+00,6.138131650492445468e-01
4.275000000000000355e+00,7.112337687108756246e-01
4.325000000000000178e+00,8.133764111728972734e-01
4.375000000000000000e+00,9.232146619364279827e-01
4.425000000000000711e+00,1.022070089011317684e+00
4.474999999999999645e+00,1.133244577931880714e+00
4.525000000000000355e+00,1.224783618744647695e+00
4.575000000000000178e+00,1.287492269532384714e+00
4.625000000000000000e+00,1.348079645840769558e+00
4.675000000000000711e+00,1.393307441654846324e+00
4.724999999999999645e+00,1.404612545435437454e+00
4.775000000000000355e+00,1.400826304529720012e+00
4.825000000000001066e+00,1.383508542748716819e+00
4.875000000000000000e+00,1.354421168184126945e+00
4.925000000000000711e+00,1.318469448754391093e+00
4.974999999999999645e+00,1.236298398466290971e+00
5.025000000000000355e+00,1.184651826382498330e+00
5.075000000000001066e+00,1.128418530986720958e+00
5.125000000000000000e+00,1.068246213382481713e+00
5.175000000000000711e+00,1.010246322548954190e+00
5.224999999999999645e+00,9.551383111245211888e-01
5.275000000000000355e+00,9.157123162293960839e-01
5.325000000000001066e+00,8.944347248586075327e-01
5.375000000000000000e+00,8.845095670916162112e-01
5.425000000000000711e+00,9.002348194242337787e-01
5.474999999999999645e+00,9.400933412907448439e-01
5.525000000000000355e+00,9.890603221461009564e-01
5.575000000000001066e+00,1.078191785485791865e+00
5.625000000000000000e+00,1.143264519383577094e+00
5.675000000000000711e+00,1.228732153770227820e+00
5.724999999999999645e+00,1.315834864264631143e+00
5.775000000000000355e+00,1.397317085847785023e+00
5.825000000000001066e+00,1.486145497774441271e+00
5.875000000000000000e+00,1.536553426667431221e+00
5.925000000000000711e+00,1.562416199684218521e+00
5.974999999999999645e+00,1.560239571995609920e+00
