r_A,g_r
2.500000000000000139e-02,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,0.000000000000000000e+00
1.475000000000000089e+00,0.000000000000000000e+00
1.524999999999999911e+00,0.000000000000000000e+00
1.575000000000000178e+00,0.000000000000000000e+00
1.625000000000000000e+00,0.000000000000000000e+00
1.675000000000000266e+00,0.000000000000000000e+00
1.725000000000000089e+00,0.000000000000000000e+00
1.774999999999999911e+00,0.000000000000000000e+00
1.825000000000000178e+00,0.000000000000000000e+00
1.875000000000000000e+00,0.000000000000000000e+00
1.925000000000000266e+00,1.498898805813264883e-03
1.975000000000000089e+00,5.695879503910803755e-03
2.025000000000000355e+00,6.050198473118672399e-02
2.075000000000000178e+00,1.917849773108456224e-01
2.125000000000000000e+00,5.748400929575668838e-01
2.174999999999999822e+00,1.152615865418050722e+00
2.225000000000000089e+00,2.017295770919713682e+00
2.275000000000000355e+00,2.825359974812883479e+00
2.325000000000000178e+00,3.577867983547174280e+00
2.375000000000000000e+00,4.040326350379626064e+00
2.425000000000000266e+00,4.199414891753137091e+00
2.475000000000000089e+00,4.160221264535985952e+00
2.525000000000000355e+00,3.837665817348597574e+00
2.575000000000000178e+00,3.511371856744759157e+00
2.625000000000000000e+00,3.113140494045453455e+00
2.675000000000000266e+00,2.661221487772600369e+00
2.725000000000000089e+00,2.334818628407769658e+00
2.775000000000000355e+00,1.987683148064642191e+00
2.825000000000000178e+00,1.702186806362691707e+00
2.875000000000000000e+00,1.444807584163809722e+00
2.925000000000000266e+00,1.285034594700291688e+00
2.975000000000000089e+00,1.081332638247354039e+00
3.025000000000000355e+00,9.131489630997451368e-01
3.075000000000000178e+00,8.053707322233321086e-01
3.125000000000000000e+00,6.927813329765343253e-01
3.175000000000000266e+00,5.972979780578274722e-01
3.225000000000000089e+00,5.349501103891820541e-01
3.275000000000000355e+00,4.529703013057999050e-01
3.325000000000000178e+00,4.012659170052534363e-01
3.375000000000000000e+00,3.413506542260664189e-01
3.425000000000000266e+00,2.942076666983441391e-01
3.475000000000000089e+00,2.635698373442675879e-01
3.525000000000000355e+00,2.178506152187019151e-01
3.575000000000000178e+00,2.009343710497352165e-01
3.625000000000000000e+00,1.882437185597753693e-01
3.675000000000000266e+00,1.780839201846455833e-01
3.725000000000000089e+00,1.745362382680261115e-01
3.775000000000000355e+00,1.813769520939196855e-01
3.825000000000000178e+00,1.952692261913361316e-01
3.875000000000000000e+00,2.241720079697896162e-01
3.925000000000000266e+00,2.556343657446423778e-01
3.975000000000000089e+00,3.056078722375717427e-01
4.025000000000000355e+00,3.372630766913865541e-01
4.075000000000000178e+00,3.923697649734843029e-01
4.125000000000000000e+00,4.686607583715826642e-01
4.175000000000000711e+00,5.397193477299754294e-01
4.224999999999999645e+00,6.314705351412386314e-01
4.275000000000000355e+00,7.246828413896222454e-01
4.325000000000000178e+00,8.122531315459963208e-01
4.375000000000000000e+00,9.098736226911902092e-01
4.425000000000000711e+00,9.902284618680051720e-01
4.474999999999999645e+00,1.078064872553586850e+00
4.525000000000000355e+00,1.189740460057451488e+00
4.575000000000000178e+00,1.232699999442699257e+00
4.625000000000000000e+00,1.302184624427777271e+00
4.675000000000000711e+00,1.325140274793182416e+00
4.724999999999999645e+00,1.332324437628806812e+00
4.775000000000000355e+00,1.348094918897750905e+00
4.825000000000001066e+00,1.354260033938052832e+00
4.875000000000000000e+00,1.325064876568756711e+00
4.925000000000000711e+00,1.305395915330931356e+00
4.974999999999999645e+00,1.241136877523671744e+00
5.025000000000000355e+00,1.191556368641156105e+00
5.075000000000001066e+00,1.112695107588701493e+00
5.125000000000000000e+00,1.067545413583921965e+00
5.175000000000000711e+00,1.024961511846373741e+00
5.224999999999999645e+00,9.885517248582820216e-01
5.275000000000000355e+00,9.515350718173185562e-01
5.325000000000001066e+00,9.235635297734529070e-01
5.375000000000000000e+00,9.207526238565809651e-01
5.425000000000000711e+00,9.372648992161453085e-01
5.474999999999999645e+00,9.756303616653098087e-01
5.525000000000000355e+00,1.032840014417479413e+00
5.575000000000001066e+00,1.096368406912689997e+00
5.625000000000000000e+00,1.161230000989210698e+00
5.675000000000000711e+00,1.236638637782182526e+00
5.724999999999999645e+00,1.315235385153461500e+00
5.775000000000000355e+00,1.388327244506745162e+00
5.825000000000001066e+00,1.449449833450514591e+00
5.875000000000000000e+00,1.509855072479659999e+00
5.925000000000000711e+00,1.515650557503672724e+00
5.974999999999999645e+00,1.543861174964757277e+00
