r_A,g_r
2.500000000000000139e-02,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,0.000000000000000000e+00
1.475000000000000089e+00,0.000000000000000000e+00
1.524999999999999911e+00,0.000000000000000000e+00
1.575000000000000178e+00,0.000000000000000000e+00
1.625000000000000000e+00,0.000000000000000000e+00
1.675000000000000266e+00,0.000000000000000000e+00
1.725000000000000089e+00,0.000000000000000000e+00
1.774999999999999911e+00,0.000000000000000000e+00
1.825000000000000178e+00,0.000000000000000000e+00
1.875000000000000000e+00,0.000000000000000000e+00
1.925000000000000266e+00,1.998531741084353178e-03
1.975000000000000089e+00,7.594506005214405296e-03
2.025000000000000355e+00,5.056882305890233326e-02
2.075000000000000178e+00,2.137155464652248371e-01
2.125000000000000000e+00,5.485991757326850182e-01
2.174999999999999822e+00,1.178838365582060677e+00
2.225000000000000089e+00,2.001962228723253023e+00
2.275000000000000355e+00,2.905849465105729390e+00
2.325000000000000178e+00,3.582663134970653029e+00
2.375000000000000000e+00,4.091532046265499822e+00
2.425000000000000266e+00,4.200359429515565068e+00
2.475000000000000089e+00,4.110953895593863372e+00
2.525000000000000355e+00,3.905910347585216602e+00
2.575000000000000178e+00,3.454128816535401381e+00
2.625000000000000000e+00,3.106960429194508766e+00
2.675000000000000266e+00,2.702362393611768443e+00
2.725000000000000089e+00,2.285449332335072192e+00
2.775000000000000355e+00,1.939355542795379694e+00
2.825000000000000178e+00,1.679682769260717912e+00
2.875000000000000000e+00,1.437191544185271841e+00
2.925000000000000266e+00,1.255819426245502246e+00
2.975000000000000089e+00,1.058948697002922490e+00
3.025000000000000355e+00,9.459276318394214123e-01
3.075000000000000178e+00,7.942095039868307671e-01
3.125000000000000000e+00,7.013131227915162524e-01
3.175000000000000266e+00,6.013387392870009895e-01
3.225000000000000089e+00,5.219546501367992031e-01
3.275000000000000355e+00,4.571133223543286106e-01
3.325000000000000178e+00,3.965766658883306262e-01
3.375000000000000000e+00,3.350112849332966269e-01
3.425000000000000266e+00,2.957860340089575879e-01
3.475000000000000089e+00,2.528369178479914492e-01
3.525000000000000355e+00,2.308143659191308206e-01
3.575000000000000178e+00,2.039766362206396344e-01
3.625000000000000000e+00,1.866938077033700183e-01
3.675000000000000266e+00,1.868578777611023256e-01
3.725000000000000089e+00,1.806743628554337566e-01
3.775000000000000355e+00,1.873535565325445684e-01
3.825000000000000178e+00,2.012171546624915430e-01
3.875000000000000000e+00,2.228156316839438045e-01
3.925000000000000266e+00,2.591197426165721129e-01
3.975000000000000089e+00,3.030298917202302600e-01
4.025000000000000355e+00,3.475489719479859518e-01
4.075000000000000178e+00,4.001747901363555404e-01
4.125000000000000000e+00,4.708370330796002312e-01
4.175000000000000711e+00,5.357890946565628809e-01
4.224999999999999645e+00,6.271141352601723451e-01
4.275000000000000355e+00,7.119175627631588732e-01
4.325000000000000178e+00,8.254178483989841331e-01
4.375000000000000000e+00,8.943962912399261445e-01
4.425000000000000711e+00,9.958074801310123902e-01
4.474999999999999645e+00,1.100624720658481825e+00
4.525000000000000355e+00,1.173554130168397380e+00
4.575000000000000178e+00,1.241722991903636109e+00
4.625000000000000000e+00,1.276130544930784483e+00
4.675000000000000711e+00,1.323191788262032764e+00
4.724999999999999645e+00,1.347252442532210770e+00
4.775000000000000355e+00,1.364417253618457337e+00
4.825000000000001066e+00,1.340739702380062015e+00
4.875000000000000000e+00,1.330362643008472068e+00
4.925000000000000711e+00,1.298907484665875023e+00
4.974999999999999645e+00,1.236872830629641928e+00
5.025000000000000355e+00,1.200428880678422683e+00
5.075000000000001066e+00,1.129013869019289240e+00
5.125000000000000000e+00,1.064584709188087119e+00
5.175000000000000711e+00,1.034295056810910607e+00
5.224999999999999645e+00,9.829226226928567955e-01
5.275000000000000355e+00,9.620485362471882240e-01
5.325000000000001066e+00,9.340110810152341125e-01
5.375000000000000000e+00,9.335702284206037760e-01
5.425000000000000711e+00,9.360066566343006045e-01
5.474999999999999645e+00,9.702565192173907560e-01
5.525000000000000355e+00,1.020587625240104934e+00
5.575000000000001066e+00,1.077543563585999564e+00
5.625000000000000000e+00,1.146541998053900668e+00
5.675000000000000711e+00,1.233361631629063870e+00
5.724999999999999645e+00,1.328341415965058614e+00
5.775000000000000355e+00,1.407036657127162416e+00
5.825000000000001066e+00,1.468166846208346366e+00
5.875000000000000000e+00,1.509104060932203506e+00
5.925000000000000711e+00,1.538224188662512315e+00
5.974999999999999645e+00,1.534785130029967082e+00
