r_A,g_r
2.500000000000000139e-02,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,0.000000000000000000e+00
1.475000000000000089e+00,0.000000000000000000e+00
1.524999999999999911e+00,0.000000000000000000e+00
1.575000000000000178e+00,0.000000000000000000e+00
1.625000000000000000e+00,0.000000000000000000e+00
1.675000000000000266e+00,0.000000000000000000e+00
1.725000000000000089e+00,0.000000000000000000e+00
1.774999999999999911e+00,0.000000000000000000e+00
1.825000000000000178e+00,0.000000000000000000e+00
1.875000000000000000e+00,0.000000000000000000e+00
1.925000000000000266e+00,0.000000000000000000e+00
1.975000000000000089e+00,0.000000000000000000e+00
2.025000000000000355e+00,0.000000000000000000e+00
2.075000000000000178e+00,0.000000000000000000e+00
2.125000000000000000e+00,0.000000000000000000e+00
2.174999999999999822e+00,0.000000000000000000e+00
2.225000000000000089e+00,0.000000000000000000e+00
2.275000000000000355e+00,1.068816176334722859e-03
2.325000000000000178e+00,1.228009977718207829e-02
2.375000000000000000e+00,1.480870155050164894e-01
2.425000000000000266e+00,7.158616329027388536e-01
2.475000000000000089e+00,2.324484567556449388e+00
2.525000000000000355e+00,4.943889898233281066e+00
2.575000000000000178e+00,7.580326671642538372e+00
2.625000000000000000e+00,8.972982203455000416e+00
2.675000000000000266e+00,8.511584273445604865e+00
2.725000000000000089e+00,6.564665356744101565e+00
2.775000000000000355e+00,4.652136159332117771e+00
2.825000000000000178e+00,2.774729491142706284e+00
2.875000000000000000e+00,1.618277342655281892e+00
2.925000000000000266e+00,8.741735804697280399e-01
2.975000000000000089e+00,4.243936848841917131e-01
3.025000000000000355e+00,2.345602314207636263e-01
3.075000000000000178e+00,1.000413636536322953e-01
3.125000000000000000e+00,5.041549083864935166e-02
3.175000000000000266e+00,2.469445128582914428e-02
3.225000000000000089e+00,1.170140052613817712e-02
3.275000000000000355e+00,6.704951015911294644e-03
3.325000000000000178e+00,1.501111917814507406e-03
3.375000000000000000e+00,0.000000000000000000e+00
3.425000000000000266e+00,1.886315911405837690e-03
3.475000000000000089e+00,0.000000000000000000e+00
3.525000000000000355e+00,0.000000000000000000e+00
3.575000000000000178e+00,4.328367523775834402e-04
3.625000000000000000e+00,4.209789632326061109e-04
3.675000000000000266e+00,1.228805566338313834e-03
3.725000000000000089e+00,2.790758566963250174e-03
3.775000000000000355e+00,3.881888352268843007e-03
3.825000000000000178e+00,1.285562380938150111e-02
3.875000000000000000e+00,1.805219192460916222e-02
3.925000000000000266e+00,3.231771268509505551e-02
3.975000000000000089e+00,4.551417358039928918e-02
4.025000000000000355e+00,7.682958109271023628e-02
4.075000000000000178e+00,1.269251257255422649e-01
4.125000000000000000e+00,2.009178644209250464e-01
4.175000000000000711e+00,2.910278069371407539e-01
4.224999999999999645e+00,4.019432893313044097e-01
4.275000000000000355e+00,5.282038273799736228e-01
4.325000000000000178e+00,7.360903723461426074e-01
4.375000000000000000e+00,8.962397996446404003e-01
4.425000000000000711e+00,1.119634321225058127e+00
4.474999999999999645e+00,1.294478936911219513e+00
4.525000000000000355e+00,1.435968735359073989e+00
4.575000000000000178e+00,1.577605314801999059e+00
4.625000000000000000e+00,1.615316306673765023e+00
4.675000000000000711e+00,1.630812615946864774e+00
4.724999999999999645e+00,1.595489858883708534e+00
4.775000000000000355e+00,1.549392664521700658e+00
4.825000000000001066e+00,1.448062241857905663e+00
4.875000000000000000e+00,1.383129682862640042e+00
4.925000000000000711e+00,1.329644851450977328e+00
4.974999999999999645e+00,1.251645962048552940e+00
5.025000000000000355e+00,1.192684849493216737e+00
5.075000000000001066e+00,1.134718945346649077e+00
5.125000000000000000e+00,1.069509911584432427e+00
5.175000000000000711e+00,1.010521744119986964e+00
5.224999999999999645e+00,9.675663890006904744e-01
5.275000000000000355e+00,8.749565574740711948e-01
5.325000000000001066e+00,8.246565905141777231e-01
5.375000000000000000e+00,7.747277475362993604e-01
5.425000000000000711e+00,7.561897296513834243e-01
5.474999999999999645e+00,7.605270238435727359e-01
5.525000000000000355e+00,7.848812536275752150e-01
5.575000000000001066e+00,8.630636605657741045e-01
5.625000000000000000e+00,1.028745745840796477e+00
5.675000000000000711e+00,1.187106418644833905e+00
5.724999999999999645e+00,1.391281014126905413e+00
5.775000000000000355e+00,1.566010281040947083e+00
5.825000000000001066e+00,1.741082546339492998e+00
5.875000000000000000e+00,1.881624828317058684e+00
5.925000000000000711e+00,2.033741147062483545e+00
5.974999999999999645e+00,2.114047917443251823e+00
