r_A,g_r
2.500000000000000139e-02,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,0.000000000000000000e+00
1.475000000000000089e+00,0.000000000000000000e+00
1.524999999999999911e+00,0.000000000000000000e+00
1.575000000000000178e+00,0.000000000000000000e+00
1.625000000000000000e+00,0.000000000000000000e+00
1.675000000000000266e+00,0.000000000000000000e+00
1.725000000000000089e+00,0.000000000000000000e+00
1.774999999999999911e+00,0.000000000000000000e+00
1.825000000000000178e+00,0.000000000000000000e+00
1.875000000000000000e+00,0.000000000000000000e+00
1.925000000000000266e+00,0.000000000000000000e+00
1.975000000000000089e+00,0.000000000000000000e+00
2.025000000000000355e+00,0.000000000000000000e+00
2.075000000000000178e+00,0.000000000000000000e+00
2.125000000000000000e+00,0.000000000000000000e+00
2.174999999999999822e+00,0.000000000000000000e+00
2.225000000000000089e+00,0.000000000000000000e+00
2.275000000000000355e+00,1.073193203904615044e-03
2.325000000000000178e+00,1.438545427043665462e-02
2.375000000000000000e+00,1.437698384487997583e-01
2.425000000000000266e+00,7.679092008536438918e-01
2.475000000000000089e+00,2.384782459836452428e+00
2.525000000000000355e+00,5.114854940670514161e+00
2.575000000000000178e+00,7.828334791557798766e+00
2.625000000000000000e+00,9.171753635745512057e+00
2.675000000000000266e+00,8.433885697029451123e+00
2.725000000000000089e+00,6.603517359542008691e+00
2.775000000000000355e+00,4.455516682809468776e+00
2.825000000000000178e+00,2.834812673701203156e+00
2.875000000000000000e+00,1.612136462515804114e+00
2.925000000000000266e+00,7.738773510690878377e-01
2.975000000000000089e+00,4.054212909505459650e-01
3.025000000000000355e+00,1.748195666116064140e-01
3.075000000000000178e+00,9.222699121740564332e-02
3.125000000000000000e+00,3.640230321058964685e-02
3.175000000000000266e+00,1.432633526706966233e-02
3.225000000000000089e+00,5.874660114090849913e-03
3.275000000000000355e+00,5.178776310660822974e-03
3.325000000000000178e+00,3.516938337692121063e-03
3.375000000000000000e+00,9.752875835030467991e-04
3.425000000000000266e+00,4.735101931840303077e-04
3.475000000000000089e+00,0.000000000000000000e+00
3.525000000000000355e+00,0.000000000000000000e+00
3.575000000000000178e+00,0.000000000000000000e+00
3.625000000000000000e+00,0.000000000000000000e+00
3.675000000000000266e+00,4.112792613964101228e-04
3.725000000000000089e+00,3.202499784734423854e-03
3.775000000000000355e+00,4.287564053796095835e-03
3.825000000000000178e+00,9.491375219928847515e-03
3.875000000000000000e+00,1.405699059876568298e-02
3.925000000000000266e+00,2.668116088166929897e-02
3.975000000000000089e+00,4.394284972741158146e-02
4.025000000000000355e+00,7.200126679619570091e-02
4.075000000000000178e+00,1.164063752862510848e-01
4.125000000000000000e+00,1.641999267199252821e-01
4.175000000000000711e+00,2.804288679407861973e-01
4.224999999999999645e+00,3.877195894149063626e-01
4.275000000000000355e+00,5.349259614898930204e-01
4.325000000000000178e+00,6.761517355094688320e-01
4.375000000000000000e+00,8.755332935336980205e-01
4.425000000000000711e+00,1.056987561760939665e+00
4.474999999999999645e+00,1.236815934832704134e+00
4.525000000000000355e+00,1.432083276273455663e+00
4.575000000000000178e+00,1.553281613937162131e+00
4.625000000000000000e+00,1.563504445030506451e+00
4.675000000000000711e+00,1.615125900711674944e+00
4.724999999999999645e+00,1.577392518126355725e+00
4.775000000000000355e+00,1.551596266211633601e+00
4.825000000000001066e+00,1.486918345930575258e+00
4.875000000000000000e+00,1.392299765355141661e+00
4.925000000000000711e+00,1.310586659862976511e+00
4.974999999999999645e+00,1.257669410218068107e+00
5.025000000000000355e+00,1.176011140939499100e+00
5.075000000000001066e+00,1.142169522507384016e+00
5.125000000000000000e+00,1.126336543729787865e+00
5.175000000000000711e+00,1.043905151255878128e+00
5.224999999999999645e+00,1.007338005579038187e+00
5.275000000000000355e+00,9.190631057301261730e-01
5.325000000000001066e+00,8.611394111038106480e-01
5.375000000000000000e+00,8.069322953280581023e-01
5.425000000000000711e+00,7.804249613891987014e-01
5.474999999999999645e+00,7.721655682923733721e-01
5.525000000000000355e+00,8.122970092247404628e-01
5.575000000000001066e+00,8.791082688986396887e-01
5.625000000000000000e+00,1.018563263314765210e+00
5.675000000000000711e+00,1.152471321849448227e+00
5.724999999999999645e+00,1.313258182229298132e+00
5.775000000000000355e+00,1.540112212175055673e+00
5.825000000000001066e+00,1.693207547704841831e+00
5.875000000000000000e+00,1.855052165899919059e+00
5.925000000000000711e+00,1.986057604946873445e+00
5.974999999999999645e+00,1.985942357959905813e+00
