r_A,g_r
2.500000000000000139e-02,0.000000000000000000e+00
7.500000000000001110e-02,0.000000000000000000e+00
1.250000000000000000e-01,0.000000000000000000e+00
1.750000000000000167e-01,0.000000000000000000e+00
2.250000000000000056e-01,0.000000000000000000e+00
2.750000000000000222e-01,0.000000000000000000e+00
3.250000000000000666e-01,0.000000000000000000e+00
3.750000000000000000e-01,0.000000000000000000e+00
4.250000000000000444e-01,0.000000000000000000e+00
4.749999999999999778e-01,0.000000000000000000e+00
5.250000000000000222e-01,0.000000000000000000e+00
5.750000000000000666e-01,0.000000000000000000e+00
6.250000000000000000e-01,0.000000000000000000e+00
6.750000000000000444e-01,0.000000000000000000e+00
7.250000000000000888e-01,0.000000000000000000e+00
7.750000000000000222e-01,0.000000000000000000e+00
8.250000000000000666e-01,0.000000000000000000e+00
8.750000000000000000e-01,0.000000000000000000e+00
9.250000000000000444e-01,0.000000000000000000e+00
9.750000000000000888e-01,0.000000000000000000e+00
1.024999999999999911e+00,0.000000000000000000e+00
1.075000000000000178e+00,0.000000000000000000e+00
1.125000000000000000e+00,0.000000000000000000e+00
1.175000000000000266e+00,0.000000000000000000e+00
1.225000000000000089e+00,0.000000000000000000e+00
1.274999999999999911e+00,0.000000000000000000e+00
1.325000000000000178e+00,0.000000000000000000e+00
1.375000000000000000e+00,0.000000000000000000e+00
1.425000000000000266e+00,0.000000000000000000e+00
1.475000000000000089e+00,0.000000000000000000e+00
1.524999999999999911e+00,0.000000000000000000e+00
1.575000000000000178e+00,0.000000000000000000e+00
1.625000000000000000e+00,0.000000000000000000e+00
1.675000000000000266e+00,0.000000000000000000e+00
1.725000000000000089e+00,0.000000000000000000e+00
1.774999999999999911e+00,0.000000000000000000e+00
1.825000000000000178e+00,0.000000000000000000e+00
1.875000000000000000e+00,0.000000000000000000e+00
1.925000000000000266e+00,0.000000000000000000e+00
1.975000000000000089e+00,0.000000000000000000e+00
2.025000000000000355e+00,0.000000000000000000e+00
2.075000000000000178e+00,0.000000000000000000e+00
2.125000000000000000e+00,0.000000000000000000e+00
2.174999999999999822e+00,0.000000000000000000e+00
2.225000000000000089e+00,0.000000000000000000e+00
2.275000000000000355e+00,0.000000000000000000e+00
2.325000000000000178e+00,1.335792182254832289e-02
2.375000000000000000e+00,1.457392882905641507e-01
2.425000000000000266e+00,7.471293700802364990e-01
2.475000000000000089e+00,2.402010926276335390e+00
2.525000000000000355e+00,5.136635109894966966e+00
2.575000000000000178e+00,7.753779222114391523e+00
2.625000000000000000e+00,9.121775719994394294e+00
2.675000000000000266e+00,8.454844271702235403e+00
2.725000000000000089e+00,6.599029241717217609e+00
2.775000000000000355e+00,4.570925889422633226e+00
2.825000000000000178e+00,2.808364630096821912e+00
2.875000000000000000e+00,1.583912314360045981e+00
2.925000000000000266e+00,7.758250289660737486e-01
2.975000000000000089e+00,3.985178324359081592e-01
3.025000000000000355e+00,1.918159133655125970e-01
3.075000000000000178e+00,8.694009363169448446e-02
3.125000000000000000e+00,3.981501913658242603e-02
3.175000000000000266e+00,1.708139974150613485e-02
3.225000000000000089e+00,1.121526021780980438e-02
3.275000000000000355e+00,4.660898679594739982e-03
3.325000000000000178e+00,2.009679050109783403e-03
3.375000000000000000e+00,9.752875835030467991e-04
3.425000000000000266e+00,4.735101931840303077e-04
3.475000000000000089e+00,0.000000000000000000e+00
3.525000000000000355e+00,4.470258862216864595e-04
3.575000000000000178e+00,8.692186202584076217e-04
3.625000000000000000e+00,8.454059216756377483e-04
3.675000000000000266e+00,1.233837784189230260e-03
3.725000000000000089e+00,8.006249461836059634e-04
3.775000000000000355e+00,3.118228402760796734e-03
3.825000000000000178e+00,1.025068523752315462e-02
3.875000000000000000e+00,1.368706979353500816e-02
3.925000000000000266e+00,2.704171710979996410e-02
3.975000000000000089e+00,4.218513573831511598e-02
4.025000000000000355e+00,7.542989854839549091e-02
4.075000000000000178e+00,1.120578612669371199e-01
4.125000000000000000e+00,1.893358995975281678e-01
4.175000000000000711e+00,2.590780336771127401e-01
4.224999999999999645e+00,3.902089607755157008e-01
4.275000000000000355e+00,5.100032746477503043e-01
4.325000000000000178e+00,6.782303750125721065e-01
4.375000000000000000e+00,8.819176927573444402e-01
4.425000000000000711e+00,1.059824350708231666e+00
4.474999999999999645e+00,1.273706833987839682e+00
4.525000000000000355e+00,1.414992682144789793e+00
4.575000000000000178e+00,1.530989514916023975e+00
4.625000000000000000e+00,1.597002547240925940e+00
4.675000000000000711e+00,1.673326346229058625e+00
4.724999999999999645e+00,1.610980529159014685e+00
4.775000000000000355e+00,1.506527133027593335e+00
4.825000000000001066e+00,1.478806146995780724e+00
4.875000000000000000e+00,1.390429965435242110e+00
4.925000000000000711e+00,1.297304460619214117e+00
4.974999999999999645e+00,1.251385551637392624e+00
5.025000000000000355e+00,1.157092892132765671e+00
5.075000000000001066e+00,1.145188852816127145e+00
5.125000000000000000e+00,1.078753794511011499e+00
5.175000000000000711e+00,1.039964321159740468e+00
5.224999999999999645e+00,9.835330072650112498e-01
5.275000000000000355e+00,9.416204756144667121e-01
5.325000000000001066e+00,8.730887978365977631e-01
5.375000000000000000e+00,8.102007844918839297e-01
5.425000000000000711e+00,7.864645257820533919e-01
5.474999999999999645e+00,7.986641707079744634e-01
5.525000000000000355e+00,8.299477282871956518e-01
5.575000000000001066e+00,8.832187568402272149e-01
5.625000000000000000e+00,9.910013135835660236e-01
5.675000000000000711e+00,1.168511404598924219e+00
5.724999999999999645e+00,1.354101545491301017e+00
5.775000000000000355e+00,1.500472685139512929e+00
5.825000000000001066e+00,1.651790018016228823e+00
5.875000000000000000e+00,1.825118991365574983e+00
5.925000000000000711e+00,1.968810928804489047e+00
5.974999999999999645e+00,2.028262658912984406e+00
