model,block,D_cm2_s,R2
MACE-MPA-0,1,3.2330713530771615e-07,0.9552066274974781
MACE-MPA-0,2,4.023293133216804e-07,0.9311710049913414
MACE-MPA-0,3,4.02857320355584e-07,0.8050276780336338
MACE-MPA-0,4,3.9125457731908593e-07,0.9441061965281798
MACE-MPA-0,5,5.274635868259554e-07,0.9310623924649296
M3GNet,1,4.954906174911037e-07,0.9516728706309456
M3GNet,2,6.096718157050973e-07,0.943818897919458
M3GNet,3,6.105269819252982e-07,0.9115750617020988
M3GNet,4,5.66272541167541e-07,0.8475203715830564
M3GNet,5,5.917839287672026e-07,0.9081671662496836
