# Time-averaged data for fix msd_out
# TimeStep c_msd_li[1] c_msd_li[2] c_msd_li[3] c_msd_li[4]
0 3.23158e-30 7.94521e-31 2.08539e-30 6.1115e-30
1000 1.73594 1.2989 1.29726 4.3321
2000 2.33726 3.78639 2.90863 9.03228
3000 5.09704 4.67062 6.53865 16.3063
4000 6.81188 5.30354 9.76482 21.8802
5000 9.34524 7.441 12.5074 29.2936
6000 9.8853 7.82959 14.9702 32.6851
7000 10.4414 8.03758 16.0915 34.5705
8000 10.8023 8.99432 16.8717 36.6683
9000 13.1488 8.84642 21.2592 43.2544
10000 12.7535 10.506 21.1842 44.4437
11000 14.3168 10.6743 22.7519 47.743
12000 16.1262 10.9406 23.328 50.3948
13000 16.4985 14.2788 24.3766 55.1539
14000 15.7789 13.9507 27.7686 57.4982
15000 16.5741 16.4643 25.8565 58.8949
16000 15.5729 18.0642 26.4623 60.0994
17000 15.8285 19.6369 25.0705 60.5358
18000 15.9268 20.0579 25.5347 61.5195
19000 18.1401 24.7877 25.4478 68.3756
20000 22.4465 26.3075 24.4369 73.1909
21000 22.2168 25.5584 25.1386 72.9139
22000 21.8532 27.8773 25.7049 75.4353
23000 22.927 30.9017 25.7569 79.5856
24000 22.5668 32.0468 27.5089 82.1224
25000 23.0686 32.008 28.2781 83.3547
26000 22.815 33.6332 29.7861 86.2343
27000 23.4972 34.9366 32.2304 90.6642
28000 24.7647 38.7036 29.1187 92.587
29000 26.6579 41.6926 30.3747 98.7252
30000 27.5031 44.6821 30.1552 102.34
31000 27.8973 46.8573 31.4574 106.212
32000 28.1484 47.5772 32.872 108.598
33000 28.0183 48.4345 31.7586 108.211
34000 35.196 50.4227 31.2746 116.893
35000 36.8151 51.8779 31.2927 119.986
36000 39.4147 52.8787 32.6429 124.936
37000 40.4551 56.9487 33.3934 130.797
38000 39.9857 55.5624 35.2488 130.797
39000 41.5516 58.194 38.1903 137.936
40000 39.0371 61.338 43.0906 143.466
41000 41.4623 61.5333 41.439 144.435
42000 41.8074 61.1503 40.9646 143.922
43000 41.8218 61.9973 42.1944 146.013
44000 42.7848 65.8203 42.8979 151.503
45000 45.8919 68.416 44.4916 158.799
46000 48.8073 67.8295 42.9635 159.6
47000 50.9533 71.661 47.0265 169.641
48000 51.2902 75.9229 46.9879 174.201
49000 51.7851 79.106 48.8959 179.787
50000 51.0267 76.0797 48.535 175.641
51000 53.1179 82.8442 52.4545 188.417
52000 56.4426 80.6422 55.584 192.669
53000 56.4967 79.6756 55.3963 191.569
54000 60.9932 89.396 55.847 206.236
55000 64.0791 92.2111 56.8512 213.141
56000 65.0108 96.7792 58.9559 220.746
57000 65.7105 95.1395 60.1824 221.032
58000 65.2489 95.6522 58.6321 219.533
59000 68.3138 99.5026 59.1542 226.971
60000 70.4807 99.8527 58.9116 229.245
61000 70.4306 97.7233 60.9155 229.069
62000 72.9568 100.27 60.4889 233.716
63000 71.4613 103.985 64.0188 239.465
64000 78.8361 107.639 69.9575 256.433
65000 72.2563 112.934 74.4911 259.681
66000 75.1271 113.607 78.2571 266.991
67000 77.4979 106.949 77.8357 262.282
68000 77.2857 109.217 86.4204 272.923
69000 76.1185 109.361 88.963 274.442
70000 80.7616 106.563 88.9199 276.245
71000 83.732 104.778 93.6717 282.181
72000 85.1602 106.575 94.8014 286.537
73000 82.8704 109.407 90.7799 283.057
74000 80.5246 111.866 99.5981 291.989
75000 81.4067 111.223 103.096 295.726
76000 85.8323 111.847 103.379 301.059
77000 86.9899 110.9 107.32 305.21
78000 87.6775 119.529 108.421 315.628
79000 90.7769 117.203 107.97 315.949
80000 93.6011 126.706 109.422 329.73
81000 93.9457 127.39 116.068 337.404
82000 97.1638 136.004 117.311 350.479
83000 97.7353 138.176 120.92 356.831
84000 97.556 134.958 114.182 346.696
85000 99.5076 137.23 115.622 352.36
86000 97.0531 134.053 130.419 361.524
87000 98.9494 142.157 135.753 376.859
88000 105.996 141.528 135.203 382.727
89000 107.654 146.152 131.894 385.7
90000 104.953 151.328 128.589 384.869
91000 105.761 159.883 129.771 395.416
92000 105.843 168.984 141.059 415.887
93000 112.618 164.433 139.526 416.577
94000 113.964 162.941 141.422 418.326
95000 116.526 163.186 138.276 417.987
96000 118.701 163.644 135.954 418.299
97000 116.6 169.317 135.797 421.715
98000 117.131 166.953 135.622 419.706
99000 120.285 166.013 141.196 427.494
100000 119.36 170.85 141.275 431.485
101000 122.042 169.244 144.552 435.838
102000 120.343 177.112 144.965 442.42
103000 120.363 180.411 138.77 439.544
104000 120.436 174.777 143.806 439.019
105000 119.034 176.559 152.275 447.868
106000 120.787 181.334 146.956 449.078
107000 126.24 188.303 148.568 463.111
108000 119.071 180.59 154.733 454.394
109000 123.556 187.763 158.492 469.812
110000 123.257 188.146 155.685 467.089
111000 122.245 194.391 150.071 466.707
112000 126.156 195.402 152.05 473.608
113000 129.83 207.776 158.845 496.451
114000 136.729 212.825 159.502 509.056
115000 132.383 211.516 169.632 513.531
116000 132.526 209.023 172.018 513.567
117000 135.67 212.637 167.061 515.369
118000 139.135 216.637 166.894 522.666
119000 141.487 206.979 169.172 517.639
120000 144.061 210.784 177.377 532.222
121000 147.347 207.034 176.208 530.589
122000 145.067 206.355 175.767 527.189
123000 150.383 208.189 182.009 540.581
124000 149.033 210.451 177.597 537.08
125000 154.273 212.17 177.978 544.421
126000 154.568 212.44 178.937 545.945
127000 153.852 209.479 180.089 543.42
128000 156.684 214.5 180.771 551.955
129000 157.057 214.022 183.13 554.21
130000 161.205 214.258 185.332 560.794
131000 163.221 218.286 186.1 567.607
132000 164.949 219.756 180.085 564.79
133000 167.779 217.706 183.291 568.776
134000 167.718 227.265 188.449 583.432
135000 166.384 221.79 193.539 581.712
136000 165.744 218.961 199.421 584.126
137000 163.586 214.732 196.74 575.059
138000 158.988 207.969 193.542 560.499
139000 166.719 220.011 196.548 583.278
140000 163.733 220.488 196.824 581.045
141000 166.774 217.87 198.321 582.965
142000 165.63 222.242 195.664 583.536
143000 172.915 224.113 196.422 593.449
144000 168.251 223.922 194.207 586.381
145000 168.379 226.264 191.975 586.618
146000 164.476 228.344 190.272 583.093
147000 168.44 223.671 192.882 584.993
148000 169.076 222.167 193.169 584.413
149000 173.379 224.984 194.454 592.817
150000 169.318 238.032 198.622 605.972
151000 166.445 235.989 195.238 597.672
152000 167.979 232.865 191.726 592.57
153000 171.155 233.762 195.147 600.064
154000 170.49 235.502 196.974 602.967
155000 167.979 230.514 196.033 594.526
156000 170.915 229.978 197.143 598.036
157000 176.819 229.519 198.949 605.288
158000 178.611 231.254 198.265 608.13
159000 186.768 228.124 194.808 609.7
160000 193.423 229.095 202.076 624.594
161000 200.114 231.674 211.873 643.661
162000 199.598 236.736 215.527 651.862
163000 201.549 242.523 222.312 666.384
164000 208.841 239.17 212.455 660.466
165000 204.283 238.55 203.368 646.202
166000 201.447 235.938 194.37 631.755
167000 204.049 241.5 195.63 641.179
168000 205.447 243.365 199.264 648.076
169000 204.307 239.283 195.685 639.275
170000 198.872 245.923 194.167 638.961
171000 209.697 249.233 196.101 655.032
172000 202.095 240.705 193.305 636.105
173000 210.398 253.383 193.2 656.98
174000 213.827 259.849 196.138 669.814
175000 213.911 253.507 191.849 659.267
176000 218.966 256.358 193.389 668.713
177000 215.804 257.106 196.938 669.849
178000 219.415 258.338 193.866 671.618
179000 217.251 267.835 187.659 672.744
180000 221.635 258.027 191.547 671.21
181000 230.631 257.646 189.331 677.608
182000 232.983 261.719 192.308 687.01
183000 228.872 264.842 192.168 685.882
184000 229.684 269.978 200.345 700.007
185000 227.713 267.563 193.459 688.735
186000 227.041 270.587 189.414 687.043
187000 229.37 269.373 185.115 683.858
188000 232.858 272.538 195.476 700.872
189000 225.067 274.008 193.801 692.876
190000 220.211 272.704 193.768 686.683
191000 213.475 269.302 199.855 682.632
192000 218.995 280.023 199.875 698.892
193000 222.862 280.356 202.996 706.214
194000 231.622 278.974 199.753 710.348
195000 228.886 279.532 198 706.417
196000 232.863 278.767 198.887 710.517
197000 233.303 276.87 196.218 706.392
198000 236.941 268.946 200.12 706.007
199000 236.68 271.865 204.122 712.666
200000 241.331 279.274 197.821 718.426
201000 241.595 289.772 193.956 725.322
202000 240.42 287.147 194.429 721.996
203000 235.828 291.841 189.124 716.793
204000 236.353 283.932 195.04 715.324
205000 242.221 284.056 197.628 723.905
206000 241.033 284.586 205.969 731.589
207000 248.976 285.774 204.048 738.798
208000 247.065 291.132 212.454 750.651
209000 247.793 295.708 213.282 756.782
210000 247.443 295.842 208.054 751.339
211000 246.128 306.297 208.062 760.487
212000 253.018 301.046 204.783 758.847
213000 247.106 307.928 210.411 765.444
214000 248.167 301.302 214.191 763.659
215000 255.808 305.618 223.776 785.201
216000 256.735 299.031 225.123 780.888
217000 256.965 290.929 219.819 767.713
218000 259.444 289.509 222.199 771.152
219000 263.377 292.709 224.874 780.961
220000 271.435 300.32 233.763 805.518
221000 264.705 301.911 232.015 798.631
