# Time-averaged data for fix msd_out
# TimeStep c_msd_li[1] c_msd_li[2] c_msd_li[3] c_msd_li[4]
0 3.19038e-30 1.68051e-31 1.30174e-31 3.4886e-30
1000 0.766399 0.565618 0.899081 2.2311
2000 1.14246 0.810381 1.72212 3.67496
3000 1.74242 1.65476 3.03807 6.43525
4000 2.03105 3.10124 4.37861 9.5109
5000 3.62615 2.43209 4.5606 10.6188
6000 4.29961 2.52921 7.04729 13.8761
7000 5.37084 2.86361 8.63061 16.8651
8000 5.82302 4.40249 9.97652 20.202
9000 7.16083 5.52619 10.8648 23.5518
10000 6.67449 7.35047 16.1238 30.1487
11000 7.65092 9.19081 16.0257 32.8675
12000 7.83691 9.51261 18.5054 35.8549
13000 8.6624 10.7855 19.3744 38.8223
14000 8.72738 10.65 20.7426 40.1199
15000 10.1313 11.6592 22.493 44.2836
16000 10.8184 13.3084 24.5618 48.6886
17000 10.9727 13.3498 26.9804 51.3029
18000 11.6321 14.4724 28.2607 54.3652
19000 13.1474 14.6127 30.0274 57.7875
20000 13.2889 13.7937 31.0876 58.1703
21000 13.1526 14.1818 31.4021 58.7365
22000 15.9473 15.8062 30.8619 62.6154
23000 17.2893 15.8674 32.0782 65.2348
24000 18.9877 16.9825 35.496 71.4661
25000 18.3305 16.4885 36.9566 71.7757
26000 20.6686 16.6276 36.8978 74.194
27000 19.971 18.7393 40.1742 78.8845
28000 19.868 19.3421 42.4715 81.6817
29000 19.5528 20.0188 47.7464 87.3181
30000 19.9285 21.7813 52.7787 94.4885
31000 19.0655 21.935 53.455 94.4554
32000 18.8547 24.3287 53.6203 96.8037
33000 19.5631 24.1248 52.4738 96.1616
34000 19.5695 26.4434 54.9864 100.999
35000 21.5532 27.2089 53.1772 101.939
36000 21.5361 25.378 52.6452 99.5593
37000 22.8394 26.3381 55.6277 104.805
38000 23.9973 26.6234 56.5488 107.169
39000 24.99 26.5775 55.4474 107.015
40000 26.0802 28.2672 58.2959 112.643
41000 27.5864 27.3833 63.6883 118.658
42000 27.5235 28.0924 62.6659 118.282
43000 27.0683 29.0492 61.6604 117.778
44000 28.3816 29.7384 60.101 118.221
45000 31.7532 28.4917 64.918 125.163
46000 36.7347 28.9159 64.526 130.177
47000 39.9511 29.5979 64.6463 134.195
48000 40.4746 29.7658 68.7549 138.995
49000 45.0495 30.1462 75.8678 151.064
50000 45.5633 30.2309 75.6412 151.435
51000 44.9389 30.0038 74.0628 149.006
52000 45.2608 30.4655 73.0408 148.767
53000 44.6753 32.9324 72.9481 150.556
54000 48.6322 33.8887 73.4299 155.951
55000 46.8377 34.9944 68.8361 150.668
56000 47.0839 34.9937 70.9161 152.994
57000 53.3374 35.7256 71.3952 160.458
58000 54.9529 38.8917 73.0217 166.866
59000 54.4126 38.0586 75.163 167.634
60000 53.2712 37.2957 75.1184 165.685
61000 54.3941 40.4092 73.5928 168.396
62000 55.568 37.901 74.6776 168.147
63000 56.5211 38.8076 72.7814 168.11
64000 54.7948 39.2961 73.0677 167.159
65000 52.9949 40.495 75.5598 169.05
66000 53.5916 41.3873 77.9834 172.962
67000 52.1528 41.1226 78.2198 171.495
68000 54.6474 42.2236 83.3683 180.239
69000 57.7319 42.4627 81.4249 181.62
70000 59.8819 40.7102 84.9277 185.52
71000 57.9985 41.7893 85.7614 185.549
72000 58.3296 41.9259 88.4592 188.715
73000 58.7345 46.2803 87.1805 192.195
74000 58.7043 43.9182 90.9042 193.527
75000 57.3253 42.0404 88.9537 188.319
76000 59.5899 42.2136 94.2527 196.056
77000 58.7903 44.546 90.9358 194.272
78000 58.8457 44.1961 94.9916 198.033
79000 59.9976 44.4396 90.9271 195.364
80000 62.7417 42.9208 94.0684 199.731
81000 62.0689 46.0892 99.1324 207.29
82000 61.1878 47.3323 92.6771 201.197
83000 61.8714 45.5673 97.8582 205.297
84000 64.5113 46.2433 101.86 212.614
85000 64.6711 49.2147 99.4996 213.385
86000 66.2354 48.3518 99.353 213.94
87000 67.286 48.3149 99.1764 214.777
88000 66.3799 48.7395 100.348 215.467
89000 67.3632 50.0036 103.25 220.617
90000 65.5598 49.5057 104.173 219.239
91000 65.555 48.2019 102.835 216.592
92000 69.0399 50.9867 100.34 220.366
93000 69.2383 54.1177 101.994 225.35
94000 72.2726 52.8542 100.023 225.15
95000 71.444 52.7588 95.9876 220.19
96000 74.5501 51.9158 97.3146 223.781
97000 73.6705 54.0211 95.7509 223.442
98000 81.2551 52.2611 97.1536 230.67
99000 78.2366 55.2691 94.9363 228.442
100000 76.8474 55.9071 99.4919 232.246
101000 75.8114 54.6041 98.9211 229.337
102000 78.7593 54.3266 97.9541 231.04
103000 78.3557 54.5117 97.7977 230.665
104000 80.1431 56.3964 97.7317 234.271
105000 80.2811 55.0664 99.7273 235.075
106000 83.1087 55.623 108.524 247.255
107000 82.4943 55.9711 110.205 248.671
108000 83.9877 59.1426 111.343 254.473
109000 85.6278 59.6195 119.151 264.398
110000 89.5114 59.9972 119.232 268.74
111000 91.1428 62.4965 119.747 273.386
112000 91.8743 64.8064 131.842 288.523
113000 91.6586 64.9541 130.295 286.907
114000 92.766 68.4545 133.986 295.207
115000 92.7309 67.6484 127.184 287.563
116000 94.9907 66.6735 130.453 292.118
117000 91.4462 63.9464 130.757 286.15
118000 93.5582 66.4072 133.455 293.421
119000 92.575 66.0774 133.323 291.975
120000 93.056 65.7586 136.662 295.476
121000 91.073 66.5229 134.975 292.571
122000 91.5129 68.4298 133.257 293.2
123000 91.1173 67.0468 134.338 292.502
124000 89.0885 63.6344 135.812 288.535
125000 91.5965 65.7676 138.948 296.313
126000 91.6032 65.4327 135.59 292.626
127000 90.8062 66.5345 139.04 296.381
128000 91.489 64.9655 139.956 296.411
129000 89.5479 64.5542 142.778 296.88
130000 92.2248 64.2207 138.547 294.992
131000 92.1169 65.4087 139.695 297.22
132000 97.5458 68.7671 133.927 300.239
133000 99.153 67.1814 132.991 299.325
134000 97.3093 68.2484 129.067 294.624
135000 99.9811 69.9758 124.088 294.045
136000 100.953 69.9428 123.366 294.262
137000 99.6971 70.0223 126.491 296.21
138000 101.556 69.3656 127.397 298.319
139000 100.157 71.1033 126.733 297.993
140000 103.379 72.3996 131.999 307.778
141000 101.741 73.9876 135.795 311.524
142000 103.462 72.1264 138.991 314.58
143000 102.055 71.6814 146.233 319.97
144000 100.481 71.7879 143.936 316.205
145000 101.528 72.4664 143.488 317.482
146000 96.1145 73.7884 141.615 311.518
147000 99.2445 72.0048 137.709 308.959
148000 96.3147 71.3555 140.922 308.592
149000 94.6218 69.5387 145.007 309.167
150000 95.8857 67.7113 149.978 313.575
151000 102.027 66.1188 144.695 312.841
152000 101.496 68.9196 143.611 314.026
153000 103.263 70.9588 144.92 319.142
154000 108.743 71.7757 151.664 332.183
155000 108.401 70.4063 150.992 329.799
156000 109.233 71.1508 149.431 329.815
157000 106.546 72.355 146.918 325.819
158000 106.455 73.6965 146.64 326.792
159000 103.585 72.6254 146.762 322.972
160000 109.024 76.6071 149.924 335.556
161000 110.045 82.378 152.519 344.943
162000 110.469 81.2973 156.638 348.404
163000 106.313 82.7787 157.436 346.528
164000 106.666 80.4281 153.971 341.065
165000 106.753 82.5456 155.95 345.249
166000 104.268 79.4181 159.313 342.999
167000 102.35 80.7789 161.027 344.155
168000 104.005 78.9545 164.929 347.888
169000 106.386 80.9201 164.754 352.06
170000 107.671 80.2898 169.156 357.117
171000 108.358 79.15 171.867 359.375
172000 106.458 80.3665 171.014 357.839
173000 110.175 79.9819 171.496 361.653
174000 108.454 82.001 173.615 364.07
175000 112.826 85.3159 167.12 365.262
176000 115.394 88.8614 168.649 372.904
177000 115.717 91.1926 174.947 381.857
178000 118.681 89.4376 165.661 373.78
179000 120.461 91.301 169.743 381.505
180000 120.489 87.2362 167.721 375.447
181000 115.598 88.6951 167.836 372.129
182000 115.567 89.2297 169.053 373.849
183000 116.645 85.3976 168.505 370.547
184000 112.422 89.0861 176.794 378.302
185000 111.588 92.2198 180.426 384.235
186000 111.542 98.3567 177.88 387.779
187000 113.628 95.0158 179.465 388.109
188000 114.443 92.5505 178.388 385.381
189000 107.746 99.3874 183.324 390.457
190000 104.992 97.5426 185.646 388.18
191000 106.485 99.4575 185.948 391.89
192000 104.625 103.245 188.065 395.936
193000 102.946 102.283 189.098 394.328
194000 104.032 102.938 191.93 398.9
195000 101.903 101.557 191.958 395.418
196000 100.158 106.883 181.607 388.649
197000 100.06 107.645 188.729 396.433
198000 99.2747 106.065 188.52 393.86
199000 99.3807 107.05 186.739 393.17
200000 99.6175 111.272 194.804 405.693
201000 99.333 109.037 187.207 395.577
202000 103.537 112.002 193.373 408.912
203000 102.249 110.622 201.842 414.713
204000 100.855 111.047 202.139 414.041
205000 105.311 109.441 204.124 418.876
206000 101.977 114.713 210.679 427.368
207000 104.241 113.98 208.119 426.34
208000 104.546 113.676 210.43 428.652
209000 107.028 113.195 210.388 430.61
210000 110.583 113.686 207.948 432.217
211000 109.215 117.016 206.986 433.217
212000 105.906 115.721 211.657 433.284
213000 105.568 117.778 210.595 433.942
214000 101.368 123.924 212.928 438.22
215000 102.061 125.928 210.001 437.991
216000 102.332 125.156 213.616 441.104
217000 101.949 127.926 213.06 442.935
218000 110.256 128.757 219.124 458.137
