# Time-averaged data for fix msd_out
# TimeStep c_msd_li[1] c_msd_li[2] c_msd_li[3] c_msd_li[4]
0 4.22917e-30 1.44073e-30 4.82499e-32 5.71815e-30
1000 0.111271 0.168844 0.869928 1.15004
2000 0.153944 0.247238 1.01304 1.41422
3000 0.154436 0.294617 1.37582 1.82487
4000 0.224207 0.311686 1.80658 2.34248
5000 0.180222 0.321996 2.47434 2.97655
6000 0.254108 0.445075 3.02364 3.72282
7000 0.308575 0.540274 2.67765 3.5265
8000 0.303406 0.667206 2.81096 3.78157
9000 0.292444 0.58958 3.51687 4.39889
10000 0.30343 0.52704 4.01235 4.84282
11000 0.33641 0.603891 4.89482 5.83512
12000 0.343736 0.534561 4.84607 5.72437
13000 0.572832 0.598476 4.981 6.15231
14000 0.394144 0.68742 4.98853 6.0701
15000 0.459844 0.702578 5.50539 6.66781
16000 0.562848 0.897852 6.26421 7.72491
17000 0.525279 0.914084 6.05611 7.49547
18000 0.42045 0.830991 5.66433 6.91577
19000 0.517847 0.855831 6.10154 7.47522
20000 0.401215 0.979894 6.84544 8.22655
21000 0.465084 0.952795 6.48194 7.89982
22000 0.514567 0.974774 6.74422 8.23356
23000 0.459066 1.04187 6.69342 8.19436
24000 0.505377 1.09882 8.20182 9.80601
25000 0.53058 1.19849 8.72576 10.4548
26000 0.773463 1.07136 9.51895 11.3638
27000 0.7419 1.07189 9.64487 11.4587
28000 0.783332 1.37332 9.2465 11.4032
29000 0.670879 1.40033 9.49637 11.5676
30000 0.634659 1.51997 10.198 12.3526
31000 0.746593 1.83641 9.6256 12.2086
32000 0.873163 1.71231 10.9076 13.4931
33000 0.832044 1.70586 11.504 14.0419
34000 0.74075 1.86866 12.8638 15.4732
35000 0.755989 1.69751 13.8109 16.2644
36000 0.941559 1.67829 13.7984 16.4182
37000 0.814239 1.91097 15.4698 18.195
38000 0.898333 1.86776 14.7399 17.506
39000 0.829052 1.81895 15.2392 17.8872
40000 0.941976 2.09267 15.3979 18.4325
41000 0.760387 2.04747 17.1006 19.9085
42000 0.976482 2.14965 16.8594 19.9855
43000 0.899589 2.09269 17.8238 20.8161
44000 0.909418 2.23433 19.0716 22.2153
45000 0.965334 1.92376 20.4591 23.3482
46000 1.08146 2.13683 18.3864 21.6047
47000 1.00915 2.14866 19.1509 22.3087
48000 1.01557 2.16996 18.7222 21.9077
49000 1.09404 1.88659 17.8067 20.7873
50000 1.37625 2.27439 18.3792 22.0298
51000 1.37635 2.10628 20.1717 23.6544
52000 1.57387 2.156 19.6963 23.4262
53000 1.61973 2.27459 20.4703 24.3646
54000 1.40961 2.29264 20.3401 24.0423
55000 1.58689 2.57382 20.0446 24.2053
56000 1.72322 2.53207 20.8174 25.0726
57000 1.63576 2.83922 21.4506 25.9256
58000 1.71094 3.03978 20.1129 24.8636
59000 1.45662 3.07645 19.8693 24.4023
60000 1.5083 3.19056 19.9258 24.6247
61000 1.37331 3.32433 19.6914 24.3891
62000 1.34398 3.2877 18.4916 23.1232
63000 1.56404 3.14664 17.4831 22.1938
64000 1.50827 3.21885 19.7365 24.4636
65000 1.69584 3.24587 21.0729 26.0146
66000 1.76191 3.35877 21.4279 26.5486
67000 1.758 3.48856 21.1111 26.3576
68000 1.82262 3.44518 20.4194 25.6872
