model,temperature_K,replica,LiCl_coordination_mean,LiCl_coordination_std,cutoff_A
M3GNet-GPU,400,1,2.7061546840958606,0.06470028877768957,3.0
M3GNet-GPU,400,2,5.217320261437908,0.09228530967350206,3.0
M3GNet-GPU,400,3,2.5454793028322444,0.06439005100710958,3.0
M3GNet-GPU,600,1,2.514433551198257,0.08809733963897823,3.0
M3GNet-GPU,600,2,4.9752178649237475,0.09380928793784557,3.0
M3GNet-GPU,600,3,2.3687363834422657,0.0825724946798215,3.0
M3GNet-GPU,800,1,2.5757080610021785,0.07717405579478233,3.0
M3GNet-GPU,800,2,4.766067538126362,0.0903614305332919,3.0
M3GNet-GPU,800,3,2.342320261437908,0.07526397552380518,3.0
M3GNet-GPU,1000,1,2.4896514161220042,0.07994392254983794,3.0
M3GNet-GPU,1000,2,4.610838779956427,0.08695342290775127,3.0
M3GNet-GPU,1000,3,2.3856209150326797,0.09211155965545023,3.0
MACE-MPA-0,400,1,5.1230936819172115,0.08891184717826517,3.0
MACE-MPA-0,400,2,5.128267973856211,0.0949424679631523,3.0
MACE-MPA-0,400,3,2.746459694989107,0.0569569395701158,3.0
MACE-MPA-0,500,1,4.976307189542483,0.09787340735592275,3.0
MACE-MPA-0,500,2,4.9880174291939,0.07759956667889877,3.0
MACE-MPA-0,500,3,4.976851851851851,0.09434614047508769,3.0
MACE-MPA-0,600,1,4.87962962962963,0.08507025494997233,3.0
MACE-MPA-0,600,2,4.870915032679738,0.10106751816675795,3.0
MACE-MPA-0,600,3,2.643790849673203,0.07631202953584924,3.0
MACE-MPA-0,700,1,4.771514161220043,0.09218238623259008,3.0
MACE-MPA-0,700,2,4.781318082788671,0.0955482695190709,3.0
MACE-MPA-0,700,3,4.754629629629629,0.09370249811929508,3.0
MACE-MPA-0,800,1,4.6568627450980395,0.10244285791293031,3.0
MACE-MPA-0,800,2,2.434368191721133,0.07240834234900931,3.0
MACE-MPA-0,800,3,4.6835511982570806,0.09473210570989951,3.0
MACE-MPA-0,900,1,4.603485838779956,0.0838001506183743,3.0
MACE-MPA-0,900,2,4.6190087145969505,0.09852668691005707,3.0
MACE-MPA-0,900,3,4.590686274509804,0.0882428585476937,3.0
MACE-MPA-0,1000,1,4.508169934640523,0.09940273672407544,3.0
MACE-MPA-0,1000,1,2.4174836601307192,0.07892342925315901,3.0
MACE-MPA-0,1000,2,4.511437908496732,0.09892707987350857,3.0
MACE-MPA-0,1000,2,4.49863834422658,0.09748466375517403,3.0
MACE-MPA-0,1000,3,4.540305010893246,0.09448988486025377,3.0
SevenNet-nano,400,1,5.1914488017429194,0.09172992987171533,3.0
SevenNet-nano,400,2,5.20751633986928,0.08545819325975254,3.0
SevenNet-nano,400,3,5.136710239651416,0.09541078377638296,3.0
SevenNet-nano,500,1,5.079793028322439,0.07369061647837781,3.0
SevenNet-nano,500,2,5.065359477124183,0.09623660523414987,3.0
SevenNet-nano,500,3,5.063725490196078,0.08215288059081532,3.0
SevenNet-nano,600,1,4.938997821350762,0.08925401721251712,3.0
SevenNet-nano,600,2,4.843954248366013,0.08390274936779192,3.0
SevenNet-nano,600,3,4.942538126361655,0.08265059865789454,3.0
SevenNet-nano,700,1,4.846677559912854,0.09387567362590785,3.0
SevenNet-nano,700,2,4.8771786492374725,0.10211292603172374,3.0
SevenNet-nano,700,3,4.82380174291939,0.07844650059864416,3.0
SevenNet-nano,800,1,4.794662309368191,0.07553938043181452,3.0
SevenNet-nano,800,2,4.68082788671024,0.09537579817553653,3.0
SevenNet-nano,800,3,4.758442265795208,0.1006469041622816,3.0
SevenNet-nano,900,1,4.682734204793028,0.09568788293666641,3.0
SevenNet-nano,900,2,4.681644880174292,0.0925725660772524,3.0
SevenNet-nano,900,3,4.682734204793028,0.0867741249860428,3.0
SevenNet-nano,1000,1,4.582244008714597,0.09046478608271542,3.0
SevenNet-nano,1000,1,4.523692810457517,0.09376816848266377,3.0
SevenNet-nano,1000,2,4.615196078431373,0.09779608560093205,3.0
SevenNet-nano,1000,2,4.592047930283224,0.08697389056348581,3.0
SevenNet-nano,1000,3,4.592320261437909,0.10190717684657413,3.0
