series,T_K,D_cm2_s,sigma_NE_S_cm,ln_sigmaT
MACE-MPA-0,600.0,2.2414064884e-06,0.04334690349495995,3.2584096465738814
MACE-MPA-0,800.0,1.0327468841e-05,0.14979337667492615,4.7861133043383255
MACE-MPA-0,1000.0,2.2000042187e-05,0.2552773119468418,5.542350452091774
MACE-MPA-0,1200.0,4.9955242087e-05,0.483046040291937,6.3624335274191175
SevenNet-nano,600.0,2.1931432164e-06,0.04241353268312279,3.236641854603735
SevenNet-nano,800.0,1.3022182835e-05,0.1888784917741794,5.017960356330464
SevenNet-nano,1000.0,3.0074905262e-05,0.34897392046256837,5.85499719294198
SevenNet-nano,1200.0,7.5903962406e-05,0.7339591792755582,6.780774969795954
M3GNet GPU,600.0,1.9143993123e-07,0.0037022861614147634,0.7981248865374809
M3GNet GPU,800.0,3.4931969439e-07,0.005066660317966613,1.3995383348362207
M3GNet GPU,1000.0,2.5821102699e-06,0.029961495675672186,3.3999130798219013
M3GNet GPU,1200.0,9.0673258084e-06,0.08767720152685057,4.655983462591633
Experiment,300.0,,0.0104,1.137833001821391
