# msd.out by GPUMDkit
# Element: Li  |  dt: 1000.0000 fs  |  Frames: 1000  |  Atoms: 144
#     Time(ps)    MSD_x(Ang^2)    MSD_y(Ang^2)    MSD_z(Ang^2)
      1.000000       0.088660       0.088553       0.105064
      2.000000       0.099030       0.099268       0.112849
      3.000000       0.107271       0.108349       0.118041
      4.000000       0.115893       0.116995       0.123565
      5.000000       0.121978       0.124405       0.128452
      6.000000       0.129221       0.131762       0.133425
      7.000000       0.136023       0.138132       0.138652
      8.000000       0.142092       0.143332       0.142745
      9.000000       0.147956       0.150605       0.146973
     10.000000       0.153535       0.156173       0.151025
     11.000000       0.159543       0.161809       0.154915
     12.000000       0.166013       0.167993       0.159178
     13.000000       0.171243       0.173526       0.163455
     14.000000       0.177610       0.179159       0.167850
     15.000000       0.183564       0.184697       0.172334
     16.000000       0.189107       0.190061       0.175712
     17.000000       0.194740       0.195303       0.180067
     18.000000       0.201439       0.201789       0.184815
     19.000000       0.207006       0.207274       0.188864
     20.000000       0.213195       0.212685       0.193149
     21.000000       0.218771       0.217313       0.196935
     22.000000       0.224100       0.223373       0.201252
     23.000000       0.230195       0.228383       0.205499
     24.000000       0.235703       0.233714       0.209649
     25.000000       0.241733       0.239234       0.213578
     26.000000       0.247047       0.244795       0.217880
     27.000000       0.253612       0.250534       0.222313
     28.000000       0.259477       0.256572       0.226482
     29.000000       0.265052       0.262682       0.229758
     30.000000       0.270897       0.269309       0.233792
     31.000000       0.275747       0.274490       0.237263
     32.000000       0.281585       0.280650       0.241955
     33.000000       0.287264       0.285833       0.245259
     34.000000       0.293131       0.292208       0.249058
     35.000000       0.298914       0.298238       0.252994
     36.000000       0.304263       0.303487       0.256338
     37.000000       0.310054       0.309101       0.260475
     38.000000       0.315822       0.314148       0.263099
     39.000000       0.321665       0.319445       0.266800
     40.000000       0.327185       0.325288       0.271122
     41.000000       0.333217       0.330592       0.274376
     42.000000       0.338530       0.336146       0.278356
     43.000000       0.343993       0.342271       0.282192
     44.000000       0.349404       0.348176       0.286195
     45.000000       0.355421       0.353883       0.289356
     46.000000       0.360638       0.360038       0.292957
     47.000000       0.365894       0.366180       0.297114
     48.000000       0.370512       0.372010       0.300002
     49.000000       0.375741       0.378107       0.303504
     50.000000       0.381923       0.384930       0.307091
     51.000000       0.387585       0.391432       0.310420
     52.000000       0.392931       0.397493       0.313760
     53.000000       0.397888       0.402895       0.316569
     54.000000       0.402915       0.408584       0.320057
     55.000000       0.408194       0.414223       0.323425
     56.000000       0.413109       0.420502       0.327060
     57.000000       0.419532       0.426164       0.330357
     58.000000       0.424835       0.432330       0.333530
     59.000000       0.430880       0.437901       0.337791
     60.000000       0.436074       0.444281       0.340719
     61.000000       0.441238       0.449385       0.344309
     62.000000       0.446042       0.455713       0.347935
     63.000000       0.450338       0.461695       0.351651
     64.000000       0.455612       0.467884       0.354942
     65.000000       0.461180       0.472758       0.359093
     66.000000       0.465952       0.478266       0.361673
     67.000000       0.470869       0.483923       0.365583
     68.000000       0.476453       0.489003       0.368790
     69.000000       0.481474       0.495092       0.372640
     70.000000       0.485740       0.500654       0.374892
     71.000000       0.490734       0.506244       0.378135
     72.000000       0.495802       0.512922       0.381408
     73.000000       0.500537       0.518161       0.385280
     74.000000       0.505022       0.524110       0.388112
     75.000000       0.509707       0.530608       0.390425
     76.000000       0.514342       0.536204       0.394224
     77.000000       0.518646       0.541891       0.396947
     78.000000       0.523587       0.547323       0.400526
     79.000000       0.528826       0.552150       0.404365
     80.000000       0.534047       0.558764       0.406888
     81.000000       0.538212       0.564876       0.410417
     82.000000       0.542687       0.570340       0.413564
     83.000000       0.548107       0.575457       0.417817
     84.000000       0.552665       0.581673       0.420630
     85.000000       0.557045       0.586744       0.423794
     86.000000       0.561879       0.592682       0.426986
     87.000000       0.566990       0.598024       0.430208
     88.000000       0.571748       0.603686       0.433921
     89.000000       0.576651       0.608795       0.437920
     90.000000       0.581898       0.614495       0.440486
     91.000000       0.587285       0.620653       0.444103
     92.000000       0.591684       0.625782       0.447635
     93.000000       0.597307       0.631194       0.450649
     94.000000       0.602355       0.636758       0.453874
     95.000000       0.607260       0.642760       0.456483
     96.000000       0.612324       0.647889       0.459470
     97.000000       0.617368       0.654613       0.463442
     98.000000       0.622620       0.660044       0.466182
     99.000000       0.627722       0.666440       0.470066
    100.000000       0.632201       0.672126       0.473064
    101.000000       0.638390       0.677801       0.476218
    102.000000       0.643592       0.683724       0.479124
    103.000000       0.649702       0.689859       0.482249
    104.000000       0.654318       0.696419       0.486567
    105.000000       0.660003       0.702749       0.489347
    106.000000       0.666026       0.709159       0.491762
    107.000000       0.670894       0.715019       0.494955
    108.000000       0.676338       0.721549       0.498528
    109.000000       0.681788       0.727116       0.501663
    110.000000       0.687115       0.733357       0.504343
    111.000000       0.692786       0.740064       0.507056
    112.000000       0.697875       0.746476       0.510383
    113.000000       0.703513       0.751726       0.513799
    114.000000       0.709543       0.758257       0.517225
    115.000000       0.714350       0.764878       0.520874
    116.000000       0.720469       0.771003       0.524875
    117.000000       0.725430       0.777646       0.528650
    118.000000       0.730864       0.784275       0.531900
    119.000000       0.736022       0.790152       0.536077
    120.000000       0.741140       0.797027       0.538758
    121.000000       0.746313       0.803469       0.542721
    122.000000       0.751775       0.810155       0.546128
    123.000000       0.756616       0.816596       0.549877
    124.000000       0.761531       0.823452       0.553711
    125.000000       0.766305       0.829295       0.557343
    126.000000       0.772808       0.835516       0.560846
    127.000000       0.776927       0.840736       0.563520
    128.000000       0.782351       0.847362       0.565923
    129.000000       0.787668       0.853674       0.568876
    130.000000       0.792750       0.860814       0.572518
    131.000000       0.798582       0.866391       0.575810
    132.000000       0.803250       0.872374       0.579780
    133.000000       0.808195       0.877942       0.581999
    134.000000       0.813792       0.883788       0.585637
    135.000000       0.818046       0.889603       0.588137
    136.000000       0.823269       0.895937       0.591792
    137.000000       0.829175       0.901765       0.595380
    138.000000       0.834228       0.907856       0.598759
    139.000000       0.839767       0.913697       0.601892
    140.000000       0.844375       0.920053       0.604972
    141.000000       0.849978       0.926018       0.607962
    142.000000       0.855183       0.931800       0.611520
    143.000000       0.859733       0.938002       0.614762
    144.000000       0.864741       0.944641       0.617964
    145.000000       0.870396       0.951395       0.620625
    146.000000       0.875539       0.957907       0.624614
    147.000000       0.880539       0.964256       0.627011
    148.000000       0.885054       0.971352       0.630584
    149.000000       0.890610       0.978765       0.633873
    150.000000       0.895413       0.985615       0.637422
    151.000000       0.899773       0.993075       0.640212
    152.000000       0.904935       0.999273       0.643989
    153.000000       0.909511       1.006147       0.647637
    154.000000       0.915115       1.012921       0.651286
    155.000000       0.919778       1.020162       0.654050
    156.000000       0.925168       1.027560       0.657898
    157.000000       0.930303       1.034512       0.661368
    158.000000       0.936014       1.042162       0.664646
