# msd.out by GPUMDkit
# Element: Li  |  dt: 1000.0000 fs  |  Frames: 1000  |  Atoms: 32
#     Time(ps)    MSD_x(Ang^2)    MSD_y(Ang^2)    MSD_z(Ang^2)
      1.000000       0.091143       0.164712       0.132872
      2.000000       0.115241       0.192057       0.156324
      3.000000       0.133427       0.209961       0.173206
      4.000000       0.148943       0.225327       0.185925
      5.000000       0.161601       0.236238       0.196092
      6.000000       0.173773       0.245576       0.207999
      7.000000       0.184226       0.254698       0.215492
      8.000000       0.195072       0.261461       0.222514
      9.000000       0.204074       0.270519       0.230446
     10.000000       0.212571       0.275929       0.237428
     11.000000       0.221324       0.279861       0.242107
     12.000000       0.228108       0.288312       0.248379
     13.000000       0.234292       0.296396       0.255031
     14.000000       0.242495       0.300181       0.259081
     15.000000       0.249923       0.304299       0.266200
     16.000000       0.257227       0.308184       0.273310
     17.000000       0.263576       0.313404       0.277871
     18.000000       0.271364       0.317100       0.283790
     19.000000       0.279183       0.322944       0.288286
     20.000000       0.286299       0.330157       0.293962
     21.000000       0.293268       0.336038       0.297372
     22.000000       0.300165       0.340396       0.300704
     23.000000       0.306563       0.346785       0.307447
     24.000000       0.313477       0.354500       0.311703
     25.000000       0.319090       0.360292       0.316431
     26.000000       0.324594       0.364168       0.322462
     27.000000       0.330006       0.370362       0.324584
     28.000000       0.335299       0.375007       0.330748
     29.000000       0.340958       0.381267       0.333573
     30.000000       0.345902       0.386135       0.335704
     31.000000       0.351122       0.391406       0.340676
     32.000000       0.354191       0.394987       0.341842
     33.000000       0.357981       0.398353       0.345758
     34.000000       0.362447       0.403865       0.348515
     35.000000       0.364544       0.405989       0.352774
     36.000000       0.369748       0.407819       0.352280
     37.000000       0.375041       0.412641       0.356982
     38.000000       0.378482       0.419450       0.359003
     39.000000       0.383354       0.424286       0.361636
     40.000000       0.387271       0.423398       0.365696
     41.000000       0.390945       0.429263       0.367079
     42.000000       0.395855       0.430084       0.369854
     43.000000       0.399828       0.431142       0.373457
     44.000000       0.403347       0.434783       0.376407
     45.000000       0.406320       0.435856       0.379592
     46.000000       0.409511       0.440665       0.381370
     47.000000       0.412653       0.444253       0.381697
     48.000000       0.416104       0.447129       0.384107
     49.000000       0.418209       0.450809       0.386680
     50.000000       0.420669       0.452427       0.389328
     51.000000       0.423405       0.458059       0.390663
     52.000000       0.426441       0.462951       0.393005
     53.000000       0.431094       0.463578       0.396715
     54.000000       0.434985       0.466256       0.397784
     55.000000       0.438720       0.470533       0.399767
     56.000000       0.442301       0.470726       0.402291
     57.000000       0.446184       0.476732       0.405347
     58.000000       0.448945       0.478462       0.407098
     59.000000       0.452182       0.482005       0.410273
     60.000000       0.453754       0.484015       0.411966
     61.000000       0.454749       0.488279       0.411617
     62.000000       0.455495       0.490306       0.413995
     63.000000       0.459416       0.494275       0.415017
     64.000000       0.462398       0.495333       0.415335
     65.000000       0.464474       0.500725       0.417082
     66.000000       0.466120       0.498936       0.418388
     67.000000       0.465991       0.501194       0.417019
     68.000000       0.467357       0.501945       0.419486
     69.000000       0.468926       0.505598       0.419730
     70.000000       0.470800       0.505659       0.421395
     71.000000       0.473284       0.507310       0.424104
     72.000000       0.475284       0.506945       0.424287
     73.000000       0.477329       0.511464       0.424957
     74.000000       0.478742       0.513668       0.425117
     75.000000       0.479950       0.513929       0.427419
     76.000000       0.481854       0.518509       0.431440
     77.000000       0.485132       0.519818       0.432803
     78.000000       0.486742       0.520614       0.434725
     79.000000       0.488831       0.523659       0.437451
     80.000000       0.490926       0.526117       0.439419
     81.000000       0.493811       0.527294       0.442366
     82.000000       0.494250       0.528239       0.444005
     83.000000       0.495611       0.530630       0.445369
     84.000000       0.497207       0.533842       0.447594
     85.000000       0.497616       0.536306       0.448558
     86.000000       0.498246       0.537757       0.449775
     87.000000       0.500337       0.537865       0.451037
     88.000000       0.502170       0.537744       0.452110
     89.000000       0.502856       0.537893       0.455709
     90.000000       0.505485       0.538388       0.456654
     91.000000       0.507188       0.540264       0.456820
     92.000000       0.508221       0.542243       0.458720
     93.000000       0.509864       0.539685       0.456691
     94.000000       0.508851       0.539534       0.456474
     95.000000       0.508905       0.540127       0.458500
     96.000000       0.508106       0.539062       0.457402
     97.000000       0.508198       0.538982       0.457784
     98.000000       0.508798       0.538341       0.458993
     99.000000       0.509847       0.540918       0.459482
    100.000000       0.508558       0.541988       0.459958
    101.000000       0.509252       0.544116       0.461312
    102.000000       0.509105       0.542950       0.461675
    103.000000       0.509166       0.543728       0.462056
    104.000000       0.510985       0.544072       0.462407
    105.000000       0.512830       0.545997       0.462627
    106.000000       0.511651       0.543496       0.463198
    107.000000       0.512160       0.543823       0.463836
    108.000000       0.511394       0.543756       0.464932
    109.000000       0.511902       0.545096       0.465937
    110.000000       0.512890       0.545599       0.469407
    111.000000       0.514878       0.546555       0.468700
    112.000000       0.514000       0.545771       0.467663
    113.000000       0.515190       0.548272       0.469156
    114.000000       0.514033       0.547686       0.469916
    115.000000       0.515690       0.548820       0.469187
    116.000000       0.515930       0.546958       0.469467
    117.000000       0.516903       0.548591       0.471829
    118.000000       0.518863       0.549526       0.472054
    119.000000       0.519614       0.548659       0.474661
    120.000000       0.520798       0.550039       0.475665
    121.000000       0.521422       0.550675       0.476641
    122.000000       0.522576       0.551391       0.476343
    123.000000       0.523164       0.551518       0.476456
    124.000000       0.523413       0.550007       0.477625
    125.000000       0.524417       0.551308       0.477143
    126.000000       0.523322       0.557708       0.477411
    127.000000       0.524977       0.556720       0.478618
    128.000000       0.524705       0.560236       0.479053
    129.000000       0.523068       0.560610       0.477907
    130.000000       0.524773       0.562755       0.480150
    131.000000       0.526613       0.559124       0.480573
    132.000000       0.528172       0.558009       0.479852
    133.000000       0.528753       0.563649       0.480701
    134.000000       0.529341       0.564028       0.478670
    135.000000       0.531368       0.565038       0.480031
    136.000000       0.533095       0.568240       0.480104
    137.000000       0.535366       0.572322       0.481327
    138.000000       0.537057       0.573033       0.483433
    139.000000       0.539936       0.575729       0.487092
    140.000000       0.542293       0.576326       0.486671
    141.000000       0.543336       0.575624       0.486398
    142.000000       0.543365       0.576588       0.485130
    143.000000       0.543753       0.575460       0.484751
    144.000000       0.545718       0.576451       0.486664
    145.000000       0.546795       0.577223       0.487402
    146.000000       0.547711       0.581068       0.489558
    147.000000       0.548934       0.582711       0.491895
    148.000000       0.550153       0.583749       0.492725
    149.000000       0.551608       0.582425       0.496181
    150.000000       0.553225       0.584124       0.497271
    151.000000       0.554736       0.585864       0.495121
    152.000000       0.557418       0.586909       0.498916
    153.000000       0.559421       0.589843       0.496723
    154.000000       0.560072       0.589049       0.497378
    155.000000       0.561892       0.589636       0.497702
    156.000000       0.563916       0.593137       0.498971
    157.000000       0.564602       0.592688       0.501021
    158.000000       0.564309       0.596497       0.500474
    159.000000       0.566910       0.597665       0.503039
    160.000000       0.569005       0.596191       0.505449
    161.000000       0.571927       0.598248       0.506493
    162.000000       0.573227       0.601545       0.506303
    163.000000       0.574773       0.603018       0.508410
